[[-408.15426148]
 [ 355.5443012 ]
 [-270.6712174 ]
 [ 182.12864116]
 [-112.66356939]
 [  71.22664147]
 [ -54.00190809]
 [  50.92966217]
 [ -52.62819716]
 [  53.89209313]
 [ -53.4781715 ]
 [  51.91159493]
 [ -49.63719298]
 [  46.44994271]
 [ -42.02884822]
 [  36.58054922]
 [ -31.01525044]
 [  26.50141096]
 [ -23.86485165]
 [  23.20860499]
 [ -24.01241138]
 [  25.48906276]
 [ -26.94432309]
 [  27.89820613]
 [ -28.05740405]
 [  27.24717563]
 [ -25.44488144]
 [  22.84876872]
 [ -19.92036034]
 [  17.27689003]
 [ -47.9808751 ]
 [ -32.56854366]]
