---------------------
  #    meV     cm^-1
---------------------
  0   10.1i     81.5i
  1    6.2i     50.4i
  2    3.5i     28.5i
  3    1.0i      8.3i
  4    4.4      35.1
  5    9.4      75.7
  6    9.8      79.3
  7   13.2     106.3
  8   15.9     128.5
  9   19.9     160.6
 10   23.6     190.5
 11   26.3     212.4
 12   32.4     261.6
 13   33.2     267.7
 14   47.1     379.9
 15   48.2     388.5
 16   71.9     579.8
 17   75.0     604.8
 18  135.3    1091.2
 19  136.5    1101.3
 20  150.9    1217.1
 21  175.0    1411.5
 22  177.9    1434.8
 23  205.1    1654.3
 24  205.3    1656.1
 25  206.3    1663.7
 26  208.5    1681.3
 27  367.2    2961.8
 28  376.4    3035.8
 29  379.1    3057.9
 30  419.7    3385.0
 31  420.9    3394.8
 32  434.5    3504.2
 33  434.8    3507.1
 34  438.4    3535.9
 35  438.6    3537.7
---------------------
Zero-point energy: 2.870 eV
