                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 13:42:18   -39732.627283*       2.1875
BFGSLineSearch:    1[  2] 14:01:33   -39733.005753*       1.9638
BFGSLineSearch:    2[  4] 14:18:39   -39733.296957*       1.4870
BFGSLineSearch:    3[  6] 14:35:11   -39733.416147*       1.1060
BFGSLineSearch:    4[  8] 14:51:42   -39733.512808*       1.0148
BFGSLineSearch:    5[ 10] 15:07:26   -39733.582560*       0.6935
BFGSLineSearch:    6[ 12] 15:22:46   -39733.617311*       0.7333
BFGSLineSearch:    7[ 14] 15:38:59   -39733.654647*       0.5509
BFGSLineSearch:    8[ 15] 15:46:58   -39733.710874*       0.8418
BFGSLineSearch:    9[ 17] 16:01:13   -39733.754223*       0.7664
BFGSLineSearch:   10[ 19] 16:15:16   -39733.811195*       0.9719
BFGSLineSearch:   11[ 20] 16:23:03   -39733.913625*       0.4889
BFGSLineSearch:   12[ 21] 16:31:31   -39733.972121*       0.6941
BFGSLineSearch:   13[ 22] 16:39:14   -39734.045202*       1.2216
BFGSLineSearch:   14[ 24] 16:53:05   -39734.103294*       0.6152
BFGSLineSearch:   15[ 26] 17:07:21   -39734.164443*       0.7227
BFGSLineSearch:   16[ 28] 17:24:49   -39734.205363*       0.4022
BFGSLineSearch:   17[ 30] 17:37:56   -39734.230466*       0.3389
BFGSLineSearch:   18[ 31] 17:43:54   -39734.252824*       0.5358
BFGSLineSearch:   19[ 33] 17:55:21   -39734.270844*       0.4373
BFGSLineSearch:   20[ 35] 18:08:24   -39734.284087*       0.3015
BFGSLineSearch:   21[ 37] 18:21:25   -39734.292939*       0.2054
BFGSLineSearch:   22[ 38] 18:28:14   -39734.305542*       0.2138
BFGSLineSearch:   23[ 39] 18:34:21   -39734.311809*       0.1956
BFGSLineSearch:   24[ 40] 18:43:54   -39734.317656*       0.2153
BFGSLineSearch:   25[ 42] 18:55:02   -39734.321581*       0.1126
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 07:21:30   -39734.321560*       0.1125
BFGSLineSearch:    1[  2] 07:35:57   -39734.323092*       0.0881
BFGSLineSearch:    2[  3] 07:41:51   -39734.325805*       0.0604
BFGSLineSearch:    3[  4] 07:48:45   -39734.328853*       0.1605
BFGSLineSearch:    4[  5] 07:55:58   -39734.331841*       0.0884
BFGSLineSearch:    5[  6] 08:03:01   -39734.334825*       0.1214
BFGSLineSearch:    6[  7] 08:08:22   -39734.338385*       0.0840
BFGSLineSearch:    7[  9] 08:21:25   -39734.340954*       0.0662
BFGSLineSearch:    8[ 10] 08:28:20   -39734.342383*       0.0869
BFGSLineSearch:    9[ 11] 08:34:13   -39734.343932*       0.0874
BFGSLineSearch:   10[ 12] 08:39:48   -39734.346206*       0.0671
BFGSLineSearch:   11[ 13] 08:45:12   -39734.349832*       0.0765
BFGSLineSearch:   12[ 14] 08:51:46   -39734.352464*       0.1421
BFGSLineSearch:   13[ 15] 08:58:20   -39734.355547*       0.0808
BFGSLineSearch:   14[ 16] 09:05:48   -39734.357620*       0.0661
BFGSLineSearch:   15[ 17] 09:11:23   -39734.359859*       0.0597
BFGSLineSearch:   16[ 18] 09:17:03   -39734.361713*       0.0783
BFGSLineSearch:   17[ 19] 09:22:12   -39734.363445*       0.1525
BFGSLineSearch:   18[ 21] 09:34:08   -39734.365035*       0.0626
BFGSLineSearch:   19[ 22] 09:39:39   -39734.366808*       0.0717
BFGSLineSearch:   20[ 23] 09:44:52   -39734.369203*       0.1059
BFGSLineSearch:   21[ 24] 09:50:03   -39734.371222*       0.0707
BFGSLineSearch:   22[ 25] 09:55:05   -39734.373075*       0.1729
BFGSLineSearch:   23[ 26] 10:00:33   -39734.375981*       0.1250
BFGSLineSearch:   24[ 27] 10:06:03   -39734.379708*       0.1325
BFGSLineSearch:   25[ 28] 10:11:45   -39734.382862*       0.1141
BFGSLineSearch:   26[ 29] 10:18:44   -39734.385145*       0.0757
BFGSLineSearch:   27[ 31] 10:29:45   -39734.386147*       0.1377
BFGSLineSearch:   28[ 32] 10:36:13   -39734.387297*       0.2685
BFGSLineSearch:   29[ 33] 10:42:26   -39734.388820*       0.1158
BFGSLineSearch:   30[ 34] 10:46:36   -39734.389863*       0.0669
BFGSLineSearch:   31[ 35] 10:51:58   -39734.390471*       0.0630
BFGSLineSearch:   32[ 36] 10:57:04   -39734.390958*       0.0575
BFGSLineSearch:   33[ 37] 11:01:21   -39734.391502*       0.0677
BFGSLineSearch:   34[ 38] 11:05:30   -39734.392199*       0.0540
BFGSLineSearch:   35[ 39] 11:10:14   -39734.392930*       0.0630
BFGSLineSearch:   36[ 40] 11:15:15   -39734.393291*       0.0717
BFGSLineSearch:   37[ 41] 11:21:16   -39734.393844*       0.0383
