---------------------
  #    meV     cm^-1
---------------------
  0   16.0i    128.8i
  1    8.4i     67.6i
  2    4.5      36.2
  3    6.8      54.8
  4    7.8      62.7
  5    8.8      70.9
  6   12.8     102.9
  7   14.5     117.3
  8   19.2     154.5
  9   40.4     325.5
 10   46.4     374.4
 11   60.1     484.6
 12  127.6    1029.0
 13  132.6    1069.3
 14  135.2    1090.2
 15  136.5    1100.6
 16  175.3    1413.6
 17  180.3    1454.5
 18  180.7    1457.1
 19  204.9    1652.6
 20  205.3    1655.8
 21  359.9    2902.6
 22  366.0    2952.2
 23  373.6    3013.2
 24  424.0    3419.5
 25  439.5    3545.0
 26  440.3    3551.4
---------------------
Zero-point energy: 2.051 eV
