                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:50:39   -40438.198257*       5.2907
BFGSLineSearch:    1[  2] 15:03:34   -40438.959899*       6.7335
BFGSLineSearch:    2[  3] 15:12:01   -40440.748301*      10.5399
BFGSLineSearch:    3[  4] 15:19:37   -40441.832426*      12.4593
BFGSLineSearch:    4[  5] 15:26:02   -40443.134485*       6.5873
BFGSLineSearch:    5[  6] 15:33:35   -40444.766647*       3.9259
BFGSLineSearch:    6[  8] 15:49:54   -40445.320932*       1.7782
BFGSLineSearch:    7[ 10] 16:05:12   -40445.674861*       1.6021
BFGSLineSearch:    8[ 12] 16:21:06   -40445.934825*       1.8806
BFGSLineSearch:    9[ 14] 16:34:32   -40446.136882*       1.3904
BFGSLineSearch:   10[ 16] 16:47:32   -40446.299481*       1.8837
BFGSLineSearch:   11[ 18] 17:01:10   -40446.432065*       1.1833
BFGSLineSearch:   12[ 19] 17:07:48   -40446.558973*       2.5632
BFGSLineSearch:   13[ 21] 17:23:46   -40446.735276*       2.0697
BFGSLineSearch:   14[ 23] 17:39:18   -40446.809513*       0.7838
BFGSLineSearch:   15[ 24] 17:46:23   -40446.881635*       0.8910
BFGSLineSearch:   16[ 25] 17:54:14   -40446.938391*       0.6267
BFGSLineSearch:   17[ 26] 18:00:40   -40446.976416*       1.2173
BFGSLineSearch:   18[ 28] 18:13:47   -40447.000102*       0.3245
BFGSLineSearch:   19[ 29] 18:19:52   -40447.026004*       0.3039
BFGSLineSearch:   20[ 30] 18:26:34   -40447.052474*       0.4912
BFGSLineSearch:   21[ 31] 18:33:32   -40447.073597*       0.4018
BFGSLineSearch:   22[ 32] 18:40:20   -40447.097791*       1.2978
BFGSLineSearch:   23[ 34] 18:50:35   -40447.110682*       0.3997
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 20:23:32   -40447.110686*       0.3985
BFGSLineSearch:    1[  2] 20:42:47   -40447.116594*       0.8502
BFGSLineSearch:    2[  3] 20:52:39   -40447.126407*       0.4045
BFGSLineSearch:    3[  5] 21:12:06   -40447.140266*       0.1903
BFGSLineSearch:    4[  6] 21:21:11   -40447.151109*       0.4224
BFGSLineSearch:    5[  7] 21:30:42   -40447.161481*       0.9306
BFGSLineSearch:    6[  8] 21:38:53   -40447.171058*       0.5482
BFGSLineSearch:    7[  9] 21:47:07   -40447.179556*       0.2912
BFGSLineSearch:    8[ 10] 21:53:50   -40447.189590*       0.2253
BFGSLineSearch:    9[ 11] 22:04:19   -40447.197846*       0.5980
BFGSLineSearch:   10[ 12] 22:12:21   -40447.210436*       0.4213
BFGSLineSearch:   11[ 13] 22:20:39   -40447.220544*       0.5596
BFGSLineSearch:   12[ 14] 22:31:29   -40447.230879*       0.3929
BFGSLineSearch:   13[ 15] 22:39:51   -40447.238800*       0.2400
BFGSLineSearch:   14[ 16] 22:49:44   -40447.244969*       0.3860
BFGSLineSearch:   15[ 17] 22:56:05   -40447.252687*       0.5158
BFGSLineSearch:   16[ 18] 23:05:09   -40447.258211*       0.2776
BFGSLineSearch:   17[ 19] 23:12:17   -40447.262266*       0.3430
BFGSLineSearch:   18[ 20] 23:20:23   -40447.267426*       0.2167
BFGSLineSearch:   19[ 21] 23:28:04   -40447.273981*       0.2817
BFGSLineSearch:   20[ 22] 23:35:15   -40447.283803*       0.3169
BFGSLineSearch:   21[ 24] 23:51:56   -40447.296576*       0.4587
BFGSLineSearch:   22[ 26] 00:09:57   -40447.307748*       0.3430
BFGSLineSearch:   23[ 28] 00:27:42   -40447.319272*       0.6360
BFGSLineSearch:   24[ 30] 00:46:11   -40447.333468*       0.5564
BFGSLineSearch:   25[ 31] 00:55:19   -40447.348410*       0.6748
BFGSLineSearch:   26[ 32] 01:03:18   -40447.360579*       0.2344
BFGSLineSearch:   27[ 33] 01:10:41   -40447.372410*       0.3544
BFGSLineSearch:   28[ 34] 01:18:43   -40447.387746*       0.3640
BFGSLineSearch:   29[ 35] 01:30:07   -40447.403610*       0.6174
BFGSLineSearch:   30[ 37] 01:44:50   -40447.411899*       0.1636
BFGSLineSearch:   31[ 39] 02:02:44   -40447.421683*       0.2595
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:25:05   -40447.421670*       0.2601
BFGSLineSearch:    1[  2] 09:44:09   -40447.426540*       0.1486
BFGSLineSearch:    2[  3] 09:55:15   -40447.435910*       0.2817
BFGSLineSearch:    3[  4] 10:07:30   -40447.443081*       0.2722
BFGSLineSearch:    4[  5] 10:18:22   -40447.448987*       0.1454
BFGSLineSearch:    5[  6] 10:28:13   -40447.454798*       0.2147
BFGSLineSearch:    6[  7] 10:38:25   -40447.460716*       0.2128
BFGSLineSearch:    7[  8] 10:49:04   -40447.467861*       0.2538
BFGSLineSearch:    8[  9] 10:58:58   -40447.478264*       0.2136
BFGSLineSearch:    9[ 10] 11:09:46   -40447.487093*       0.3882
BFGSLineSearch:   10[ 12] 11:31:42   -40447.495987*       0.1874
BFGSLineSearch:   11[ 13] 11:40:55   -40447.503477*       0.1504
BFGSLineSearch:   12[ 14] 11:51:42   -40447.508128*       0.2486
BFGSLineSearch:   13[ 15] 12:05:28   -40447.511790*       0.3905
BFGSLineSearch:   14[ 16] 12:15:10   -40447.515506*       0.3008
BFGSLineSearch:   15[ 17] 12:26:20   -40447.518717*       0.0985
BFGSLineSearch:   16[ 18] 12:35:05   -40447.520784*       0.1537
BFGSLineSearch:   17[ 19] 12:45:20   -40447.521888*       0.1983
BFGSLineSearch:   18[ 20] 12:54:33   -40447.525157*       0.0907
BFGSLineSearch:   19[ 21] 13:04:06   -40447.528582*       0.1428
BFGSLineSearch:   20[ 22] 13:14:07   -40447.531905*       0.0699
BFGSLineSearch:   21[ 23] 13:22:26   -40447.533940*       0.0603
BFGSLineSearch:   22[ 24] 13:32:03   -40447.535895*       0.1585
BFGSLineSearch:   23[ 25] 13:39:34   -40447.537431*       0.1348
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 10:14:00   -40447.537422*       0.1343
BFGSLineSearch:    1[  1] 10:22:38   -40447.538263*       0.0841
BFGSLineSearch:    2[  3] 10:39:23   -40447.538481*       0.0955
BFGSLineSearch:    3[  4] 10:49:07   -40447.540175*       0.0543
BFGSLineSearch:    4[  5] 10:56:26   -40447.541314*       0.1090
BFGSLineSearch:    5[  6] 11:07:35   -40447.543123*       0.1743
BFGSLineSearch:    6[  8] 11:24:50   -40447.545981*       0.1057
BFGSLineSearch:    7[  9] 11:34:09   -40447.547756*       0.1105
BFGSLineSearch:    8[ 10] 11:42:06   -40447.549442*       0.0900
BFGSLineSearch:    9[ 11] 11:50:56   -40447.550654*       0.0596
BFGSLineSearch:   10[ 12] 11:59:53   -40447.551708*       0.0731
BFGSLineSearch:   11[ 13] 12:08:24   -40447.552832*       0.0480
