                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:50:09   -40445.880554*       3.3761
BFGSLineSearch:    1[  2] 15:04:26   -40445.978663*       2.9537
BFGSLineSearch:    2[  4] 15:16:29   -40446.238706*       3.1008
BFGSLineSearch:    3[  6] 15:29:20   -40446.422992*       1.3980
BFGSLineSearch:    4[  8] 15:41:08   -40446.613443*       1.7240
BFGSLineSearch:    5[ 10] 15:52:47   -40446.733963*       1.1605
BFGSLineSearch:    6[ 12] 16:07:04   -40446.823041*       1.0583
BFGSLineSearch:    7[ 14] 16:21:27   -40446.884134*       0.9562
BFGSLineSearch:    8[ 16] 16:36:18   -40446.933524*       1.0908
BFGSLineSearch:    9[ 18] 16:51:07   -40447.000296*       0.6684
BFGSLineSearch:   10[ 19] 16:58:20   -40447.076734*       0.7349
BFGSLineSearch:   11[ 21] 17:14:34   -40447.144472*       0.3128
BFGSLineSearch:   12[ 23] 17:24:55   -40447.171266*       0.4473
BFGSLineSearch:   13[ 25] 17:36:39   -40447.197087*       0.5784
BFGSLineSearch:   14[ 27] 17:48:17   -40447.215959*       0.3256
BFGSLineSearch:   15[ 28] 17:56:05   -40447.240183*       0.4595
BFGSLineSearch:   16[ 30] 18:07:02   -40447.259505*       0.5956
BFGSLineSearch:   17[ 31] 18:12:13   -40447.280272*       0.4157
BFGSLineSearch:   18[ 32] 18:19:56   -40447.302729*       0.6029
BFGSLineSearch:   19[ 33] 18:27:06   -40447.321835*       0.6859
BFGSLineSearch:   20[ 34] 18:34:05   -40447.337149*       0.3853
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 19:19:18   -40447.337210*       0.3821
BFGSLineSearch:    1[  2] 19:33:20   -40447.346347*       0.1573
BFGSLineSearch:    2[  3] 19:39:54   -40447.354001*       0.3912
BFGSLineSearch:    3[  6] 20:00:24   -40447.375227*       0.1894
BFGSLineSearch:    4[  7] 20:07:40   -40447.384187*       0.8832
BFGSLineSearch:    5[  8] 20:14:01   -40447.395470*       0.1822
BFGSLineSearch:    6[  9] 20:19:29   -40447.405443*       0.1042
BFGSLineSearch:    7[ 11] 20:33:07   -40447.412996*       0.4887
BFGSLineSearch:    8[ 12] 20:39:06   -40447.420121*       0.4628
BFGSLineSearch:    9[ 13] 20:45:37   -40447.426175*       0.4653
BFGSLineSearch:   10[ 14] 20:53:19   -40447.431686*       0.1949
BFGSLineSearch:   11[ 16] 21:06:24   -40447.434572*       0.3585
BFGSLineSearch:   12[ 17] 21:12:28   -40447.437652*       0.1792
BFGSLineSearch:   13[ 18] 21:17:25   -40447.442333*       0.3693
BFGSLineSearch:   14[ 19] 21:22:49   -40447.445078*       0.1177
BFGSLineSearch:   15[ 20] 21:27:43   -40447.447902*       0.1773
BFGSLineSearch:   16[ 21] 21:34:27   -40447.449298*       0.1337
BFGSLineSearch:   17[ 22] 21:40:56   -40447.452777*       0.1801
BFGSLineSearch:   18[ 23] 21:47:40   -40447.454925*       0.2748
BFGSLineSearch:   19[ 24] 21:52:20   -40447.457964*       0.3763
BFGSLineSearch:   20[ 26] 22:03:47   -40447.460075*       0.1047
BFGSLineSearch:   21[ 28] 22:12:26   -40447.461077*       0.1909
BFGSLineSearch:   22[ 29] 22:16:45   -40447.462025*       0.1117
BFGSLineSearch:   23[ 30] 22:22:24   -40447.463359*       0.2089
BFGSLineSearch:   24[ 32] 22:30:39   -40447.464690*       0.0948
BFGSLineSearch:   25[ 33] 22:34:39   -40447.465375*       0.1181
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 23:49:51   -40447.465411*       0.1233
BFGSLineSearch:    1[  2] 00:06:53   -40447.466007*       0.0415
