                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:50:22   -40436.826705*      11.3962
BFGSLineSearch:    1[  1] 14:56:38   -40441.078687*       7.0451
BFGSLineSearch:    2[  2] 15:03:01   -40442.268384*      10.9497
BFGSLineSearch:    3[  4] 15:15:53   -40443.038756*       7.0246
BFGSLineSearch:    4[  6] 15:30:00   -40443.662693*       5.3420
BFGSLineSearch:    5[  8] 15:44:24   -40444.318821*       3.1823
BFGSLineSearch:    6[ 10] 15:59:58   -40444.773743*       3.8598
BFGSLineSearch:    7[ 11] 16:09:08   -40445.195431*       3.8972
BFGSLineSearch:    8[ 13] 16:23:08   -40445.491044*       2.9863
BFGSLineSearch:    9[ 15] 16:35:11   -40445.875444*       2.2315
BFGSLineSearch:   10[ 16] 16:42:40   -40446.105435*       4.0778
BFGSLineSearch:   11[ 17] 16:49:05   -40446.414680*       2.2645
BFGSLineSearch:   12[ 19] 17:00:16   -40446.672358*       1.8265
BFGSLineSearch:   13[ 20] 17:06:52   -40446.913914*       2.0464
BFGSLineSearch:   14[ 21] 17:13:16   -40447.045274*       2.6358
BFGSLineSearch:   15[ 23] 17:26:31   -40447.134244*       0.7500
BFGSLineSearch:   16[ 25] 17:37:29   -40447.188995*       0.3635
BFGSLineSearch:   17[ 26] 17:42:53   -40447.231267*       0.9583
BFGSLineSearch:   18[ 28] 17:54:34   -40447.258186*       0.9906
BFGSLineSearch:   19[ 29] 18:01:19   -40447.288576*       0.4117
BFGSLineSearch:   20[ 30] 18:07:22   -40447.308809*       0.6087
BFGSLineSearch:   21[ 31] 18:13:25   -40447.325125*       0.6749
BFGSLineSearch:   22[ 33] 18:25:09   -40447.340920*       0.3725
BFGSLineSearch:   23[ 34] 18:33:37   -40447.356115*       0.6615
BFGSLineSearch:   24[ 35] 18:39:42   -40447.368261*       0.3038
BFGSLineSearch:   25[ 36] 18:46:11   -40447.382109*       0.2772
BFGSLineSearch:   26[ 37] 18:53:17   -40447.393694*       0.4576
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 19:24:08   -40447.393781*       0.4610
BFGSLineSearch:    1[  2] 19:35:15   -40447.400691*       0.1789
BFGSLineSearch:    2[  4] 19:45:24   -40447.410483*       0.4152
BFGSLineSearch:    3[  6] 19:57:31   -40447.419014*       0.2410
BFGSLineSearch:    4[  7] 20:02:39   -40447.422101*       0.1514
BFGSLineSearch:    5[  8] 20:10:39   -40447.424520*       0.2364
BFGSLineSearch:    6[  9] 20:16:23   -40447.427434*       0.2656
BFGSLineSearch:    7[ 10] 20:20:45   -40447.429845*       0.1203
BFGSLineSearch:    8[ 11] 20:27:30   -40447.433173*       0.1192
BFGSLineSearch:    9[ 12] 20:32:42   -40447.436580*       0.1150
BFGSLineSearch:   10[ 13] 20:38:10   -40447.439818*       0.1086
BFGSLineSearch:   11[ 14] 20:43:14   -40447.442399*       0.1565
BFGSLineSearch:   12[ 15] 20:48:55   -40447.446404*       0.1276
BFGSLineSearch:   13[ 16] 20:54:17   -40447.449537*       0.1088
BFGSLineSearch:   14[ 18] 21:04:23   -40447.451734*       0.1992
BFGSLineSearch:   15[ 20] 21:21:17   -40447.455308*       0.4010
BFGSLineSearch:   16[ 21] 21:25:53   -40447.458697*       0.3990
BFGSLineSearch:   17[ 22] 21:31:03   -40447.464392*       0.1286
BFGSLineSearch:   18[ 23] 21:37:12   -40447.470255*       0.2680
BFGSLineSearch:   19[ 24] 21:42:09   -40447.476011*       0.1669
BFGSLineSearch:   20[ 25] 21:48:28   -40447.483696*       0.2895
BFGSLineSearch:   21[ 26] 21:53:43   -40447.488315*       0.3572
BFGSLineSearch:   22[ 27] 21:58:15   -40447.491024*       0.0890
BFGSLineSearch:   23[ 29] 22:08:10   -40447.492983*       0.2713
BFGSLineSearch:   24[ 30] 22:13:00   -40447.495038*       0.0660
BFGSLineSearch:   25[ 31] 22:20:13   -40447.496258*       0.1614
BFGSLineSearch:   26[ 34] 22:36:05   -40447.498788*       0.2610
BFGSLineSearch:   27[ 35] 22:40:25   -40447.500374*       0.1608
BFGSLineSearch:   28[ 37] 22:56:05   -40447.501418*       0.0824
BFGSLineSearch:   29[ 38] 23:01:00   -40447.502932*       0.0648
BFGSLineSearch:   30[ 39] 23:07:27   -40447.505138*       0.0783
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 23:45:54   -40447.505083*       0.0762
BFGSLineSearch:    1[  1] 23:52:39   -40447.506470*       0.1489
BFGSLineSearch:    2[  2] 00:04:01   -40447.509306*       0.3765
BFGSLineSearch:    3[  5] 00:36:50   -40447.514822*       0.3156
BFGSLineSearch:    4[  6] 00:47:26   -40447.517488*       0.2875
BFGSLineSearch:    5[  9] 01:22:44   -40447.522773*       0.1032
BFGSLineSearch:    6[ 12] 01:47:33   -40447.524579*       0.1602
BFGSLineSearch:    7[ 13] 01:57:22   -40447.525664*       0.1546
BFGSLineSearch:    8[ 25] 02:54:02   -40447.526076*       0.2116
BFGSLineSearch:    9[ 26] 03:02:25   -40447.527270*       0.1071
BFGSLineSearch:   10[ 36] 03:46:31   -40447.527477*       0.0870
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:19:25   -40447.527454*       0.0852
BFGSLineSearch:    1[  3] 09:43:25   -40447.528115*       0.0855
BFGSLineSearch:    2[  6] 10:09:58   -40447.530592*       0.1594
BFGSLineSearch:    3[  7] 10:17:41   -40447.531513*       0.1482
BFGSLineSearch:    4[ 10] 10:47:26   -40447.532948*       0.1617
BFGSLineSearch:    5[ 11] 10:57:13   -40447.534623*       0.1436
BFGSLineSearch:    6[ 13] 11:19:23   -40447.535874*       0.1553
BFGSLineSearch:    7[ 14] 11:27:30   -40447.536577*       0.0661
BFGSLineSearch:    8[ 16] 11:41:04   -40447.537504*       0.2100
BFGSLineSearch:    9[ 20] 12:16:01   -40447.539930*       0.2140
BFGSLineSearch:   10[ 23] 12:41:42   -40447.540914*       0.0774
BFGSLineSearch:   11[ 25] 12:56:16   -40447.541038*       0.0741
BFGSLineSearch:   12[ 27] 13:21:39   -40447.541410*       0.1018
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 10:13:50   -40447.541397*       0.1017
BFGSLineSearch:    1[  3] 10:37:48   -40447.541631*       0.1198
BFGSLineSearch:    2[ 15] 11:32:30   -40447.541640*       0.1270
BFGSLineSearch:    3[ 17] 11:49:57   -40447.541852*       0.1464
BFGSLineSearch:    4[ 18] 11:59:14   -40447.542350*       0.0714
BFGSLineSearch:    5[ 19] 12:08:42   -40447.543189*       0.1052
BFGSLineSearch:    6[ 22] 12:41:48   -40447.544809*       0.1287
BFGSLineSearch:    7[ 23] 12:51:59   -40447.546412*       0.0676
BFGSLineSearch:    8[ 24] 12:59:24   -40447.546888*       0.1173
BFGSLineSearch:    9[ 26] 13:18:27   -40447.547569*       0.2462
BFGSLineSearch:   10[ 27] 13:25:13   -40447.548116*       0.0773
BFGSLineSearch:   11[ 29] 13:41:17   -40447.549545*       0.0785
BFGSLineSearch:   12[ 32] 14:08:43   -40447.551258*       0.0883
BFGSLineSearch:   13[ 33] 14:16:29   -40447.551918*       0.0730
BFGSLineSearch:   14[ 35] 14:32:55   -40447.551987*       0.0690
BFGSLineSearch:   15[ 37] 14:45:51   -40447.552246*       0.1015
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 17:09:08   -40447.552234*       0.0989
BFGSLineSearch:    1[  1] 17:15:06   -40447.552391*       0.0736
BFGSLineSearch:    2[  3] 17:28:04   -40447.553105*       0.0986
BFGSLineSearch:    3[  7] 18:01:01   -40447.553637*       0.1533
BFGSLineSearch:    4[  8] 18:07:10   -40447.553998*       0.0836
BFGSLineSearch:    5[ 11] 18:35:39   -40447.554448*       0.0998
BFGSLineSearch:    6[ 12] 18:43:38   -40447.554740*       0.0795
BFGSLineSearch:    7[ 13] 18:50:05   -40447.555244*       0.0672
BFGSLineSearch:    8[ 15] 19:04:43   -40447.555592*       0.0678
BFGSLineSearch:    9[ 16] 19:11:13   -40447.556061*       0.0381
