                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:53:29   -40437.480493*       8.2606
BFGSLineSearch:    1[  1] 14:59:17   -40440.238713*       9.1280
BFGSLineSearch:    2[  2] 15:06:08   -40442.560723*       5.3733
BFGSLineSearch:    3[  4] 15:19:36   -40443.403750*       3.6334
BFGSLineSearch:    4[  5] 15:26:34   -40444.285634*       7.7233
BFGSLineSearch:    5[  6] 15:33:19   -40444.991992*       2.4016
BFGSLineSearch:    6[  7] 15:39:37   -40445.554731*       3.4764
BFGSLineSearch:    7[  8] 15:48:06   -40446.013121*       4.9893
BFGSLineSearch:    8[  9] 15:56:10   -40446.459000*       2.5391
BFGSLineSearch:    9[ 10] 16:06:48   -40446.750595*       2.8111
BFGSLineSearch:   10[ 11] 16:13:41   -40446.960146*       2.5161
BFGSLineSearch:   11[ 13] 16:28:17   -40447.119134*       1.1213
BFGSLineSearch:   12[ 15] 16:39:58   -40447.230357*       0.7581
BFGSLineSearch:   13[ 17] 16:56:15   -40447.287185*       0.6418
BFGSLineSearch:   14[ 19] 17:08:51   -40447.330416*       0.7027
BFGSLineSearch:   15[ 21] 17:24:49   -40447.376015*       0.8927
BFGSLineSearch:   16[ 22] 17:31:30   -40447.394129*       0.4266
BFGSLineSearch:   17[ 24] 17:42:40   -40447.412366*       0.3020
BFGSLineSearch:   18[ 26] 17:52:18   -40447.425186*       0.3310
BFGSLineSearch:   19[ 27] 17:58:45   -40447.435571*       0.3659
BFGSLineSearch:   20[ 28] 18:05:00   -40447.448096*       0.4607
BFGSLineSearch:   21[ 30] 18:18:03   -40447.453367*       0.2551
BFGSLineSearch:   22[ 32] 18:29:47   -40447.457526*       0.1860
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 19:22:47   -40447.457546*       0.1903
BFGSLineSearch:    1[  2] 19:31:40   -40447.459287*       0.1525
BFGSLineSearch:    2[  4] 19:43:54   -40447.464126*       0.2489
BFGSLineSearch:    3[  5] 19:49:41   -40447.465926*       0.0791
BFGSLineSearch:    4[  6] 19:54:59   -40447.468832*       0.0909
BFGSLineSearch:    5[  7] 20:01:53   -40447.473966*       0.0967
BFGSLineSearch:    6[  8] 20:07:56   -40447.478203*       0.2489
BFGSLineSearch:    7[  9] 20:14:09   -40447.481654*       0.2067
BFGSLineSearch:    8[ 10] 20:19:24   -40447.485032*       0.2627
BFGSLineSearch:    9[ 11] 20:25:19   -40447.487328*       0.0961
BFGSLineSearch:   10[ 12] 20:30:03   -40447.488920*       0.2370
BFGSLineSearch:   11[ 13] 20:36:01   -40447.490970*       0.3953
BFGSLineSearch:   12[ 14] 20:40:39   -40447.493203*       0.1583
BFGSLineSearch:   13[ 15] 20:47:34   -40447.495751*       0.2277
BFGSLineSearch:   14[ 16] 20:52:55   -40447.497832*       0.1711
BFGSLineSearch:   15[ 17] 20:58:06   -40447.499638*       0.3018
BFGSLineSearch:   16[ 18] 21:02:45   -40447.501768*       0.2217
BFGSLineSearch:   17[ 20] 21:16:44   -40447.502866*       0.2329
BFGSLineSearch:   18[ 22] 21:27:21   -40447.505582*       0.1221
BFGSLineSearch:   19[ 23] 21:32:15   -40447.507715*       0.1016
BFGSLineSearch:   20[ 24] 21:36:53   -40447.509564*       0.1326
BFGSLineSearch:   21[ 25] 21:42:10   -40447.511129*       0.4422
BFGSLineSearch:   22[ 27] 21:55:33   -40447.511836*       0.5815
BFGSLineSearch:   23[ 28] 22:00:43   -40447.515164*       0.1305
BFGSLineSearch:   24[ 29] 22:07:52   -40447.516914*       0.1424
BFGSLineSearch:   25[ 30] 22:12:30   -40447.518704*       0.1208
BFGSLineSearch:   26[ 31] 22:18:52   -40447.520370*       0.0883
