                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:51:50   -40438.770009*       5.6799
BFGSLineSearch:    1[  2] 15:04:22   -40439.303875*       3.7588
BFGSLineSearch:    2[  3] 15:11:11   -40440.823083*       7.9391
BFGSLineSearch:    3[  4] 15:17:00   -40441.245084*       8.9085
BFGSLineSearch:    4[  5] 15:24:18   -40442.096471*       9.9023
BFGSLineSearch:    5[  7] 15:36:52   -40444.281427*       3.2379
BFGSLineSearch:    6[  8] 15:49:37   -40445.699165*       2.2817
BFGSLineSearch:    7[ 10] 16:04:49   -40446.157612*       2.8833
BFGSLineSearch:    8[ 12] 16:21:04   -40446.495796*       2.2563
BFGSLineSearch:    9[ 14] 16:35:58   -40446.729997*       1.7507
BFGSLineSearch:   10[ 16] 16:52:54   -40446.924357*       1.4824
BFGSLineSearch:   11[ 18] 17:08:26   -40447.024451*       1.1901
BFGSLineSearch:   12[ 20] 17:22:19   -40447.124822*       0.8681
BFGSLineSearch:   13[ 22] 17:37:42   -40447.199976*       0.7022
BFGSLineSearch:   14[ 24] 17:52:26   -40447.239852*       0.9268
BFGSLineSearch:   15[ 26] 18:07:42   -40447.275825*       0.7242
BFGSLineSearch:   16[ 28] 18:19:48   -40447.316688*       0.5677
BFGSLineSearch:   17[ 30] 18:31:37   -40447.350073*       1.4358
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 19:19:16   -40447.350077*       1.4313
BFGSLineSearch:    1[  2] 19:32:41   -40447.363446*       0.4971
BFGSLineSearch:    2[  3] 19:39:27   -40447.397560*       0.3779
BFGSLineSearch:    3[  4] 19:45:54   -40447.417705*       1.0548
BFGSLineSearch:    4[  5] 19:52:14   -40447.441615*       0.4933
BFGSLineSearch:    5[  7] 20:06:57   -40447.453948*       0.2446
BFGSLineSearch:    6[  9] 20:18:40   -40447.463362*       0.2355
BFGSLineSearch:    7[ 11] 20:31:38   -40447.474571*       0.3788
BFGSLineSearch:    8[ 12] 20:37:42   -40447.480961*       0.1608
BFGSLineSearch:    9[ 13] 20:44:24   -40447.487715*       0.0979
BFGSLineSearch:   10[ 14] 20:50:18   -40447.492532*       0.3514
BFGSLineSearch:   11[ 15] 20:56:25   -40447.498589*       0.2781
BFGSLineSearch:   12[ 16] 21:01:53   -40447.502855*       0.2923
BFGSLineSearch:   13[ 17] 21:08:00   -40447.507199*       0.2420
BFGSLineSearch:   14[ 18] 21:13:44   -40447.511631*       0.0861
BFGSLineSearch:   15[ 19] 21:20:49   -40447.514717*       0.1339
BFGSLineSearch:   16[ 20] 21:25:29   -40447.517020*       0.3453
BFGSLineSearch:   17[ 21] 21:29:54   -40447.519715*       0.1203
BFGSLineSearch:   18[ 22] 21:35:56   -40447.521773*       0.2591
BFGSLineSearch:   19[ 23] 21:40:34   -40447.522757*       0.0977
BFGSLineSearch:   20[ 24] 21:45:14   -40447.523719*       0.1407
BFGSLineSearch:   21[ 25] 21:49:59   -40447.524508*       0.0972
BFGSLineSearch:   22[ 26] 21:54:44   -40447.525426*       0.0967
BFGSLineSearch:   23[ 28] 22:02:51   -40447.526145*       0.1022
BFGSLineSearch:   24[ 30] 22:15:02   -40447.526671*       0.3551
BFGSLineSearch:   25[ 31] 22:19:39   -40447.527978*       0.0612
BFGSLineSearch:   26[ 32] 22:24:29   -40447.529158*       0.0624
BFGSLineSearch:   27[ 33] 22:31:14   -40447.530165*       0.0774
BFGSLineSearch:   28[ 34] 22:38:12   -40447.531278*       0.0876
BFGSLineSearch:   29[ 36] 22:50:44   -40447.531978*       0.0713
BFGSLineSearch:   30[ 37] 22:55:19   -40447.532931*       0.0702
