                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:50:51   -40437.018177*       7.2699
BFGSLineSearch:    1[  2] 15:04:22   -40437.864229*       5.6799
BFGSLineSearch:    2[  4] 15:18:51   -40440.045991*       7.6826
BFGSLineSearch:    3[  5] 15:25:05   -40441.451027*       9.6645
BFGSLineSearch:    4[  6] 15:31:33   -40443.700132*       5.0139
BFGSLineSearch:    5[  7] 15:39:40   -40444.529417*       5.5078
BFGSLineSearch:    6[  9] 15:54:18   -40445.091549*       5.0686
BFGSLineSearch:    7[ 11] 16:09:57   -40445.890335*       3.4901
BFGSLineSearch:    8[ 13] 16:26:03   -40446.273253*       1.9453
BFGSLineSearch:    9[ 15] 16:41:22   -40446.483363*       3.3204
BFGSLineSearch:   10[ 17] 16:54:33   -40446.677024*       2.1719
BFGSLineSearch:   11[ 19] 17:09:47   -40446.813873*       1.5447
BFGSLineSearch:   12[ 21] 17:22:47   -40446.903238*       1.7473
BFGSLineSearch:   13[ 23] 17:35:14   -40447.020494*       0.7015
BFGSLineSearch:   14[ 24] 17:41:33   -40447.130119*       0.9606
BFGSLineSearch:   15[ 26] 17:54:58   -40447.214033*       0.6200
BFGSLineSearch:   16[ 28] 18:09:05   -40447.267901*       0.9549
BFGSLineSearch:   17[ 30] 18:21:25   -40447.308729*       0.7643
BFGSLineSearch:   18[ 32] 18:33:36   -40447.336279*       1.1220
BFGSLineSearch:   19[ 34] 18:46:08   -40447.365292*       0.6570
BFGSLineSearch:   20[ 35] 18:53:01   -40447.390712*       0.4726
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 19:20:14   -40447.390734*       0.4727
BFGSLineSearch:    1[  2] 19:33:38   -40447.406422*       0.4172
BFGSLineSearch:    2[  4] 19:43:37   -40447.414825*       0.2296
BFGSLineSearch:    3[  5] 19:49:32   -40447.431518*       0.2565
BFGSLineSearch:    4[  7] 20:02:45   -40447.443364*       0.1432
BFGSLineSearch:    5[  9] 20:16:09   -40447.448569*       0.1495
BFGSLineSearch:    6[ 10] 20:21:53   -40447.454115*       0.1176
BFGSLineSearch:    7[ 11] 20:27:36   -40447.461689*       0.1510
BFGSLineSearch:    8[ 12] 20:32:58   -40447.466148*       0.1890
BFGSLineSearch:    9[ 13] 20:38:20   -40447.471166*       0.1264
BFGSLineSearch:   10[ 14] 20:43:45   -40447.475374*       0.1858
BFGSLineSearch:   11[ 15] 20:50:11   -40447.481807*       0.1580
BFGSLineSearch:   12[ 16] 20:55:19   -40447.487567*       0.1465
BFGSLineSearch:   13[ 17] 21:00:28   -40447.493449*       0.1414
BFGSLineSearch:   14[ 18] 21:08:28   -40447.500201*       0.1433
BFGSLineSearch:   15[ 19] 21:13:58   -40447.506682*       0.1137
BFGSLineSearch:   16[ 20] 21:19:17   -40447.513249*       0.1347
BFGSLineSearch:   17[ 21] 21:24:48   -40447.519863*       0.4079
BFGSLineSearch:   18[ 23] 21:39:37   -40447.524205*       0.3351
BFGSLineSearch:   19[ 24] 21:45:29   -40447.528494*       0.2203
BFGSLineSearch:   20[ 26] 21:57:43   -40447.529312*       0.2733
BFGSLineSearch:   21[ 28] 22:07:33   -40447.531571*       0.0720
BFGSLineSearch:   22[ 29] 22:12:24   -40447.533384*       0.1450
BFGSLineSearch:   23[ 30] 22:17:14   -40447.536278*       0.1691
BFGSLineSearch:   24[ 31] 22:23:03   -40447.538900*       0.0772
BFGSLineSearch:   25[ 33] 22:32:28   -40447.540573*       0.0789
BFGSLineSearch:   26[ 34] 22:37:21   -40447.542817*       0.2268
BFGSLineSearch:   27[ 35] 22:41:59   -40447.544370*       0.0782
BFGSLineSearch:   28[ 40] 23:08:06   -40447.545041*       0.0549
BFGSLineSearch:   29[ 41] 23:12:23   -40447.545752*       0.1046
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 23:52:38   -40447.545748*       0.0998
BFGSLineSearch:    1[  2] 00:08:35   -40447.546107*       0.0527
BFGSLineSearch:    2[  5] 00:38:11   -40447.546949*       0.1246
BFGSLineSearch:    3[  6] 00:48:09   -40447.548005*       0.0975
BFGSLineSearch:    4[ 21] 02:05:34   -40447.548344*       0.0843
BFGSLineSearch:    5[ 22] 02:14:17   -40447.549602*       0.0826
BFGSLineSearch:    6[ 23] 02:25:19   -40447.550988*       0.0659
BFGSLineSearch:    7[ 25] 02:45:49   -40447.551828*       0.1749
BFGSLineSearch:    8[ 26] 02:55:45   -40447.552571*       0.0982
BFGSLineSearch:    9[ 27] 03:05:05   -40447.553175*       0.0467
