                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:52:26   -40436.422816*       7.7280
BFGSLineSearch:    1[  1] 14:59:23   -40437.571732*       7.2100
BFGSLineSearch:    2[  3] 15:16:55   -40440.781494*      11.3982
BFGSLineSearch:    3[  4] 15:23:26   -40442.423010*       9.7439
BFGSLineSearch:    4[  5] 15:30:54   -40444.208194*       4.6430
BFGSLineSearch:    5[  7] 15:46:23   -40444.953246*       5.8620
BFGSLineSearch:    6[  9] 16:01:55   -40445.756113*       2.1566
BFGSLineSearch:    7[ 11] 16:19:22   -40446.076841*       3.7892
BFGSLineSearch:    8[ 13] 16:38:36   -40446.420921*       1.2964
BFGSLineSearch:    9[ 15] 16:53:39   -40446.646789*       1.8596
BFGSLineSearch:   10[ 17] 17:08:01   -40446.815262*       1.7734
BFGSLineSearch:   11[ 19] 17:21:14   -40446.947263*       1.0098
BFGSLineSearch:   12[ 21] 17:34:46   -40447.047199*       1.0869
BFGSLineSearch:   13[ 23] 17:47:52   -40447.130010*       0.8163
BFGSLineSearch:   14[ 24] 17:55:12   -40447.197939*       1.8420
BFGSLineSearch:   15[ 25] 18:02:10   -40447.256979*       1.1231
BFGSLineSearch:   16[ 27] 18:16:15   -40447.326243*       0.6577
BFGSLineSearch:   17[ 28] 18:22:17   -40447.372967*       1.3806
BFGSLineSearch:   18[ 30] 18:34:07   -40447.404277*       0.3738
BFGSLineSearch:   19[ 32] 18:47:20   -40447.429718*       0.3488
BFGSLineSearch:   20[ 33] 18:54:17   -40447.450801*       0.3010
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 19:19:21   -40447.450819*       0.2957
BFGSLineSearch:    1[  2] 19:30:52   -40447.460202*       0.3280
BFGSLineSearch:    2[  4] 19:42:39   -40447.466343*       0.4202
BFGSLineSearch:    3[  5] 19:49:21   -40447.474428*       0.3377
BFGSLineSearch:    4[  7] 20:04:18   -40447.481055*       0.1195
BFGSLineSearch:    5[  9] 20:14:33   -40447.483933*       0.0879
BFGSLineSearch:    6[ 10] 20:19:50   -40447.487061*       0.0919
BFGSLineSearch:    7[ 11] 20:26:04   -40447.491306*       0.1837
BFGSLineSearch:    8[ 12] 20:31:19   -40447.493615*       0.1549
BFGSLineSearch:    9[ 13] 20:36:12   -40447.495791*       0.0647
BFGSLineSearch:   10[ 14] 20:42:04   -40447.498159*       0.1033
BFGSLineSearch:   11[ 16] 20:55:22   -40447.499792*       0.0719
BFGSLineSearch:   12[ 17] 20:59:40   -40447.503447*       0.0706
BFGSLineSearch:   13[ 18] 21:05:23   -40447.510157*       0.1124
BFGSLineSearch:   14[ 19] 21:11:06   -40447.514072*       0.2238
BFGSLineSearch:   15[ 20] 21:16:07   -40447.520197*       0.0794
BFGSLineSearch:   16[ 21] 21:21:38   -40447.524448*       0.1169
BFGSLineSearch:   17[ 22] 21:27:50   -40447.529138*       0.1776
BFGSLineSearch:   18[ 23] 21:33:53   -40447.532288*       0.1387
BFGSLineSearch:   19[ 24] 21:39:24   -40447.535178*       0.1494
BFGSLineSearch:   20[ 25] 21:46:42   -40447.538327*       0.1387
BFGSLineSearch:   21[ 26] 21:52:36   -40447.540751*       0.1012
BFGSLineSearch:   22[ 28] 22:01:03   -40447.542175*       0.1077
BFGSLineSearch:   23[ 30] 22:11:59   -40447.543629*       0.0585
BFGSLineSearch:   24[ 31] 22:16:39   -40447.544661*       0.1247
BFGSLineSearch:   25[ 32] 22:21:31   -40447.545833*       0.1275
BFGSLineSearch:   26[ 33] 22:26:51   -40447.547314*       0.1265
BFGSLineSearch:   27[ 48] 23:04:45   -40447.548016*       0.1259
BFGSLineSearch:   28[ 49] 23:09:26   -40447.549760*       0.0772
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 23:45:14   -40447.549762*       0.0768
BFGSLineSearch:    1[  1] 23:54:46   -40447.550624*       0.0968
BFGSLineSearch:    2[  4] 00:33:24   -40447.552353*       0.0932
BFGSLineSearch:    3[  5] 00:41:48   -40447.553353*       0.0504
BFGSLineSearch:    4[  6] 00:50:07   -40447.554007*       0.0409
