                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:50:24   -40438.530809*       6.8580
BFGSLineSearch:    1[  2] 15:06:54   -40439.214393*       5.5855
BFGSLineSearch:    2[  5] 15:28:07   -40442.197309*      10.9111
BFGSLineSearch:    3[  6] 15:33:55   -40442.923991*       7.8411
BFGSLineSearch:    4[  8] 15:45:27   -40444.111958*       5.9920
BFGSLineSearch:    5[ 10] 16:00:25   -40445.213297*       7.3627
BFGSLineSearch:    6[ 12] 16:18:30   -40445.747938*       5.2175
BFGSLineSearch:    7[ 14] 16:35:29   -40446.282992*       1.8396
BFGSLineSearch:    8[ 16] 16:50:24   -40446.597314*       2.0428
BFGSLineSearch:    9[ 18] 17:06:04   -40446.850431*       1.7142
BFGSLineSearch:   10[ 20] 17:19:45   -40447.006477*       1.2400
BFGSLineSearch:   11[ 22] 17:35:05   -40447.130338*       2.0652
BFGSLineSearch:   12[ 23] 17:41:45   -40447.213785*       0.8780
BFGSLineSearch:   13[ 25] 17:53:59   -40447.266356*       0.9308
BFGSLineSearch:   14[ 27] 18:08:15   -40447.313070*       0.8269
BFGSLineSearch:   15[ 29] 18:22:49   -40447.337657*       1.0411
BFGSLineSearch:   16[ 31] 18:35:36   -40447.369128*       0.6360
BFGSLineSearch:   17[ 32] 18:43:23   -40447.416503*       0.4885
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 19:19:56   -40447.416517*       0.4857
BFGSLineSearch:    1[  2] 19:31:14   -40447.431371*       0.3146
BFGSLineSearch:    2[  3] 19:37:35   -40447.444678*       0.5560
BFGSLineSearch:    3[  4] 19:45:10   -40447.460135*       0.7405
BFGSLineSearch:    4[  6] 19:59:18   -40447.473720*       0.4780
BFGSLineSearch:    5[  8] 20:10:01   -40447.479825*       0.4019
BFGSLineSearch:    6[  9] 20:16:08   -40447.487296*       0.5395
BFGSLineSearch:    7[ 10] 20:22:20   -40447.494609*       0.1609
BFGSLineSearch:    8[ 12] 20:34:18   -40447.499337*       0.1788
BFGSLineSearch:    9[ 14] 20:46:47   -40447.503332*       0.4246
BFGSLineSearch:   10[ 15] 20:52:28   -40447.509094*       0.1827
BFGSLineSearch:   11[ 16] 21:00:05   -40447.513688*       0.3936
BFGSLineSearch:   12[ 17] 21:05:32   -40447.516661*       0.2412
BFGSLineSearch:   13[ 18] 21:10:44   -40447.518759*       0.1827
BFGSLineSearch:   14[ 19] 21:15:37   -40447.521021*       0.0670
BFGSLineSearch:   15[ 20] 21:20:31   -40447.523191*       0.2260
BFGSLineSearch:   16[ 21] 21:25:27   -40447.524795*       0.1248
BFGSLineSearch:   17[ 22] 21:30:30   -40447.525832*       0.1551
BFGSLineSearch:   18[ 23] 21:36:41   -40447.526830*       0.0868
BFGSLineSearch:   19[ 24] 21:40:38   -40447.527521*       0.0559
BFGSLineSearch:   20[ 25] 21:45:33   -40447.528444*       0.0617
BFGSLineSearch:   21[ 26] 21:51:22   -40447.528952*       0.1870
BFGSLineSearch:   22[ 28] 21:59:59   -40447.529315*       0.0456
