                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:52:14   -40446.025861*       3.3270
BFGSLineSearch:    1[  2] 15:05:52   -40446.104276*       2.5286
BFGSLineSearch:    2[  4] 15:21:32   -40446.316953*       2.7979
BFGSLineSearch:    3[  6] 15:34:42   -40446.473864*       1.2704
BFGSLineSearch:    4[  8] 15:46:48   -40446.642392*       1.6560
BFGSLineSearch:    5[ 10] 16:01:33   -40446.760226*       1.1737
BFGSLineSearch:    6[ 12] 16:17:12   -40446.843778*       1.0443
BFGSLineSearch:    7[ 14] 16:33:05   -40446.906036*       0.8867
BFGSLineSearch:    8[ 15] 16:41:40   -40446.970134*       0.7048
BFGSLineSearch:    9[ 17] 16:56:30   -40447.034058*       0.9081
BFGSLineSearch:   10[ 19] 17:10:16   -40447.086953*       0.9086
BFGSLineSearch:   11[ 21] 17:23:50   -40447.132668*       0.4074
BFGSLineSearch:   12[ 23] 17:36:33   -40447.158589*       0.4272
BFGSLineSearch:   13[ 25] 17:47:06   -40447.186566*       0.5912
BFGSLineSearch:   14[ 26] 17:52:33   -40447.203800*       0.5204
BFGSLineSearch:   15[ 27] 17:59:39   -40447.225628*       0.6060
BFGSLineSearch:   16[ 28] 18:07:35   -40447.243362*       0.8298
BFGSLineSearch:   17[ 29] 18:13:36   -40447.263606*       0.7143
BFGSLineSearch:   18[ 30] 18:20:21   -40447.280612*       0.7178
BFGSLineSearch:   19[ 31] 18:27:52   -40447.294508*       0.3603
BFGSLineSearch:   20[ 33] 18:42:12   -40447.311995*       0.7003
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 19:21:40   -40447.312039*       0.7092
BFGSLineSearch:    1[  2] 19:34:37   -40447.318834*       0.1467
BFGSLineSearch:    2[  4] 19:47:02   -40447.336564*       0.3580
BFGSLineSearch:    3[  5] 19:55:29   -40447.347979*       0.4113
BFGSLineSearch:    4[  6] 20:01:19   -40447.364691*       0.2389
BFGSLineSearch:    5[  7] 20:07:47   -40447.378716*       0.1891
BFGSLineSearch:    6[  8] 20:14:52   -40447.392513*       0.7734
BFGSLineSearch:    7[  9] 20:21:11   -40447.403242*       1.1799
BFGSLineSearch:    8[ 11] 20:33:23   -40447.410859*       0.1703
BFGSLineSearch:    9[ 12] 20:40:13   -40447.421754*       0.3694
BFGSLineSearch:   10[ 13] 20:45:46   -40447.427867*       0.2960
BFGSLineSearch:   11[ 15] 20:57:29   -40447.430898*       0.6203
BFGSLineSearch:   12[ 16] 21:03:28   -40447.436163*       0.1859
BFGSLineSearch:   13[ 17] 21:08:23   -40447.439663*       0.2808
BFGSLineSearch:   14[ 19] 21:18:13   -40447.441385*       0.3908
BFGSLineSearch:   15[ 20] 21:23:36   -40447.444259*       0.1092
BFGSLineSearch:   16[ 21] 21:29:37   -40447.446736*       0.0863
BFGSLineSearch:   17[ 22] 21:36:08   -40447.449972*       0.1151
BFGSLineSearch:   18[ 23] 21:41:25   -40447.452030*       0.1863
BFGSLineSearch:   19[ 24] 21:46:06   -40447.453264*       0.2673
BFGSLineSearch:   20[ 25] 21:52:09   -40447.454379*       0.2223
BFGSLineSearch:   21[ 26] 21:56:59   -40447.455952*       0.1185
BFGSLineSearch:   22[ 28] 22:07:40   -40447.456265*       0.1460
BFGSLineSearch:   23[ 29] 22:13:20   -40447.457752*       0.1197
BFGSLineSearch:   24[ 30] 22:19:37   -40447.458664*       0.0602
BFGSLineSearch:   25[ 31] 22:23:28   -40447.459634*       0.0358
