                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:51:54   -40436.184569*      13.7449
BFGSLineSearch:    1[  1] 14:57:53   -40439.642222*       5.9714
BFGSLineSearch:    2[  3] 15:11:13   -40440.793752*       3.7330
BFGSLineSearch:    3[  4] 15:17:15   -40441.872947*       9.3005
BFGSLineSearch:    4[  6] 15:29:46   -40442.584873*       7.7244
BFGSLineSearch:    5[  7] 15:38:30   -40443.344915*       3.8940
BFGSLineSearch:    6[  9] 15:53:02   -40443.944951*       6.0700
BFGSLineSearch:    7[ 10] 16:00:44   -40444.880175*       1.8674
BFGSLineSearch:    8[ 11] 16:08:35   -40445.278697*       4.0919
BFGSLineSearch:    9[ 13] 16:22:26   -40445.517223*       2.3816
BFGSLineSearch:   10[ 15] 16:37:10   -40445.854738*       2.4501
BFGSLineSearch:   11[ 17] 16:50:25   -40446.060001*       1.8968
BFGSLineSearch:   12[ 18] 16:57:24   -40446.268371*       2.4888
BFGSLineSearch:   13[ 19] 17:03:57   -40446.613435*       0.9744
BFGSLineSearch:   14[ 20] 17:10:00   -40446.830099*       1.0414
BFGSLineSearch:   15[ 21] 17:16:23   -40446.960333*       2.2048
BFGSLineSearch:   16[ 23] 17:30:27   -40447.057522*       1.1800
BFGSLineSearch:   17[ 25] 17:42:28   -40447.132656*       1.0218
BFGSLineSearch:   18[ 27] 17:54:10   -40447.185084*       0.3540
BFGSLineSearch:   19[ 28] 18:00:49   -40447.224181*       0.6246
BFGSLineSearch:   20[ 29] 18:08:10   -40447.258046*       0.8295
BFGSLineSearch:   21[ 30] 18:14:12   -40447.280596*       0.5585
BFGSLineSearch:   22[ 32] 18:26:19   -40447.307227*       0.4542
BFGSLineSearch:   23[ 33] 18:32:41   -40447.322045*       0.4128
BFGSLineSearch:   24[ 34] 18:39:06   -40447.340046*       0.4100
BFGSLineSearch:   25[ 35] 18:46:35   -40447.348429*       0.4503
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 19:21:24   -40447.348513*       0.4509
BFGSLineSearch:    1[  2] 19:35:21   -40447.355448*       0.1666
BFGSLineSearch:    2[  5] 19:55:04   -40447.365281*       0.5118
BFGSLineSearch:    3[  6] 20:01:34   -40447.381554*       0.4853
BFGSLineSearch:    4[  7] 20:07:24   -40447.392799*       0.3922
BFGSLineSearch:    5[  8] 20:14:10   -40447.403800*       0.6996
BFGSLineSearch:    6[  9] 20:19:16   -40447.410413*       0.4138
BFGSLineSearch:    7[ 11] 20:29:17   -40447.417040*       0.2133
BFGSLineSearch:    8[ 12] 20:34:10   -40447.419826*       0.1616
BFGSLineSearch:    9[ 13] 20:38:11   -40447.422835*       0.2548
BFGSLineSearch:   10[ 14] 20:43:22   -40447.424496*       0.1765
BFGSLineSearch:   11[ 15] 20:48:04   -40447.426827*       0.1908
BFGSLineSearch:   12[ 16] 20:52:52   -40447.429038*       0.0896
BFGSLineSearch:   13[ 17] 20:58:20   -40447.431227*       0.2837
BFGSLineSearch:   14[ 18] 21:04:13   -40447.434035*       0.2133
BFGSLineSearch:   15[ 19] 21:09:33   -40447.437345*       0.3737
BFGSLineSearch:   16[ 20] 21:14:40   -40447.441413*       0.4554
BFGSLineSearch:   17[ 22] 21:27:28   -40447.444784*       0.1412
BFGSLineSearch:   18[ 23] 21:32:31   -40447.449786*       0.2316
BFGSLineSearch:   19[ 24] 21:37:44   -40447.454755*       0.1521
BFGSLineSearch:   20[ 26] 21:48:37   -40447.458211*       0.2460
BFGSLineSearch:   21[ 27] 21:53:07   -40447.463661*       0.1601
BFGSLineSearch:   22[ 28] 21:58:43   -40447.472496*       0.1959
BFGSLineSearch:   23[ 29] 22:04:09   -40447.477471*       0.1835
BFGSLineSearch:   24[ 30] 22:10:29   -40447.481617*       0.5228
BFGSLineSearch:   25[ 31] 22:15:47   -40447.486817*       0.1449
BFGSLineSearch:   26[ 32] 22:20:50   -40447.490750*       0.0911
BFGSLineSearch:   27[ 34] 22:33:21   -40447.492849*       0.1764
BFGSLineSearch:   28[ 35] 22:38:01   -40447.494670*       0.0922
BFGSLineSearch:   29[ 38] 22:57:33   -40447.496612*       0.1260
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 23:44:05   -40447.496562*       0.1272
BFGSLineSearch:    1[  2] 00:00:46   -40447.497906*       0.1410
BFGSLineSearch:    2[  3] 00:07:25   -40447.498804*       0.0845
BFGSLineSearch:    3[  6] 00:28:15   -40447.499846*       0.1625
BFGSLineSearch:    4[  9] 00:58:34   -40447.502426*       0.5036
BFGSLineSearch:    5[ 10] 01:07:28   -40447.505452*       0.1120
BFGSLineSearch:    6[ 12] 01:28:21   -40447.508507*       0.2820
BFGSLineSearch:    7[ 13] 01:37:31   -40447.510505*       0.1084
BFGSLineSearch:    8[ 14] 01:47:52   -40447.513804*       0.1141
BFGSLineSearch:    9[ 16] 02:14:39   -40447.515713*       0.3577
