                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:54:50   -40437.115620*       6.8561
BFGSLineSearch:    1[  1] 15:01:10   -40437.832544*       7.3677
BFGSLineSearch:    2[  3] 15:19:30   -40440.395495*      10.9161
BFGSLineSearch:    3[  4] 15:25:14   -40442.040499*       8.7957
BFGSLineSearch:    4[  5] 15:32:11   -40443.867507*       6.4259
BFGSLineSearch:    5[  7] 15:45:20   -40444.812509*       4.4066
BFGSLineSearch:    6[  9] 16:00:41   -40445.516448*       4.5003
BFGSLineSearch:    7[ 11] 16:20:40   -40445.891520*       3.2545
BFGSLineSearch:    8[ 13] 16:38:08   -40446.273442*       1.8650
BFGSLineSearch:    9[ 15] 16:52:48   -40446.531479*       2.9309
BFGSLineSearch:   10[ 17] 17:06:47   -40446.730752*       2.3642
BFGSLineSearch:   11[ 19] 17:20:36   -40446.876974*       1.9712
BFGSLineSearch:   12[ 21] 17:33:35   -40446.973523*       1.5660
BFGSLineSearch:   13[ 23] 17:46:16   -40447.081499*       0.7483
BFGSLineSearch:   14[ 24] 17:54:13   -40447.151413*       1.2550
BFGSLineSearch:   15[ 26] 18:06:15   -40447.215109*       1.4197
BFGSLineSearch:   16[ 28] 18:18:30   -40447.290204*       0.4209
BFGSLineSearch:   17[ 29] 18:25:26   -40447.325639*       0.8060
BFGSLineSearch:   18[ 30] 18:32:04   -40447.359570*       0.7027
BFGSLineSearch:   19[ 32] 18:44:56   -40447.394202*       0.4763
BFGSLineSearch:   20[ 34] 18:56:14   -40447.412008*       0.2698
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 19:20:46   -40447.411998*       0.2696
BFGSLineSearch:    1[  2] 19:32:50   -40447.419339*       0.2065
BFGSLineSearch:    2[  4] 19:45:11   -40447.441734*       0.2558
BFGSLineSearch:    3[  6] 19:58:32   -40447.448778*       0.6155
BFGSLineSearch:    4[  8] 20:12:46   -40447.453113*       0.1814
BFGSLineSearch:    5[  9] 20:19:49   -40447.458163*       0.1115
BFGSLineSearch:    6[ 10] 20:24:54   -40447.461827*       0.1842
BFGSLineSearch:    7[ 11] 20:29:49   -40447.466402*       0.1381
BFGSLineSearch:    8[ 12] 20:36:14   -40447.469970*       0.1037
BFGSLineSearch:    9[ 13] 20:43:14   -40447.473374*       0.0810
BFGSLineSearch:   10[ 14] 20:49:17   -40447.476334*       0.0839
BFGSLineSearch:   11[ 15] 20:54:31   -40447.480840*       0.1082
BFGSLineSearch:   12[ 16] 20:59:11   -40447.485821*       0.1072
BFGSLineSearch:   13[ 17] 21:04:37   -40447.491456*       0.1652
BFGSLineSearch:   14[ 18] 21:09:10   -40447.497667*       0.1096
BFGSLineSearch:   15[ 19] 21:14:06   -40447.503858*       0.1395
BFGSLineSearch:   16[ 20] 21:20:11   -40447.509512*       0.1293
BFGSLineSearch:   17[ 21] 21:25:54   -40447.514679*       0.1457
BFGSLineSearch:   18[ 22] 21:30:42   -40447.520349*       0.1431
BFGSLineSearch:   19[ 23] 21:37:04   -40447.524651*       0.1388
BFGSLineSearch:   20[ 25] 21:48:00   -40447.528218*       0.1923
BFGSLineSearch:   21[ 26] 21:53:39   -40447.530749*       0.2086
BFGSLineSearch:   22[ 27] 21:58:32   -40447.534075*       0.0737
BFGSLineSearch:   23[ 28] 22:03:18   -40447.537260*       0.2799
BFGSLineSearch:   24[ 30] 22:13:15   -40447.539813*       0.2449
BFGSLineSearch:   25[ 31] 22:18:01   -40447.542178*       0.1275
BFGSLineSearch:   26[ 32] 22:22:54   -40447.543899*       0.2088
BFGSLineSearch:   27[ 33] 22:27:10   -40447.546235*       0.0895
BFGSLineSearch:   28[ 35] 22:40:10   -40447.547480*       0.0640
BFGSLineSearch:   29[ 36] 22:45:06   -40447.548379*       0.0478
