                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:51:36   -40438.589740*       6.3049
BFGSLineSearch:    1[  2] 15:04:23   -40439.222221*       5.1071
BFGSLineSearch:    2[  5] 15:26:37   -40441.818143*      10.1971
BFGSLineSearch:    3[  6] 15:31:39   -40442.441580*       8.4666
BFGSLineSearch:    4[  7] 15:37:59   -40444.015244*      11.0653
BFGSLineSearch:    5[  9] 15:52:27   -40444.821227*       4.7486
BFGSLineSearch:    6[ 10] 16:00:08   -40445.624669*       4.7290
BFGSLineSearch:    7[ 12] 16:17:31   -40446.188253*       1.8718
BFGSLineSearch:    8[ 14] 16:34:36   -40446.556639*       2.5889
BFGSLineSearch:    9[ 16] 16:50:53   -40446.784474*       2.6485
BFGSLineSearch:   10[ 18] 17:03:35   -40446.907785*       2.2556
BFGSLineSearch:   11[ 20] 17:15:56   -40447.088974*       1.7122
BFGSLineSearch:   12[ 22] 17:27:35   -40447.171216*       1.0446
BFGSLineSearch:   13[ 24] 17:42:26   -40447.239065*       0.8553
BFGSLineSearch:   14[ 26] 17:55:52   -40447.275703*       0.8437
BFGSLineSearch:   15[ 28] 18:09:33   -40447.313351*       1.0319
BFGSLineSearch:   16[ 30] 18:20:41   -40447.349155*       0.8209
BFGSLineSearch:   17[ 32] 18:31:47   -40447.384770*       0.5490
BFGSLineSearch:   18[ 34] 18:43:45   -40447.409323*       0.4100
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 19:21:45   -40447.409328*       0.4151
BFGSLineSearch:    1[  2] 19:34:12   -40447.421255*       0.3429
BFGSLineSearch:    2[  3] 19:40:38   -40447.444074*       0.5448
BFGSLineSearch:    3[  5] 19:54:41   -40447.457658*       0.5865
BFGSLineSearch:    4[  7] 20:06:16   -40447.465933*       0.1994
BFGSLineSearch:    5[  8] 20:13:39   -40447.477850*       0.6201
BFGSLineSearch:    6[  9] 20:21:34   -40447.484441*       0.5343
BFGSLineSearch:    7[ 11] 20:33:33   -40447.491791*       0.2302
BFGSLineSearch:    8[ 13] 20:42:56   -40447.495812*       0.1700
BFGSLineSearch:    9[ 14] 20:48:31   -40447.500408*       0.4223
BFGSLineSearch:   10[ 15] 20:54:29   -40447.504318*       0.2964
BFGSLineSearch:   11[ 16] 21:00:07   -40447.507735*       0.1394
BFGSLineSearch:   12[ 17] 21:06:03   -40447.509842*       0.1082
BFGSLineSearch:   13[ 18] 21:11:49   -40447.512423*       0.3620
BFGSLineSearch:   14[ 19] 21:16:21   -40447.515709*       0.1590
BFGSLineSearch:   15[ 21] 21:26:20   -40447.517153*       0.1985
BFGSLineSearch:   16[ 22] 21:31:49   -40447.519060*       0.2399
BFGSLineSearch:   17[ 23] 21:37:28   -40447.520582*       0.0671
BFGSLineSearch:   18[ 24] 21:41:43   -40447.521698*       0.0779
BFGSLineSearch:   19[ 25] 21:45:46   -40447.522514*       0.0648
BFGSLineSearch:   20[ 28] 22:00:18   -40447.523465*       0.1388
