                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:53:14   -40437.240693*       6.7136
BFGSLineSearch:    1[  2] 15:04:41   -40438.068553*       5.8385
BFGSLineSearch:    2[  4] 15:18:00   -40440.422065*       8.4693
BFGSLineSearch:    3[  5] 15:24:35   -40441.802431*      10.1927
BFGSLineSearch:    4[  6] 15:31:20   -40443.880862*       5.0446
BFGSLineSearch:    5[  8] 15:45:53   -40444.908768*       4.4299
BFGSLineSearch:    6[ 10] 16:04:36   -40445.670441*       3.4638
BFGSLineSearch:    7[ 12] 16:20:13   -40446.162747*       1.9796
BFGSLineSearch:    8[ 14] 16:35:23   -40446.369002*       2.2499
BFGSLineSearch:    9[ 16] 16:50:28   -40446.543835*       2.4677
BFGSLineSearch:   10[ 17] 16:56:38   -40446.801386*       0.9759
BFGSLineSearch:   11[ 19] 17:10:42   -40446.928542*       1.2311
BFGSLineSearch:   12[ 21] 17:23:31   -40447.012731*       1.2285
BFGSLineSearch:   13[ 23] 17:35:39   -40447.073128*       0.9862
BFGSLineSearch:   14[ 25] 17:48:27   -40447.152973*       1.7867
BFGSLineSearch:   15[ 27] 18:00:51   -40447.222634*       0.9142
BFGSLineSearch:   16[ 28] 18:07:16   -40447.285149*       1.6590
BFGSLineSearch:   17[ 30] 18:19:18   -40447.320847*       0.4670
BFGSLineSearch:   18[ 31] 18:26:43   -40447.349378*       0.6461
BFGSLineSearch:   19[ 33] 18:39:52   -40447.377618*       0.3645
BFGSLineSearch:   20[ 34] 18:46:56   -40447.400115*       0.3639
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 19:20:05   -40447.400122*       0.3590
BFGSLineSearch:    1[  2] 19:33:20   -40447.416377*       0.5294
BFGSLineSearch:    2[  4] 19:44:22   -40447.422390*       0.1925
BFGSLineSearch:    3[  5] 19:50:33   -40447.432520*       0.2532
BFGSLineSearch:    4[  7] 20:04:54   -40447.445238*       0.1435
BFGSLineSearch:    5[  8] 20:10:39   -40447.449262*       0.1298
BFGSLineSearch:    6[  9] 20:15:29   -40447.453631*       0.2095
BFGSLineSearch:    7[ 10] 20:21:28   -40447.457942*       0.2030
BFGSLineSearch:    8[ 11] 20:27:51   -40447.461547*       0.1579
BFGSLineSearch:    9[ 12] 20:34:29   -40447.464775*       0.1622
BFGSLineSearch:   10[ 13] 20:41:12   -40447.467268*       0.0899
BFGSLineSearch:   11[ 14] 20:45:53   -40447.470866*       0.1071
BFGSLineSearch:   12[ 15] 20:51:21   -40447.476742*       0.2254
BFGSLineSearch:   13[ 16] 20:56:28   -40447.481085*       0.2801
BFGSLineSearch:   14[ 17] 21:01:27   -40447.487255*       0.0908
BFGSLineSearch:   15[ 18] 21:06:59   -40447.495437*       0.1211
BFGSLineSearch:   16[ 20] 21:17:22   -40447.499964*       0.2821
BFGSLineSearch:   17[ 21] 21:23:34   -40447.505333*       0.3336
BFGSLineSearch:   18[ 22] 21:28:09   -40447.512277*       0.1202
BFGSLineSearch:   19[ 23] 21:34:20   -40447.519083*       0.1811
BFGSLineSearch:   20[ 24] 21:39:52   -40447.524328*       0.3116
BFGSLineSearch:   21[ 26] 21:52:17   -40447.527741*       0.3738
BFGSLineSearch:   22[ 28] 22:02:10   -40447.531333*       0.0894
BFGSLineSearch:   23[ 29] 22:06:58   -40447.533476*       0.3445
BFGSLineSearch:   24[ 32] 22:25:03   -40447.537832*       0.1257
BFGSLineSearch:   25[ 33] 22:29:49   -40447.539587*       0.2772
BFGSLineSearch:   26[ 35] 22:41:13   -40447.540815*       0.2311
BFGSLineSearch:   27[ 36] 22:46:11   -40447.542853*       0.3420
BFGSLineSearch:   28[ 37] 22:50:27   -40447.544843*       0.0855
BFGSLineSearch:   29[ 38] 22:54:38   -40447.546409*       0.1440
BFGSLineSearch:   30[ 39] 22:59:29   -40447.547681*       0.1587
BFGSLineSearch:   31[ 41] 23:10:34   -40447.548225*       0.0794
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 23:46:25   -40447.548198*       0.0787
BFGSLineSearch:    1[  3] 00:14:55   -40447.549115*       0.0450
