                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:52:29   -40444.949048*       4.3211
BFGSLineSearch:    1[  2] 15:03:46   -40445.144683*       3.7687
BFGSLineSearch:    2[  3] 15:09:11   -40445.640421*       3.4293
BFGSLineSearch:    3[  5] 15:20:39   -40445.921471*       2.8905
BFGSLineSearch:    4[  7] 15:33:48   -40446.110034*       2.0814
BFGSLineSearch:    5[  9] 15:47:37   -40446.224622*       1.2651
BFGSLineSearch:    6[ 11] 16:00:30   -40446.332450*       1.2099
BFGSLineSearch:    7[ 13] 16:15:49   -40446.369916*       1.1219
BFGSLineSearch:    8[ 15] 16:28:42   -40446.435886*       0.7683
BFGSLineSearch:    9[ 17] 16:42:45   -40446.461736*       1.1267
BFGSLineSearch:   10[ 18] 16:52:53   -40446.498917*       0.8889
BFGSLineSearch:   11[ 20] 17:03:57   -40446.534271*       0.5887
BFGSLineSearch:   12[ 22] 17:16:17   -40446.566560*       0.3709
BFGSLineSearch:   13[ 24] 17:28:10   -40446.594393*       0.6534
BFGSLineSearch:   14[ 25] 17:33:20   -40446.621178*       0.6460
BFGSLineSearch:   15[ 26] 17:38:43   -40446.664536*       0.9353
BFGSLineSearch:   16[ 28] 17:49:18   -40446.689940*       0.4944
BFGSLineSearch:   17[ 29] 17:54:57   -40446.705651*       0.6865
BFGSLineSearch:   18[ 30] 18:02:11   -40446.729114*       0.2915
BFGSLineSearch:   19[ 32] 18:16:09   -40446.737814*       0.2019
BFGSLineSearch:   20[ 33] 18:23:49   -40446.747316*       0.2892
BFGSLineSearch:   21[ 35] 18:34:50   -40446.755438*       0.3010
BFGSLineSearch:   22[ 36] 18:39:33   -40446.761478*       0.6721
BFGSLineSearch:   23[ 38] 18:49:44   -40446.766739*       0.1897
BFGSLineSearch:   24[ 39] 18:54:42   -40446.773480*       0.1932
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 19:18:53   -40446.773478*       0.1954
BFGSLineSearch:    1[  2] 19:26:59   -40446.776542*       0.2873
BFGSLineSearch:    2[  3] 19:32:03   -40446.779748*       0.1330
BFGSLineSearch:    3[  4] 19:39:39   -40446.785656*       0.2407
BFGSLineSearch:    4[  5] 19:44:19   -40446.788092*       0.1395
BFGSLineSearch:    5[  6] 19:49:40   -40446.792064*       0.2701
BFGSLineSearch:    6[  7] 19:55:50   -40446.796953*       0.2835
BFGSLineSearch:    7[  8] 20:00:39   -40446.801154*       0.1152
BFGSLineSearch:    8[ 10] 20:14:11   -40446.802944*       0.2360
BFGSLineSearch:    9[ 12] 20:23:08   -40446.805492*       0.2591
BFGSLineSearch:   10[ 13] 20:27:57   -40446.809824*       0.0680
BFGSLineSearch:   11[ 14] 20:33:16   -40446.813669*       0.1063
BFGSLineSearch:   12[ 15] 20:38:29   -40446.816454*       0.1332
BFGSLineSearch:   13[ 16] 20:43:26   -40446.819240*       0.0959
BFGSLineSearch:   14[ 17] 20:47:45   -40446.820942*       0.0743
BFGSLineSearch:   15[ 18] 20:52:00   -40446.822101*       0.1165
BFGSLineSearch:   16[ 20] 21:01:57   -40446.822767*       0.1012
BFGSLineSearch:   17[ 22] 21:11:27   -40446.823315*       0.0631
BFGSLineSearch:   18[ 23] 21:15:15   -40446.823806*       0.0412
