                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:52:34   -40436.389611*      10.6631
BFGSLineSearch:    1[  1] 15:01:55   -40438.720206*       7.1840
BFGSLineSearch:    2[  3] 15:17:13   -40441.248037*      11.1186
BFGSLineSearch:    3[  5] 15:28:56   -40442.233275*       4.4338
BFGSLineSearch:    4[  6] 15:36:04   -40443.430330*       5.3157
BFGSLineSearch:    5[  8] 15:49:30   -40444.070527*       3.7907
BFGSLineSearch:    6[ 10] 16:02:22   -40444.542784*       3.2440
BFGSLineSearch:    7[ 12] 16:17:16   -40444.916747*       2.2939
BFGSLineSearch:    8[ 14] 16:35:03   -40445.132135*       1.8115
BFGSLineSearch:    9[ 16] 16:49:48   -40445.399160*       1.4506
BFGSLineSearch:   10[ 18] 17:02:46   -40445.573070*       1.9634
BFGSLineSearch:   11[ 20] 17:16:47   -40445.715771*       1.8924
BFGSLineSearch:   12[ 22] 17:31:02   -40445.842495*       1.4427
BFGSLineSearch:   13[ 23] 17:38:13   -40446.011708*       0.8584
BFGSLineSearch:   14[ 24] 17:45:28   -40446.153437*       1.0266
BFGSLineSearch:   15[ 25] 17:52:10   -40446.293852*       0.9724
BFGSLineSearch:   16[ 26] 17:59:22   -40446.364580*       0.6026
BFGSLineSearch:   17[ 27] 18:06:47   -40446.456686*       0.6759
BFGSLineSearch:   18[ 28] 18:13:48   -40446.505853*       0.6603
BFGSLineSearch:   19[ 30] 18:27:16   -40446.550686*       0.4621
BFGSLineSearch:   20[ 32] 18:40:58   -40446.587032*       0.4343
BFGSLineSearch:   21[ 33] 18:46:53   -40446.610576*       0.6381
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 19:19:49   -40446.610591*       0.6378
BFGSLineSearch:    1[  2] 19:32:06   -40446.625180*       0.2766
BFGSLineSearch:    2[  3] 19:38:58   -40446.642055*       0.1939
BFGSLineSearch:    3[  4] 19:46:13   -40446.675444*       0.4095
BFGSLineSearch:    4[  5] 19:52:38   -40446.691393*       0.3000
BFGSLineSearch:    5[  6] 19:58:30   -40446.704892*       0.1765
BFGSLineSearch:    6[  7] 20:04:47   -40446.714173*       0.2149
BFGSLineSearch:    7[  8] 20:10:45   -40446.724044*       0.4513
BFGSLineSearch:    8[  9] 20:16:15   -40446.731910*       0.1145
BFGSLineSearch:    9[ 10] 20:21:32   -40446.736375*       0.2262
BFGSLineSearch:   10[ 11] 20:27:05   -40446.740027*       0.2058
BFGSLineSearch:   11[ 12] 20:32:14   -40446.742310*       0.1281
BFGSLineSearch:   12[ 13] 20:38:27   -40446.744286*       0.1942
BFGSLineSearch:   13[ 14] 20:44:12   -40446.746342*       0.0648
BFGSLineSearch:   14[ 15] 20:48:49   -40446.748495*       0.0565
BFGSLineSearch:   15[ 16] 20:53:57   -40446.750800*       0.1006
BFGSLineSearch:   16[ 17] 20:58:48   -40446.753221*       0.2090
