                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:50:13   -40438.909042*       8.3683
BFGSLineSearch:    1[  1] 14:56:33   -40440.738994*       9.1840
BFGSLineSearch:    2[  2] 15:03:37   -40442.646491*       7.0767
BFGSLineSearch:    3[  4] 15:15:45   -40443.295156*       2.9764
BFGSLineSearch:    4[  6] 15:33:40   -40443.916110*       2.8405
BFGSLineSearch:    5[  8] 15:48:07   -40444.377921*       2.2016
BFGSLineSearch:    6[ 10] 16:05:02   -40444.651316*       2.8050
BFGSLineSearch:    7[ 12] 16:21:55   -40444.973740*       1.8538
BFGSLineSearch:    8[ 14] 16:39:38   -40445.240130*       1.1653
BFGSLineSearch:    9[ 16] 16:54:45   -40445.419291*       1.7610
BFGSLineSearch:   10[ 18] 17:08:52   -40445.562489*       1.6926
BFGSLineSearch:   11[ 19] 17:18:03   -40445.711104*       1.7101
BFGSLineSearch:   12[ 20] 17:24:43   -40445.871294*       1.7888
BFGSLineSearch:   13[ 22] 17:38:03   -40446.014815*       1.4026
BFGSLineSearch:   14[ 24] 17:49:57   -40446.165784*       1.5320
BFGSLineSearch:   15[ 25] 17:56:06   -40446.259255*       1.0469
BFGSLineSearch:   16[ 26] 18:02:31   -40446.408137*       1.4380
BFGSLineSearch:   17[ 28] 18:15:49   -40446.483611*       1.0977
BFGSLineSearch:   18[ 29] 18:21:53   -40446.529360*       1.3624
BFGSLineSearch:   19[ 30] 18:28:54   -40446.578618*       1.0020
BFGSLineSearch:   20[ 32] 18:42:32   -40446.620942*       0.5469
BFGSLineSearch:   21[ 33] 18:48:31   -40446.644682*       0.3517
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 19:20:22   -40446.644693*       0.3488
BFGSLineSearch:    1[  2] 19:33:07   -40446.656612*       0.3564
BFGSLineSearch:    2[  3] 19:39:00   -40446.673031*       0.2916
BFGSLineSearch:    3[  4] 19:47:49   -40446.712051*       0.5548
BFGSLineSearch:    4[  6] 20:03:14   -40446.735011*       0.5698
BFGSLineSearch:    5[  7] 20:09:15   -40446.751344*       0.2832
BFGSLineSearch:    6[  8] 20:15:26   -40446.764242*       0.1900
BFGSLineSearch:    7[ 10] 20:27:35   -40446.772573*       0.4681
BFGSLineSearch:    8[ 11] 20:32:15   -40446.778210*       0.1211
BFGSLineSearch:    9[ 12] 20:37:57   -40446.783202*       0.0995
BFGSLineSearch:   10[ 13] 20:43:35   -40446.787709*       0.1343
BFGSLineSearch:   11[ 14] 20:49:44   -40446.791315*       0.1428
BFGSLineSearch:   12[ 15] 20:55:30   -40446.793451*       0.2631
BFGSLineSearch:   13[ 16] 21:00:52   -40446.796420*       0.1140
BFGSLineSearch:   14[ 18] 21:11:11   -40446.798229*       0.1960
BFGSLineSearch:   15[ 19] 21:18:22   -40446.800958*       0.0991
BFGSLineSearch:   16[ 20] 21:23:48   -40446.803650*       0.1492
BFGSLineSearch:   17[ 21] 21:29:19   -40446.805137*       0.1054
BFGSLineSearch:   18[ 22] 21:34:24   -40446.808046*       0.3722
BFGSLineSearch:   19[ 24] 21:46:31   -40446.810784*       0.2469
BFGSLineSearch:   20[ 25] 21:51:01   -40446.813456*       0.1207
BFGSLineSearch:   21[ 26] 21:56:23   -40446.815539*       0.3606
BFGSLineSearch:   22[ 27] 22:01:57   -40446.817233*       0.1263
BFGSLineSearch:   23[ 28] 22:06:25   -40446.818724*       0.0702
BFGSLineSearch:   24[ 30] 22:17:46   -40446.819685*       0.0814
BFGSLineSearch:   25[ 32] 22:25:28   -40446.820261*       0.0450
