                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:50:50   -40438.141083*       4.2989
BFGSLineSearch:    1[  2] 15:07:23   -40438.859713*       7.9711
BFGSLineSearch:    2[  3] 15:15:14   -40441.055391*       9.1613
BFGSLineSearch:    3[  4] 15:21:21   -40441.870124*       8.3246
BFGSLineSearch:    4[  5] 15:27:38   -40443.668350*       6.6051
BFGSLineSearch:    5[  7] 15:41:27   -40444.202008*       4.8878
BFGSLineSearch:    6[  9] 15:58:56   -40445.046989*       1.5582
BFGSLineSearch:    7[ 11] 16:13:56   -40445.282156*       2.2530
BFGSLineSearch:    8[ 13] 16:30:36   -40445.657906*       3.1784
BFGSLineSearch:    9[ 15] 16:45:57   -40445.795812*       3.7605
BFGSLineSearch:   10[ 17] 17:01:17   -40445.977904*       3.3172
BFGSLineSearch:   11[ 19] 17:14:47   -40446.111488*       1.5545
BFGSLineSearch:   12[ 21] 17:28:41   -40446.190173*       0.6329
BFGSLineSearch:   13[ 23] 17:41:56   -40446.256065*       0.7408
BFGSLineSearch:   14[ 25] 17:55:21   -40446.314688*       1.8459
BFGSLineSearch:   15[ 27] 18:08:08   -40446.357292*       0.7161
BFGSLineSearch:   16[ 28] 18:14:39   -40446.392945*       0.7173
BFGSLineSearch:   17[ 30] 18:26:34   -40446.434383*       1.4595
BFGSLineSearch:   18[ 32] 18:38:49   -40446.475709*       0.7397
BFGSLineSearch:   19[ 34] 18:52:54   -40446.504554*       0.4872
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 19:19:38   -40446.504563*       0.4863
BFGSLineSearch:    1[  2] 19:30:59   -40446.520952*       0.3891
BFGSLineSearch:    2[  4] 19:43:52   -40446.583948*       0.6023
BFGSLineSearch:    3[  6] 19:56:47   -40446.611136*       1.1229
BFGSLineSearch:    4[  8] 20:09:43   -40446.642482*       1.0191
BFGSLineSearch:    5[ 10] 20:22:40   -40446.670570*       1.1180
BFGSLineSearch:    6[ 11] 20:30:24   -40446.702060*       0.4527
BFGSLineSearch:    7[ 13] 20:41:23   -40446.720990*       0.5884
BFGSLineSearch:    8[ 14] 20:47:15   -40446.735301*       0.4766
BFGSLineSearch:    9[ 15] 20:53:08   -40446.749718*       0.5269
BFGSLineSearch:   10[ 16] 20:59:34   -40446.755561*       0.4418
BFGSLineSearch:   11[ 18] 21:09:08   -40446.760011*       0.2802
BFGSLineSearch:   12[ 19] 21:14:07   -40446.762525*       0.1559
BFGSLineSearch:   13[ 20] 21:18:54   -40446.764740*       0.2762
BFGSLineSearch:   14[ 21] 21:23:09   -40446.767311*       0.1248
BFGSLineSearch:   15[ 22] 21:27:31   -40446.768959*       0.2622
BFGSLineSearch:   16[ 23] 21:31:43   -40446.770645*       0.2161
BFGSLineSearch:   17[ 24] 21:36:35   -40446.772317*       0.0924
BFGSLineSearch:   18[ 25] 21:41:16   -40446.774888*       0.1312
BFGSLineSearch:   19[ 26] 21:48:20   -40446.777610*       0.2156
BFGSLineSearch:   20[ 27] 21:53:39   -40446.782019*       0.2087
BFGSLineSearch:   21[ 28] 21:59:29   -40446.786651*       0.1474
BFGSLineSearch:   22[ 30] 22:15:18   -40446.789131*       0.4135
BFGSLineSearch:   23[ 32] 22:25:48   -40446.791538*       0.0904
BFGSLineSearch:   24[ 33] 22:30:18   -40446.794603*       0.1676
BFGSLineSearch:   25[ 34] 22:35:29   -40446.796801*       0.3248
BFGSLineSearch:   26[ 36] 22:46:01   -40446.798619*       0.5363
BFGSLineSearch:   27[ 37] 22:51:28   -40446.802076*       0.0636
BFGSLineSearch:   28[ 40] 23:10:44   -40446.805212*       0.2758
BFGSLineSearch:   29[ 41] 23:17:59   -40446.810530*       0.1883
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 23:51:03   -40446.810543*       0.1886
BFGSLineSearch:    1[  1] 00:00:43   -40446.812395*       0.2713
BFGSLineSearch:    2[  3] 00:18:03   -40446.814591*       0.4970
BFGSLineSearch:    3[  5] 00:35:58   -40446.817607*       0.0972
BFGSLineSearch:    4[  6] 00:45:06   -40446.820390*       0.2094
BFGSLineSearch:    5[  8] 01:09:29   -40446.824162*       0.2609
BFGSLineSearch:    6[ 11] 01:41:05   -40446.831081*       0.4867
BFGSLineSearch:    7[ 12] 01:52:21   -40446.839379*       0.5334
BFGSLineSearch:    8[ 13] 02:01:37   -40446.847183*       0.2515
BFGSLineSearch:    9[ 14] 02:16:40   -40446.856068*       0.4143
BFGSLineSearch:   10[ 15] 02:26:09   -40446.870334*       0.1939
BFGSLineSearch:   11[ 16] 02:36:44   -40446.891037*       0.4353
BFGSLineSearch:   12[ 17] 02:47:14   -40446.914064*       0.3503
BFGSLineSearch:   13[ 18] 02:59:20   -40446.934645*       0.8137
BFGSLineSearch:   14[ 20] 03:19:28   -40446.963327*       0.4219
BFGSLineSearch:   15[ 21] 03:31:10   -40446.991725*       0.3838
BFGSLineSearch:   16[ 22] 03:44:47   -40447.015613*       0.6118
BFGSLineSearch:   17[ 23] 03:55:16   -40447.040649*       0.4663
BFGSLineSearch:   18[ 24] 04:06:30   -40447.059823*       0.4726
BFGSLineSearch:   19[ 26] 04:28:28   -40447.078522*       0.3968
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:16:31   -40447.078528*       0.3964
BFGSLineSearch:    1[  2] 09:36:33   -40447.088086*       0.2827
BFGSLineSearch:    2[  3] 09:47:05   -40447.107072*       0.5203
BFGSLineSearch:    3[  5] 10:10:17   -40447.127586*       0.3514
BFGSLineSearch:    4[  6] 10:21:22   -40447.144906*       0.7728
BFGSLineSearch:    5[  7] 10:33:57   -40447.161258*       0.2934
BFGSLineSearch:    6[  8] 10:43:55   -40447.175123*       0.2543
BFGSLineSearch:    7[  9] 10:56:16   -40447.188441*       0.2137
BFGSLineSearch:    8[ 10] 11:05:53   -40447.195173*       0.1902
BFGSLineSearch:    9[ 11] 11:14:29   -40447.201021*       0.1662
BFGSLineSearch:   10[ 12] 11:23:49   -40447.204696*       0.2385
BFGSLineSearch:   11[ 13] 11:32:59   -40447.210043*       0.1251
BFGSLineSearch:   12[ 14] 11:41:30   -40447.215433*       0.1470
