                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:50:23   -40420.853203*      49.0027
BFGSLineSearch:    1[  1] 14:56:16   -40433.131410*       9.9781
BFGSLineSearch:    2[  2] 15:02:35   -40434.644874*      12.9477
BFGSLineSearch:    3[  3] 15:09:52   -40436.894227*       9.7554
BFGSLineSearch:    4[  4] 15:16:55   -40438.593150*       4.0870
BFGSLineSearch:    5[  5] 15:24:14   -40439.412237*       3.2534
BFGSLineSearch:    6[  7] 15:37:45   -40439.843907*       2.2980
BFGSLineSearch:    7[  9] 15:52:42   -40440.123981*       2.1123
BFGSLineSearch:    8[ 11] 16:06:01   -40440.436753*       2.1150
BFGSLineSearch:    9[ 12] 16:12:05   -40440.662430*       3.7874
BFGSLineSearch:   10[ 14] 16:25:40   -40440.934115*       3.1219
BFGSLineSearch:   11[ 16] 16:39:52   -40441.281219*       1.2612
BFGSLineSearch:   12[ 18] 16:54:24   -40441.416443*       1.1749
BFGSLineSearch:   13[ 20] 17:08:32   -40441.482125*       0.7568
BFGSLineSearch:   14[ 22] 17:21:53   -40441.532866*       0.5571
BFGSLineSearch:   15[ 23] 17:28:13   -40441.574754*       0.6389
BFGSLineSearch:   16[ 25] 17:40:23   -40441.603680*       0.4387
BFGSLineSearch:   17[ 27] 17:52:03   -40441.624725*       0.3024
BFGSLineSearch:   18[ 29] 18:02:32   -40441.643544*       0.2858
BFGSLineSearch:   19[ 30] 18:08:27   -40441.665239*       0.3582
BFGSLineSearch:   20[ 31] 18:14:45   -40441.682219*       0.4570
BFGSLineSearch:   21[ 32] 18:20:53   -40441.699526*       0.2940
BFGSLineSearch:   22[ 34] 18:33:46   -40441.711275*       0.2140
BFGSLineSearch:   23[ 35] 18:40:06   -40441.723495*       0.2897
BFGSLineSearch:   24[ 36] 18:46:16   -40441.730888*       0.3558
BFGSLineSearch:   25[ 38] 18:56:19   -40441.738657*       0.2322
BFGSLineSearch:   26[ 39] 19:03:13   -40441.746576*       0.1442
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 19:19:43   -40441.746580*       0.1440
BFGSLineSearch:    1[  2] 19:28:49   -40441.750079*       0.1581
BFGSLineSearch:    2[  3] 19:35:09   -40441.756098*       0.2028
BFGSLineSearch:    3[  4] 19:42:10   -40441.765347*       0.1950
BFGSLineSearch:    4[  5] 19:47:48   -40441.772215*       0.2095
