                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:50:27   -40437.870406*       4.5188
BFGSLineSearch:    1[  1] 14:57:53   -40438.590318*      10.4088
BFGSLineSearch:    2[  2] 15:05:25   -40440.292610*      12.1581
BFGSLineSearch:    3[  3] 15:12:30   -40441.931724*       7.9413
BFGSLineSearch:    4[  4] 15:21:06   -40443.024453*       7.2221
BFGSLineSearch:    5[  6] 15:34:31   -40444.399498*       4.4912
BFGSLineSearch:    6[  8] 15:49:13   -40444.798797*       5.5985
BFGSLineSearch:    7[ 10] 16:04:55   -40445.159463*       2.3986
BFGSLineSearch:    8[ 12] 16:20:10   -40445.480268*       1.3255
BFGSLineSearch:    9[ 14] 16:34:38   -40445.674727*       2.2815
BFGSLineSearch:   10[ 16] 16:47:55   -40445.866785*       2.8086
BFGSLineSearch:   11[ 18] 16:59:19   -40446.068047*       2.5692
BFGSLineSearch:   12[ 20] 17:12:40   -40446.190049*       1.5394
BFGSLineSearch:   13[ 21] 17:18:19   -40446.329134*       1.0980
BFGSLineSearch:   14[ 22] 17:24:48   -40446.407035*       1.5518
BFGSLineSearch:   15[ 24] 17:39:25   -40446.509862*       2.1124
BFGSLineSearch:   16[ 26] 17:52:28   -40446.590931*       0.5161
BFGSLineSearch:   17[ 27] 17:59:00   -40446.627738*       0.7311
BFGSLineSearch:   18[ 29] 18:12:30   -40446.675269*       0.5329
BFGSLineSearch:   19[ 31] 18:23:14   -40446.705520*       0.4874
BFGSLineSearch:   20[ 32] 18:28:43   -40446.724434*       0.6097
BFGSLineSearch:   21[ 33] 18:36:11   -40446.749154*       0.5384
BFGSLineSearch:   22[ 34] 18:41:44   -40446.766297*       0.3580
BFGSLineSearch:   23[ 36] 18:53:27   -40446.779077*       0.3067
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 19:18:30   -40446.779078*       0.3092
BFGSLineSearch:    1[  2] 19:28:08   -40446.784342*       0.2451
BFGSLineSearch:    2[  3] 19:34:49   -40446.794579*       0.2944
BFGSLineSearch:    3[  5] 19:49:39   -40446.801435*       0.4011
BFGSLineSearch:    4[  6] 19:55:57   -40446.805914*       0.2555
BFGSLineSearch:    5[  7] 20:00:55   -40446.812901*       0.1511
BFGSLineSearch:    6[  8] 20:06:07   -40446.816072*       0.1052
BFGSLineSearch:    7[  9] 20:11:49   -40446.820330*       0.0662
BFGSLineSearch:    8[ 10] 20:17:15   -40446.823062*       0.2850
BFGSLineSearch:    9[ 11] 20:22:16   -40446.825620*       0.1807
BFGSLineSearch:   10[ 12] 20:27:11   -40446.828079*       0.1973
BFGSLineSearch:   11[ 13] 20:32:42   -40446.830228*       0.0668
BFGSLineSearch:   12[ 14] 20:37:00   -40446.831588*       0.1131
BFGSLineSearch:   13[ 15] 20:42:36   -40446.832946*       0.0939
BFGSLineSearch:   14[ 16] 20:47:09   -40446.834840*       0.1130
BFGSLineSearch:   15[ 17] 20:54:05   -40446.837233*       0.0682
BFGSLineSearch:   16[ 18] 21:00:56   -40446.839376*       0.1685
BFGSLineSearch:   17[ 19] 21:06:18   -40446.840954*       0.0703
BFGSLineSearch:   18[ 20] 21:12:03   -40446.841768*       0.1677
BFGSLineSearch:   19[ 21] 21:17:16   -40446.842520*       0.1224
BFGSLineSearch:   20[ 22] 21:21:31   -40446.843181*       0.0520
BFGSLineSearch:   21[ 23] 21:25:13   -40446.843458*       0.0531
BFGSLineSearch:   22[ 24] 21:29:27   -40446.843774*       0.0505
BFGSLineSearch:   23[ 25] 21:33:07   -40446.844023*       0.0391
