                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:52:12   -40438.426536*       4.4435
BFGSLineSearch:    1[  2] 15:05:48   -40439.111287*       7.5893
BFGSLineSearch:    2[  3] 15:12:46   -40441.151738*      11.2187
BFGSLineSearch:    3[  4] 15:18:45   -40441.974026*       8.2551
BFGSLineSearch:    4[  5] 15:24:42   -40443.015423*      15.1060
BFGSLineSearch:    5[  7] 15:39:19   -40444.134116*       2.9888
BFGSLineSearch:    6[  9] 15:54:01   -40444.985786*       2.6738
BFGSLineSearch:    7[ 11] 16:10:09   -40445.274608*       3.1039
BFGSLineSearch:    8[ 12] 16:17:39   -40445.653336*       3.6927
BFGSLineSearch:    9[ 14] 16:30:17   -40445.828607*       3.6379
BFGSLineSearch:   10[ 16] 16:43:12   -40446.048640*       1.6323
BFGSLineSearch:   11[ 18] 16:56:05   -40446.166771*       1.7546
BFGSLineSearch:   12[ 20] 17:08:18   -40446.286229*       1.1375
BFGSLineSearch:   13[ 22] 17:20:50   -40446.383082*       0.6899
BFGSLineSearch:   14[ 24] 17:38:57   -40446.454339*       2.2020
BFGSLineSearch:   15[ 25] 17:46:02   -40446.539583*       0.9647
BFGSLineSearch:   16[ 27] 17:58:05   -40446.606241*       1.6106
BFGSLineSearch:   17[ 29] 18:13:01   -40446.656353*       0.8305
BFGSLineSearch:   18[ 31] 18:27:02   -40446.684954*       0.9631
BFGSLineSearch:   19[ 33] 18:39:20   -40446.710753*       0.3224
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 19:21:08   -40446.710768*       0.3239
BFGSLineSearch:    1[  2] 19:33:44   -40446.721640*       0.7815
BFGSLineSearch:    2[  3] 19:39:22   -40446.739965*       0.3056
BFGSLineSearch:    3[  5] 19:51:48   -40446.754199*       0.2080
BFGSLineSearch:    4[  6] 19:57:13   -40446.766408*       0.1938
BFGSLineSearch:    5[  8] 20:09:33   -40446.773860*       0.2077
BFGSLineSearch:    6[  9] 20:14:43   -40446.780417*       0.2864
BFGSLineSearch:    7[ 11] 20:24:37   -40446.784585*       0.1648
BFGSLineSearch:    8[ 12] 20:30:09   -40446.788275*       0.1354
BFGSLineSearch:    9[ 13] 20:35:45   -40446.792100*       0.1166
BFGSLineSearch:   10[ 14] 20:43:24   -40446.794461*       0.0916
BFGSLineSearch:   11[ 15] 20:49:09   -40446.797020*       0.0613
BFGSLineSearch:   12[ 16] 20:53:53   -40446.798923*       0.0553
BFGSLineSearch:   13[ 17] 20:59:06   -40446.800727*       0.0885
BFGSLineSearch:   14[ 18] 21:04:29   -40446.802375*       0.2481
BFGSLineSearch:   15[ 19] 21:08:56   -40446.803999*       0.2293
BFGSLineSearch:   16[ 20] 21:13:22   -40446.805109*       0.0488
