                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:50:27   -40446.011896*       4.8737
BFGSLineSearch:    1[  2] 15:03:23   -40446.093645*       1.3426
BFGSLineSearch:    2[  3] 15:10:24   -40446.237076*       1.7188
BFGSLineSearch:    3[  5] 15:24:03   -40446.312349*       1.3606
BFGSLineSearch:    4[  7] 15:38:21   -40446.443069*       1.1185
BFGSLineSearch:    5[  9] 15:52:31   -40446.516308*       0.7168
BFGSLineSearch:    6[ 11] 16:05:46   -40446.561508*       0.6866
BFGSLineSearch:    7[ 13] 16:17:35   -40446.588717*       0.4893
BFGSLineSearch:    8[ 15] 16:30:15   -40446.612987*       0.4442
BFGSLineSearch:    9[ 17] 16:44:51   -40446.632024*       0.4641
BFGSLineSearch:   10[ 19] 16:55:29   -40446.648421*       0.3050
BFGSLineSearch:   11[ 21] 17:07:09   -40446.662476*       0.2462
BFGSLineSearch:   12[ 23] 17:17:23   -40446.676784*       0.2293
BFGSLineSearch:   13[ 25] 17:28:55   -40446.686965*       0.3545
BFGSLineSearch:   14[ 27] 17:38:50   -40446.696332*       0.1844
BFGSLineSearch:   15[ 28] 17:44:59   -40446.706828*       0.2252
BFGSLineSearch:   16[ 30] 17:56:29   -40446.716226*       0.1557
BFGSLineSearch:   17[ 31] 18:01:32   -40446.725569*       0.2068
BFGSLineSearch:   18[ 32] 18:06:55   -40446.732244*       0.4433
BFGSLineSearch:   19[ 33] 18:13:45   -40446.740204*       0.2846
BFGSLineSearch:   20[ 35] 18:24:02   -40446.747207*       0.3308
BFGSLineSearch:   21[ 36] 18:30:16   -40446.754593*       0.5769
BFGSLineSearch:   22[ 37] 18:36:05   -40446.760257*       0.3791
BFGSLineSearch:   23[ 38] 18:41:07   -40446.766092*       0.4764
BFGSLineSearch:   24[ 39] 18:49:06   -40446.773815*       0.4944
BFGSLineSearch:   25[ 40] 18:54:06   -40446.782657*       0.2498
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 19:19:51   -40446.782666*       0.2513
BFGSLineSearch:    1[  1] 19:24:49   -40446.786238*       0.1821
BFGSLineSearch:    2[  2] 19:31:31   -40446.793569*       0.4558
BFGSLineSearch:    3[  3] 19:37:16   -40446.802896*       0.5419
BFGSLineSearch:    4[  5] 19:49:31   -40446.806836*       0.2064
BFGSLineSearch:    5[  6] 19:54:41   -40446.809824*       0.1413
BFGSLineSearch:    6[  8] 20:04:57   -40446.812173*       0.0926
BFGSLineSearch:    7[  9] 20:09:52   -40446.815115*       0.0974
BFGSLineSearch:    8[ 10] 20:15:33   -40446.817089*       0.0707
BFGSLineSearch:    9[ 11] 20:21:44   -40446.818230*       0.1203
BFGSLineSearch:   10[ 12] 20:26:39   -40446.819724*       0.0560
BFGSLineSearch:   11[ 13] 20:30:53   -40446.820764*       0.0941
BFGSLineSearch:   12[ 15] 20:42:53   -40446.821365*       0.1213
BFGSLineSearch:   13[ 16] 20:47:05   -40446.822169*       0.0506
BFGSLineSearch:   14[ 17] 20:51:47   -40446.822850*       0.0587
BFGSLineSearch:   15[ 18] 20:55:37   -40446.823355*       0.0702
BFGSLineSearch:   16[ 19] 20:59:11   -40446.823940*       0.0632
BFGSLineSearch:   17[ 20] 21:04:37   -40446.824539*       0.1073
BFGSLineSearch:   18[ 30] 21:26:28   -40446.824805*       0.0870
BFGSLineSearch:   19[ 31] 21:30:28   -40446.825319*       0.1101
BFGSLineSearch:   20[ 32] 21:34:16   -40446.825819*       0.0373
