                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:50:55   -40440.640198*       7.8197
BFGSLineSearch:    1[  1] 14:56:52   -40442.407717*       9.0063
BFGSLineSearch:    2[  3] 15:09:41   -40443.409761*       2.5177
BFGSLineSearch:    3[  5] 15:24:08   -40443.888880*       3.3365
BFGSLineSearch:    4[  7] 15:41:16   -40444.281890*       2.3374
BFGSLineSearch:    5[  9] 15:55:36   -40444.678177*       2.3094
BFGSLineSearch:    6[ 11] 16:09:33   -40444.932949*       3.3546
BFGSLineSearch:    7[ 13] 16:27:19   -40445.203117*       2.0430
BFGSLineSearch:    8[ 15] 16:46:09   -40445.384567*       1.4026
BFGSLineSearch:    9[ 17] 17:00:19   -40445.541006*       3.1403
BFGSLineSearch:   10[ 19] 17:14:07   -40445.691248*       2.4652
BFGSLineSearch:   11[ 21] 17:28:34   -40445.834510*       1.1023
BFGSLineSearch:   12[ 23] 17:41:13   -40445.963128*       1.6746
BFGSLineSearch:   13[ 25] 17:54:27   -40446.072023*       1.6167
BFGSLineSearch:   14[ 26] 18:02:16   -40446.193648*       1.9108
BFGSLineSearch:   15[ 28] 18:14:23   -40446.311363*       0.6582
BFGSLineSearch:   16[ 29] 18:21:56   -40446.393663*       1.9079
BFGSLineSearch:   17[ 31] 18:32:12   -40446.482319*       0.9710
BFGSLineSearch:   18[ 33] 18:44:10   -40446.538558*       0.9304
BFGSLineSearch:   19[ 34] 18:50:11   -40446.583815*       0.9392
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 19:20:39   -40446.583840*       0.9392
BFGSLineSearch:    1[  2] 19:34:00   -40446.608551*       0.2665
BFGSLineSearch:    2[  4] 19:46:49   -40446.648528*       0.7723
BFGSLineSearch:    3[  5] 19:54:27   -40446.681710*       0.5936
BFGSLineSearch:    4[  7] 20:08:09   -40446.702118*       0.4934
BFGSLineSearch:    5[  8] 20:13:56   -40446.721286*       0.3278
BFGSLineSearch:    6[  9] 20:20:10   -40446.742485*       0.2371
BFGSLineSearch:    7[ 10] 20:26:15   -40446.758901*       0.4250
BFGSLineSearch:    8[ 11] 20:32:20   -40446.768923*       0.5552
BFGSLineSearch:    9[ 12] 20:39:30   -40446.778714*       0.2812
BFGSLineSearch:   10[ 13] 20:46:17   -40446.786158*       0.2089
BFGSLineSearch:   11[ 14] 20:53:10   -40446.791349*       0.4527
BFGSLineSearch:   12[ 15] 20:57:46   -40446.797166*       0.1971
BFGSLineSearch:   13[ 16] 21:02:22   -40446.801571*       0.1147
BFGSLineSearch:   14[ 18] 21:12:53   -40446.803380*       0.1022
BFGSLineSearch:   15[ 20] 21:22:37   -40446.805634*       0.1543
BFGSLineSearch:   16[ 22] 21:32:32   -40446.807266*       0.2278
BFGSLineSearch:   17[ 23] 21:36:56   -40446.809425*       0.2242
BFGSLineSearch:   18[ 24] 21:41:44   -40446.812334*       0.1787
BFGSLineSearch:   19[ 25] 21:46:21   -40446.814602*       0.2821
BFGSLineSearch:   20[ 26] 21:50:57   -40446.816786*       0.1174
BFGSLineSearch:   21[ 27] 21:56:22   -40446.819151*       0.2706
BFGSLineSearch:   22[ 28] 22:02:06   -40446.821001*       0.1279
BFGSLineSearch:   23[ 29] 22:07:09   -40446.822997*       0.3927
BFGSLineSearch:   24[ 31] 22:15:38   -40446.824330*       0.0571
BFGSLineSearch:   25[ 33] 22:23:46   -40446.825190*       0.0493
