                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:50:19   -40430.983715*      18.3565
BFGSLineSearch:    1[  1] 14:57:24   -40435.823633*       7.9361
BFGSLineSearch:    2[  3] 15:11:37   -40439.768979*       6.8196
BFGSLineSearch:    3[  4] 15:17:26   -40441.623199*       5.3078
BFGSLineSearch:    4[  5] 15:25:52   -40443.276405*       4.8562
BFGSLineSearch:    5[  6] 15:33:05   -40443.798802*       7.0311
BFGSLineSearch:    6[  8] 15:50:33   -40444.142354*       3.9100
BFGSLineSearch:    7[ 10] 16:04:16   -40444.374753*       4.7130
BFGSLineSearch:    8[ 11] 16:11:26   -40444.866958*       2.7694
BFGSLineSearch:    9[ 12] 16:18:42   -40445.293129*       3.0140
BFGSLineSearch:   10[ 14] 16:33:36   -40445.558308*       2.5027
BFGSLineSearch:   11[ 16] 16:46:42   -40445.819396*       1.8034
BFGSLineSearch:   12[ 18] 17:02:05   -40445.965326*       1.0276
BFGSLineSearch:   13[ 19] 17:09:32   -40446.134986*       1.7780
BFGSLineSearch:   14[ 20] 17:19:04   -40446.256515*       1.7826
BFGSLineSearch:   15[ 21] 17:26:08   -40446.371629*       0.8711
BFGSLineSearch:   16[ 22] 17:32:49   -40446.436485*       0.7697
BFGSLineSearch:   17[ 24] 17:46:00   -40446.502954*       0.7076
BFGSLineSearch:   18[ 26] 17:58:55   -40446.561632*       0.3984
BFGSLineSearch:   19[ 28] 18:11:15   -40446.589077*       0.3479
BFGSLineSearch:   20[ 29] 18:18:28   -40446.613718*       0.4948
BFGSLineSearch:   21[ 30] 18:25:31   -40446.640995*       0.4141
BFGSLineSearch:   22[ 31] 18:31:45   -40446.661602*       0.2883
BFGSLineSearch:   23[ 32] 18:36:58   -40446.682392*       0.2164
BFGSLineSearch:   24[ 33] 18:43:32   -40446.697328*       0.2779
BFGSLineSearch:   25[ 34] 18:49:42   -40446.715120*       0.2256
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 19:18:15   -40446.715127*       0.2202
BFGSLineSearch:    1[  1] 19:23:04   -40446.720021*       0.2865
BFGSLineSearch:    2[  2] 19:28:42   -40446.729686*       0.1289
BFGSLineSearch:    3[  3] 19:35:24   -40446.736768*       0.4636
BFGSLineSearch:    4[  4] 19:40:32   -40446.741836*       0.1518
BFGSLineSearch:    5[  5] 19:46:07   -40446.746151*       0.0826
BFGSLineSearch:    6[  6] 19:51:07   -40446.750558*       0.0998
BFGSLineSearch:    7[  7] 19:57:16   -40446.755277*       0.2534
BFGSLineSearch:    8[  8] 20:04:15   -40446.759284*       0.2277
BFGSLineSearch:    9[  9] 20:09:04   -40446.763337*       0.2295
BFGSLineSearch:   10[ 10] 20:15:05   -40446.767190*       0.1172
BFGSLineSearch:   11[ 11] 20:22:27   -40446.770150*       0.8948
BFGSLineSearch:   12[ 13] 20:36:01   -40446.774237*       0.1321
BFGSLineSearch:   13[ 14] 20:42:32   -40446.779490*       0.2597
BFGSLineSearch:   14[ 15] 20:47:43   -40446.784383*       0.3402
BFGSLineSearch:   15[ 16] 20:52:36   -40446.788949*       0.3161
BFGSLineSearch:   16[ 17] 20:57:50   -40446.791444*       0.1225
BFGSLineSearch:   17[ 19] 21:07:46   -40446.792763*       0.3890
BFGSLineSearch:   18[ 21] 21:17:53   -40446.793856*       0.0829
BFGSLineSearch:   19[ 22] 21:23:27   -40446.795854*       0.0824
BFGSLineSearch:   20[ 24] 21:35:36   -40446.797669*       0.1255
BFGSLineSearch:   21[ 27] 21:52:50   -40446.799638*       0.0715
BFGSLineSearch:   22[ 28] 21:58:01   -40446.800532*       0.0939
BFGSLineSearch:   23[ 30] 22:09:49   -40446.801012*       0.0698
BFGSLineSearch:   24[ 31] 22:13:47   -40446.802082*       0.0834
BFGSLineSearch:   25[ 32] 22:18:48   -40446.803306*       0.0970
BFGSLineSearch:   26[ 33] 22:23:53   -40446.804223*       0.1148
BFGSLineSearch:   27[ 35] 22:33:38   -40446.805263*       0.1343
BFGSLineSearch:   28[ 36] 22:38:53   -40446.807347*       0.1061
BFGSLineSearch:   29[ 37] 22:43:36   -40446.809225*       0.0591
BFGSLineSearch:   30[ 39] 22:54:08   -40446.810471*       0.0594
BFGSLineSearch:   31[ 40] 22:57:57   -40446.811712*       0.0815
BFGSLineSearch:   32[ 41] 23:03:42   -40446.813092*       0.2599
BFGSLineSearch:   33[ 42] 23:08:45   -40446.814340*       0.0772
BFGSLineSearch:   34[ 43] 23:13:45   -40446.816034*       0.0680
BFGSLineSearch:   35[ 44] 23:18:58   -40446.817862*       0.0693
BFGSLineSearch:   36[ 45] 23:23:41   -40446.819115*       0.0638
BFGSLineSearch:   37[ 46] 23:28:14   -40446.820761*       0.0958
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:25:36   -40446.820760*       0.0935
BFGSLineSearch:    1[  2] 09:49:10   -40446.821166*       0.0556
BFGSLineSearch:    2[  3] 10:00:23   -40446.822521*       0.0761
BFGSLineSearch:    3[  6] 10:42:18   -40446.825032*       0.0796
BFGSLineSearch:    4[  7] 10:56:14   -40446.826819*       0.1477
BFGSLineSearch:    5[  9] 11:21:54   -40446.828330*       0.5222
BFGSLineSearch:    6[ 10] 11:31:18   -40446.831063*       0.3365
BFGSLineSearch:    7[ 11] 11:43:25   -40446.834706*       0.1854
BFGSLineSearch:    8[ 12] 11:53:52   -40446.839459*       0.1974
BFGSLineSearch:    9[ 14] 12:18:59   -40446.842855*       0.1931
BFGSLineSearch:   10[ 15] 12:33:34   -40446.852241*       0.2906
BFGSLineSearch:   11[ 16] 12:48:00   -40446.861398*       0.7238
BFGSLineSearch:   12[ 17] 13:04:00   -40446.880672*       0.3090
BFGSLineSearch:   13[ 18] 13:20:28   -40446.903925*       0.7763
BFGSLineSearch:   14[ 20] 13:56:54   -40446.924036*       0.3751
BFGSLineSearch:   15[ 21] 14:13:38   -40446.947578*       0.6561
