                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:53:33   -40438.064130*       4.4889
BFGSLineSearch:    1[  2] 15:06:02   -40438.909452*       8.6678
BFGSLineSearch:    2[  3] 15:12:33   -40440.650534*      11.7273
BFGSLineSearch:    3[  4] 15:18:58   -40441.922706*      10.8125
BFGSLineSearch:    4[  6] 15:31:19   -40442.729636*       6.9830
BFGSLineSearch:    5[  7] 15:43:33   -40444.596640*       5.1939
BFGSLineSearch:    6[  9] 15:59:58   -40445.074362*       1.7752
BFGSLineSearch:    7[ 11] 16:16:30   -40445.412378*       2.6950
BFGSLineSearch:    8[ 13] 16:31:59   -40445.692075*       1.3516
BFGSLineSearch:    9[ 15] 16:46:24   -40445.846214*       1.6494
BFGSLineSearch:   10[ 17] 17:00:40   -40446.022984*       2.1512
BFGSLineSearch:   11[ 19] 17:15:56   -40446.143158*       1.2844
BFGSLineSearch:   12[ 21] 17:29:07   -40446.259878*       1.1926
BFGSLineSearch:   13[ 23] 17:40:47   -40446.386452*       0.8396
BFGSLineSearch:   14[ 25] 17:53:57   -40446.460767*       1.1254
BFGSLineSearch:   15[ 27] 18:07:15   -40446.539267*       0.9557
BFGSLineSearch:   16[ 29] 18:17:45   -40446.605238*       0.5436
BFGSLineSearch:   17[ 30] 18:26:29   -40446.651207*       0.8834
BFGSLineSearch:   18[ 32] 18:38:28   -40446.688120*       0.8398
BFGSLineSearch:   19[ 34] 18:49:46   -40446.717477*       0.3296
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 19:55:46   -40446.717489*       0.3310
BFGSLineSearch:    1[  2] 20:06:55   -40446.729116*       0.7548
BFGSLineSearch:    2[  3] 20:12:56   -40446.748095*       0.8747
BFGSLineSearch:    3[  5] 20:27:24   -40446.769954*       0.4930
BFGSLineSearch:    4[  7] 20:39:10   -40446.780018*       0.2383
BFGSLineSearch:    5[  8] 20:46:11   -40446.788684*       0.2352
BFGSLineSearch:    6[  9] 20:52:36   -40446.796495*       0.2327
BFGSLineSearch:    7[ 10] 20:57:49   -40446.801645*       0.4018
BFGSLineSearch:    8[ 11] 21:02:58   -40446.806451*       0.0908
BFGSLineSearch:    9[ 12] 21:08:27   -40446.808854*       0.4898
BFGSLineSearch:   10[ 13] 21:12:46   -40446.812246*       0.2152
BFGSLineSearch:   11[ 14] 21:18:01   -40446.814892*       0.3034
BFGSLineSearch:   12[ 15] 21:23:08   -40446.816851*       0.3052
BFGSLineSearch:   13[ 16] 21:28:21   -40446.819372*       0.0595
BFGSLineSearch:   14[ 17] 21:33:33   -40446.821349*       0.0711
BFGSLineSearch:   15[ 18] 21:38:27   -40446.823493*       0.1185
BFGSLineSearch:   16[ 19] 21:43:35   -40446.825599*       0.2115
BFGSLineSearch:   17[ 20] 21:48:22   -40446.827371*       0.0569
BFGSLineSearch:   18[ 21] 21:53:21   -40446.829326*       0.1684
BFGSLineSearch:   19[ 22] 21:57:59   -40446.831216*       0.0911
BFGSLineSearch:   20[ 23] 22:02:23   -40446.832790*       0.0862
BFGSLineSearch:   21[ 24] 22:06:49   -40446.834600*       0.1145
BFGSLineSearch:   22[ 25] 22:11:31   -40446.835975*       0.0761
BFGSLineSearch:   23[ 26] 22:17:29   -40446.836947*       0.1401
BFGSLineSearch:   24[ 28] 22:25:33   -40446.837498*       0.1521
BFGSLineSearch:   25[ 30] 22:34:29   -40446.837983*       0.0495
