                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:50:08   -40438.485146*       4.3914
BFGSLineSearch:    1[  2] 15:05:18   -40439.197677*       8.1153
BFGSLineSearch:    2[  3] 15:12:07   -40441.181823*      11.6728
BFGSLineSearch:    3[  4] 15:18:27   -40442.090027*       8.8627
BFGSLineSearch:    4[  6] 15:31:17   -40443.172340*       6.4574
BFGSLineSearch:    5[  8] 15:45:55   -40444.295803*       7.1032
BFGSLineSearch:    6[ 10] 16:02:31   -40445.143055*       3.7609
BFGSLineSearch:    7[ 12] 16:17:09   -40445.413125*       2.5174
BFGSLineSearch:    8[ 13] 16:25:12   -40445.657388*       3.1772
BFGSLineSearch:    9[ 15] 16:40:06   -40445.893019*       1.6460
BFGSLineSearch:   10[ 17] 16:54:44   -40446.086322*       2.0017
BFGSLineSearch:   11[ 19] 17:09:22   -40446.211415*       1.7171
BFGSLineSearch:   12[ 21] 17:23:58   -40446.297235*       1.1242
BFGSLineSearch:   13[ 22] 17:30:24   -40446.373429*       1.4102
BFGSLineSearch:   14[ 24] 17:47:21   -40446.462623*       1.9962
BFGSLineSearch:   15[ 26] 17:59:08   -40446.531834*       0.8287
BFGSLineSearch:   16[ 28] 18:12:18   -40446.595164*       1.6402
BFGSLineSearch:   17[ 30] 18:25:20   -40446.648677*       1.2860
BFGSLineSearch:   18[ 32] 18:36:51   -40446.686144*       0.4705
BFGSLineSearch:   19[ 34] 18:47:46   -40446.722509*       0.4680
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 21:02:56   -40446.722519*       0.4672
BFGSLineSearch:    1[  2] 21:19:05   -40446.731738*       0.4087
BFGSLineSearch:    2[  4] 21:31:48   -40446.744927*       0.2758
BFGSLineSearch:    3[  5] 21:39:02   -40446.763402*       0.4608
BFGSLineSearch:    4[  7] 21:51:02   -40446.774996*       0.1853
BFGSLineSearch:    5[  8] 21:56:39   -40446.783188*       0.2032
BFGSLineSearch:    6[ 10] 22:08:33   -40446.787641*       0.1156
BFGSLineSearch:    7[ 11] 22:18:03   -40446.791930*       0.1083
BFGSLineSearch:    8[ 13] 22:31:46   -40446.794364*       0.1135
BFGSLineSearch:    9[ 14] 22:38:19   -40446.796998*       0.1351
BFGSLineSearch:   10[ 15] 22:44:46   -40446.799183*       0.0758
BFGSLineSearch:   11[ 16] 22:51:38   -40446.800787*       0.0965
BFGSLineSearch:   12[ 17] 22:57:31   -40446.802498*       0.0691
BFGSLineSearch:   13[ 18] 23:03:33   -40446.803929*       0.0805
BFGSLineSearch:   14[ 19] 23:09:25   -40446.805211*       0.0510
BFGSLineSearch:   15[ 20] 23:16:45   -40446.806445*       0.2005
BFGSLineSearch:   16[ 21] 23:22:09   -40446.807420*       0.1197
BFGSLineSearch:   17[ 22] 23:28:18   -40446.808119*       0.0612
BFGSLineSearch:   18[ 23] 23:32:52   -40446.808894*       0.0313
