                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:53:41   -40438.121736*       4.2203
BFGSLineSearch:    1[  2] 15:11:18   -40438.894484*       8.7325
BFGSLineSearch:    2[  3] 15:18:56   -40441.008387*       9.8680
BFGSLineSearch:    3[  4] 15:27:27   -40441.965108*       7.8488
BFGSLineSearch:    4[  5] 15:33:48   -40443.439500*      12.8634
BFGSLineSearch:    5[  7] 15:46:38   -40444.413350*       3.2315
BFGSLineSearch:    6[  9] 16:02:07   -40445.060911*       2.6795
BFGSLineSearch:    7[ 11] 16:18:47   -40445.371572*       2.5783
BFGSLineSearch:    8[ 13] 16:33:51   -40445.643944*       2.0972
BFGSLineSearch:    9[ 15] 16:48:59   -40445.808978*       2.5187
BFGSLineSearch:   10[ 17] 17:05:05   -40446.001891*       3.2447
BFGSLineSearch:   11[ 19] 17:18:45   -40446.118386*       1.9821
BFGSLineSearch:   12[ 21] 17:32:05   -40446.233384*       0.6129
BFGSLineSearch:   13[ 23] 17:44:15   -40446.317133*       0.9867
BFGSLineSearch:   14[ 25] 17:57:10   -40446.380255*       1.2811
BFGSLineSearch:   15[ 27] 18:10:53   -40446.428957*       0.9826
BFGSLineSearch:   16[ 28] 18:16:29   -40446.468698*       0.6421
BFGSLineSearch:   17[ 30] 18:29:19   -40446.512621*       1.0735
BFGSLineSearch:   18[ 32] 18:42:44   -40446.544778*       0.5015
BFGSLineSearch:   19[ 34] 18:55:35   -40446.576487*       1.0115
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 21:04:09   -40446.576495*       1.0098
BFGSLineSearch:    1[  2] 21:17:42   -40446.586251*       0.4397
BFGSLineSearch:    2[  3] 21:25:01   -40446.615076*       0.4271
BFGSLineSearch:    3[  4] 21:34:07   -40446.650628*       1.0846
BFGSLineSearch:    4[  5] 21:40:26   -40446.670275*       0.4465
BFGSLineSearch:    5[  7] 21:52:50   -40446.688114*       0.6815
BFGSLineSearch:    6[  9] 22:08:08   -40446.700757*       0.1938
BFGSLineSearch:    7[ 11] 22:21:54   -40446.708781*       0.5108
BFGSLineSearch:    8[ 12] 22:28:53   -40446.717864*       0.2027
BFGSLineSearch:    9[ 13] 22:35:45   -40446.723138*       0.3139
BFGSLineSearch:   10[ 14] 22:42:22   -40446.725998*       0.2490
BFGSLineSearch:   11[ 15] 22:47:28   -40446.729177*       0.1038
BFGSLineSearch:   12[ 16] 22:53:00   -40446.731809*       0.1062
BFGSLineSearch:   13[ 17] 22:58:54   -40446.733917*       0.1228
BFGSLineSearch:   14[ 18] 23:05:04   -40446.736221*       0.1312
BFGSLineSearch:   15[ 19] 23:10:42   -40446.738051*       0.0815
BFGSLineSearch:   16[ 20] 23:16:16   -40446.740255*       0.0912
BFGSLineSearch:   17[ 21] 23:21:53   -40446.742475*       0.0887
BFGSLineSearch:   18[ 22] 23:27:34   -40446.744812*       0.0798
BFGSLineSearch:   19[ 23] 23:33:03   -40446.747259*       0.0651
BFGSLineSearch:   20[ 24] 23:38:39   -40446.749691*       0.1065
BFGSLineSearch:   21[ 26] 23:48:29   -40446.750889*       0.1117
BFGSLineSearch:   22[ 28] 00:00:47   -40446.751557*       0.1417
BFGSLineSearch:   23[ 29] 00:05:27   -40446.752636*       0.0608
BFGSLineSearch:   24[ 30] 00:10:17   -40446.753373*       0.0697
BFGSLineSearch:   25[ 31] 00:16:16   -40446.754365*       0.1616
BFGSLineSearch:   26[ 33] 00:29:23   -40446.755279*       0.2489
BFGSLineSearch:   27[ 34] 00:35:16   -40446.757104*       0.1027
BFGSLineSearch:   28[ 35] 00:41:18   -40446.759473*       0.0786
BFGSLineSearch:   29[ 37] 00:55:31   -40446.761359*       0.1475
BFGSLineSearch:   30[ 40] 01:14:34   -40446.765003*       0.1361
BFGSLineSearch:   31[ 41] 01:21:25   -40446.766776*       0.1335
BFGSLineSearch:   32[ 44] 01:45:32   -40446.770289*       0.2211
BFGSLineSearch:   33[ 45] 01:53:39   -40446.776759*       0.3347
BFGSLineSearch:   34[ 46] 02:01:12   -40446.783891*       0.5812
BFGSLineSearch:   35[ 47] 02:07:11   -40446.789037*       0.2939
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:37:51   -40446.789055*       0.2902
BFGSLineSearch:    1[  2] 10:00:11   -40446.791914*       0.2447
BFGSLineSearch:    2[  3] 10:11:45   -40446.795254*       0.4450
BFGSLineSearch:    3[  4] 10:23:49   -40446.803160*       0.3532
BFGSLineSearch:    4[  5] 10:34:35   -40446.806538*       0.2661
BFGSLineSearch:    5[  7] 10:59:27   -40446.808243*       0.2536
BFGSLineSearch:    6[  9] 11:22:54   -40446.812227*       0.1656
BFGSLineSearch:    7[ 10] 11:35:42   -40446.814957*       0.1275
BFGSLineSearch:    8[ 11] 11:52:19   -40446.817993*       0.2307
BFGSLineSearch:    9[ 13] 13:02:34   -40446.820948*       0.1412
BFGSLineSearch:   10[ 14] 13:15:40   -40446.823827*       0.1056
BFGSLineSearch:   11[ 15] 13:24:52   -40446.825902*       0.0907
BFGSLineSearch:   12[ 16] 13:39:31   -40446.827382*       0.1855
BFGSLineSearch:   13[ 17] 13:48:41   -40446.828359*       0.0968
BFGSLineSearch:   14[ 18] 13:57:01   -40446.829494*       0.1116
BFGSLineSearch:   15[ 21] 14:27:29   -40446.831442*       0.2595
BFGSLineSearch:   16[ 22] 14:37:30   -40446.833542*       0.1445
BFGSLineSearch:   17[ 23] 14:46:57   -40446.836740*       0.1867
BFGSLineSearch:   18[ 24] 14:56:18   -40446.839017*       0.0753
BFGSLineSearch:   19[ 27] 15:32:32   -40446.842312*       0.2997
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 10:13:16   -40446.842315*       0.2953
BFGSLineSearch:    1[  2] 10:32:38   -40446.843486*       0.1312
BFGSLineSearch:    2[  9] 11:11:27   -40446.843853*       0.0994
BFGSLineSearch:    3[ 10] 11:20:47   -40446.845466*       0.0971
BFGSLineSearch:    4[ 12] 11:42:12   -40446.846254*       0.0495
