                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:53:55   -40446.702243*       4.4753
BFGSLineSearch:    1[  2] 15:05:13   -40446.765910*       1.0935
BFGSLineSearch:    2[  3] 15:11:32   -40446.867391*       0.7989
BFGSLineSearch:    3[  5] 15:23:11   -40446.936533*       1.1617
BFGSLineSearch:    4[  7] 15:40:36   -40446.992867*       0.6982
BFGSLineSearch:    5[  9] 15:54:27   -40447.017418*       0.4623
BFGSLineSearch:    6[ 11] 16:10:43   -40447.036180*       0.4710
BFGSLineSearch:    7[ 13] 16:25:15   -40447.045862*       0.2501
BFGSLineSearch:    8[ 14] 16:34:30   -40447.068770*       0.2942
BFGSLineSearch:    9[ 16] 16:45:22   -40447.081020*       0.1999
BFGSLineSearch:   10[ 18] 16:55:09   -40447.086253*       0.2776
BFGSLineSearch:   11[ 20] 17:07:57   -40447.090251*       0.1967
BFGSLineSearch:   12[ 22] 17:18:57   -40447.095350*       0.1333
BFGSLineSearch:   13[ 24] 17:28:25   -40447.097889*       0.1307
BFGSLineSearch:   14[ 26] 17:37:58   -40447.100557*       0.1058
BFGSLineSearch:   15[ 28] 17:48:36   -40447.103594*       0.0869
BFGSLineSearch:   16[ 29] 17:54:24   -40447.107096*       0.2067
BFGSLineSearch:   17[ 30] 18:00:38   -40447.112841*       0.1117
BFGSLineSearch:   18[ 31] 18:06:26   -40447.117291*       0.0823
BFGSLineSearch:   19[ 32] 18:11:56   -40447.119512*       0.1242
BFGSLineSearch:   20[ 33] 18:17:59   -40447.123393*       0.2131
BFGSLineSearch:   21[ 35] 18:29:17   -40447.127671*       0.3006
BFGSLineSearch:   22[ 36] 18:34:16   -40447.132377*       0.0969
BFGSLineSearch:   23[ 37] 18:41:00   -40447.136928*       0.1162
BFGSLineSearch:   24[ 38] 18:45:42   -40447.139873*       0.1154
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 21:03:38   -40447.139872*       0.1107
BFGSLineSearch:    1[  2] 21:14:11   -40447.141621*       0.1060
BFGSLineSearch:    2[  5] 21:34:33   -40447.146738*       0.2920
BFGSLineSearch:    3[  6] 21:43:23   -40447.152592*       0.1744
BFGSLineSearch:    4[  8] 21:58:34   -40447.155501*       0.4083
BFGSLineSearch:    5[ 10] 22:10:17   -40447.159769*       0.4006
BFGSLineSearch:    6[ 11] 22:15:56   -40447.163243*       0.2342
BFGSLineSearch:    7[ 13] 22:28:31   -40447.165867*       0.1599
BFGSLineSearch:    8[ 14] 22:33:41   -40447.167001*       0.1715
BFGSLineSearch:    9[ 15] 22:38:56   -40447.167423*       0.0721
BFGSLineSearch:   10[ 16] 22:44:02   -40447.167976*       0.0648
BFGSLineSearch:   11[ 18] 22:56:21   -40447.168551*       0.0857
BFGSLineSearch:   12[ 19] 23:03:09   -40447.169317*       0.1164
BFGSLineSearch:   13[ 20] 23:10:38   -40447.170276*       0.2263
BFGSLineSearch:   14[ 21] 23:16:57   -40447.171308*       0.2235
BFGSLineSearch:   15[ 23] 23:30:44   -40447.172159*       0.3441
BFGSLineSearch:   16[ 24] 23:35:13   -40447.173351*       0.0606
BFGSLineSearch:   17[ 25] 23:40:29   -40447.174531*       0.1729
BFGSLineSearch:   18[ 27] 23:53:40   -40447.176495*       0.1124
BFGSLineSearch:   19[ 30] 00:12:46   -40447.178431*       0.0760
BFGSLineSearch:   20[ 31] 00:19:33   -40447.180830*       0.4773
BFGSLineSearch:   21[ 34] 00:39:37   -40447.181198*       0.5651
BFGSLineSearch:   22[ 35] 00:44:48   -40447.183082*       0.0750
BFGSLineSearch:   23[ 36] 00:50:38   -40447.184944*       0.0932
BFGSLineSearch:   24[ 38] 01:01:56   -40447.186441*       0.0941
BFGSLineSearch:   25[ 41] 01:23:34   -40447.188697*       0.1453
BFGSLineSearch:   26[ 42] 01:30:05   -40447.190399*       0.4749
BFGSLineSearch:   27[ 53] 02:05:33   -40447.190530*       0.6421
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:16:55   -40447.190522*       0.6416
BFGSLineSearch:    1[  3] 09:44:22   -40447.191438*       0.3730
BFGSLineSearch:    2[  4] 09:53:47   -40447.194117*       0.2637
BFGSLineSearch:    3[  5] 10:02:36   -40447.197489*       0.4218
BFGSLineSearch:    4[  6] 10:11:09   -40447.200682*       0.5731
BFGSLineSearch:    5[  7] 10:20:07   -40447.204017*       0.4530
BFGSLineSearch:    6[  8] 10:30:18   -40447.208708*       0.1244
BFGSLineSearch:    7[ 10] 10:48:37   -40447.210117*       0.2291
BFGSLineSearch:    8[ 11] 10:57:02   -40447.213067*       0.3601
BFGSLineSearch:    9[ 14] 11:29:17   -40447.215294*       0.2529
BFGSLineSearch:   10[ 17] 11:58:09   -40447.219557*       0.1107
BFGSLineSearch:   11[ 18] 12:07:23   -40447.221973*       0.0773
BFGSLineSearch:   12[ 21] 12:36:26   -40447.223439*       0.1122
BFGSLineSearch:   13[ 22] 12:47:07   -40447.225206*       0.0921
BFGSLineSearch:   14[ 24] 13:06:12   -40447.227210*       0.1729
BFGSLineSearch:   15[ 27] 13:35:30   -40447.229745*       0.1477
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 10:14:40   -40447.229758*       0.1507
BFGSLineSearch:    1[  2] 10:31:20   -40447.230584*       0.1604
BFGSLineSearch:    2[  4] 10:51:03   -40447.231667*       0.3528
BFGSLineSearch:    3[  7] 11:26:07   -40447.231956*       0.4086
BFGSLineSearch:    4[  8] 11:36:33   -40447.234102*       0.1077
BFGSLineSearch:    5[ 10] 11:54:42   -40447.234621*       0.0909
BFGSLineSearch:    6[ 12] 12:12:10   -40447.235415*       0.2776
BFGSLineSearch:    7[ 15] 12:49:20   -40447.236752*       0.1173
BFGSLineSearch:    8[ 18] 13:21:51   -40447.238618*       0.2681
BFGSLineSearch:    9[ 21] 14:00:46   -40447.241032*       0.5444
BFGSLineSearch:   10[ 22] 14:14:08   -40447.243667*       0.4220
BFGSLineSearch:   11[ 23] 14:26:56   -40447.250946*       0.2930
BFGSLineSearch:   12[ 25] 14:53:08   -40447.255101*       0.3150
BFGSLineSearch:   13[ 26] 15:05:50   -40447.271659*       0.6007
BFGSLineSearch:   14[ 27] 15:21:07   -40447.298041*       0.3777
BFGSLineSearch:   15[ 29] 15:46:02   -40447.314218*       0.7466
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 17:07:22   -40447.314204*       0.7378
BFGSLineSearch:    1[  2] 17:26:03   -40447.320606*       0.2424
BFGSLineSearch:    2[  3] 17:39:31   -40447.344839*       0.3868
BFGSLineSearch:    3[  4] 17:49:36   -40447.358833*       0.6004
BFGSLineSearch:    4[  5] 18:00:52   -40447.372772*       0.5763
BFGSLineSearch:    5[  6] 18:10:41   -40447.388452*       0.1903
BFGSLineSearch:    6[  7] 18:26:51   -40447.401322*       0.7847
BFGSLineSearch:    7[  8] 18:40:03   -40447.409726*       0.4913
BFGSLineSearch:    8[ 10] 19:00:15   -40447.420473*       0.3713
BFGSLineSearch:    9[ 12] 19:21:13   -40447.426463*       0.1553
BFGSLineSearch:   10[ 13] 19:29:32   -40447.431312*       0.1487
BFGSLineSearch:   11[ 14] 19:38:44   -40447.436922*       0.1508
BFGSLineSearch:   12[ 15] 19:48:18   -40447.443441*       0.2047
BFGSLineSearch:   13[ 16] 19:58:59   -40447.452193*       0.2056
BFGSLineSearch:   14[ 17] 20:10:05   -40447.461550*       0.2208
BFGSLineSearch:   15[ 18] 20:20:24   -40447.470797*       0.1450
BFGSLineSearch:   16[ 20] 20:43:28   -40447.477048*       0.1597
BFGSLineSearch:   17[ 21] 20:53:59   -40447.486547*       0.2499
BFGSLineSearch:   18[ 22] 21:03:17   -40447.493374*       0.2026
BFGSLineSearch:   19[ 23] 21:12:56   -40447.500262*       0.2009
BFGSLineSearch:   20[ 24] 21:22:19   -40447.507565*       0.1091
BFGSLineSearch:   21[ 25] 21:32:27   -40447.514362*       0.0885
BFGSLineSearch:   22[ 26] 21:44:03   -40447.519344*       0.1371
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:43:33   -40447.519338*       0.1376
BFGSLineSearch:    1[  1] 09:51:41   -40447.521433*       0.1191
BFGSLineSearch:    2[  2] 10:00:47   -40447.524473*       0.1300
BFGSLineSearch:    3[  4] 10:18:24   -40447.526369*       0.0845
BFGSLineSearch:    4[  5] 10:27:59   -40447.527675*       0.0971
BFGSLineSearch:    5[  8] 10:56:07   -40447.531876*       0.2263
BFGSLineSearch:    6[  9] 11:04:57   -40447.534748*       0.0992
BFGSLineSearch:    7[ 12] 11:37:29   -40447.539668*       0.1708
BFGSLineSearch:    8[ 13] 11:46:56   -40447.543658*       0.1708
BFGSLineSearch:    9[ 14] 11:58:48   -40447.547123*       0.1661
BFGSLineSearch:   10[ 15] 12:08:41   -40447.550823*       0.1288
BFGSLineSearch:   11[ 16] 12:18:06   -40447.553522*       0.1248
BFGSLineSearch:   12[ 17] 12:27:23   -40447.555510*       0.0690
BFGSLineSearch:   13[ 18] 12:35:29   -40447.556845*       0.0636
BFGSLineSearch:   14[ 19] 12:43:30   -40447.557755*       0.0560
BFGSLineSearch:   15[ 22] 13:12:33   -40447.558083*       0.0424
