                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:51:18   -40438.095317*      21.0007
BFGSLineSearch:    1[  1] 14:58:05   -40441.081905*       3.9117
BFGSLineSearch:    2[  3] 15:10:37   -40441.808558*       7.7418
BFGSLineSearch:    3[  5] 15:22:52   -40442.365703*       4.0366
BFGSLineSearch:    4[  7] 15:36:15   -40442.726839*       3.6871
BFGSLineSearch:    5[  9] 15:49:19   -40443.069230*       3.1587
BFGSLineSearch:    6[ 11] 16:00:16   -40443.438540*       4.2428
BFGSLineSearch:    7[ 13] 16:13:05   -40443.782636*       5.8100
BFGSLineSearch:    8[ 14] 16:20:23   -40444.237699*       5.4496
BFGSLineSearch:    9[ 16] 16:35:45   -40444.667354*       3.6289
BFGSLineSearch:   10[ 18] 16:50:20   -40445.028695*       1.1504
BFGSLineSearch:   11[ 19] 16:57:41   -40445.377628*       1.6240
BFGSLineSearch:   12[ 20] 17:05:26   -40445.624503*       2.0084
BFGSLineSearch:   13[ 21] 17:12:37   -40445.855998*       1.8757
BFGSLineSearch:   14[ 22] 17:20:17   -40446.112578*       0.8877
BFGSLineSearch:   15[ 23] 17:26:25   -40446.307940*       0.9848
BFGSLineSearch:   16[ 24] 17:33:07   -40446.454686*       0.7028
BFGSLineSearch:   17[ 25] 17:39:57   -40446.561688*       1.3059
BFGSLineSearch:   18[ 26] 17:45:52   -40446.705567*       0.7300
BFGSLineSearch:   19[ 27] 17:52:34   -40446.840315*       0.5840
BFGSLineSearch:   20[ 29] 18:05:47   -40446.911696*       0.5782
BFGSLineSearch:   21[ 31] 18:25:41   -40446.949922*       0.5114
BFGSLineSearch:   22[ 32] 18:36:11   -40446.981778*       0.6580
BFGSLineSearch:   23[ 33] 18:42:58   -40447.002071*       0.5504
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 21:05:46   -40447.002300*       0.5478
BFGSLineSearch:    1[  2] 21:22:37   -40447.021443*       0.2104
BFGSLineSearch:    2[  3] 21:30:03   -40447.029004*       0.6277
BFGSLineSearch:    3[  4] 21:37:43   -40447.041635*       0.1009
BFGSLineSearch:    4[  6] 21:53:51   -40447.048169*       0.1239
BFGSLineSearch:    5[  7] 22:02:47   -40447.053109*       0.0901
BFGSLineSearch:    6[  8] 22:12:42   -40447.059076*       0.4000
BFGSLineSearch:    7[  9] 22:21:09   -40447.064894*       0.1525
BFGSLineSearch:    8[ 10] 22:28:41   -40447.069339*       0.2844
BFGSLineSearch:    9[ 11] 22:36:14   -40447.075325*       0.3691
BFGSLineSearch:   10[ 12] 22:44:07   -40447.079806*       0.1486
BFGSLineSearch:   11[ 13] 22:50:45   -40447.084277*       0.1286
BFGSLineSearch:   12[ 14] 22:59:01   -40447.089216*       0.2484
BFGSLineSearch:   13[ 16] 23:18:57   -40447.092873*       0.1538
BFGSLineSearch:   14[ 18] 23:31:41   -40447.095580*       0.1297
BFGSLineSearch:   15[ 19] 23:36:59   -40447.097476*       0.0744
BFGSLineSearch:   16[ 20] 23:43:39   -40447.099084*       0.0660
BFGSLineSearch:   17[ 21] 23:50:06   -40447.100174*       0.0595
BFGSLineSearch:   18[ 39] 00:39:08   -40447.100664*       0.0969
BFGSLineSearch:   19[ 40] 00:47:40   -40447.101921*       0.0447
