                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:52:26   -40438.140367*       5.2873
BFGSLineSearch:    1[  2] 15:10:09   -40438.899136*       6.4265
BFGSLineSearch:    2[  3] 15:17:06   -40440.658879*       9.9718
BFGSLineSearch:    3[  4] 15:22:52   -40441.708093*      12.4168
BFGSLineSearch:    4[  5] 15:29:04   -40443.081230*       6.6017
BFGSLineSearch:    5[  6] 15:36:52   -40444.731758*       3.6273
BFGSLineSearch:    6[  8] 15:53:42   -40445.313637*       1.9897
BFGSLineSearch:    7[ 10] 16:10:16   -40445.652725*       2.3644
BFGSLineSearch:    8[ 12] 16:26:43   -40445.894633*       2.2165
BFGSLineSearch:    9[ 14] 16:41:28   -40446.126958*       1.5539
BFGSLineSearch:   10[ 16] 16:54:48   -40446.282540*       1.8839
BFGSLineSearch:   11[ 18] 17:08:22   -40446.430712*       1.3492
BFGSLineSearch:   12[ 20] 17:22:32   -40446.569303*       1.6269
BFGSLineSearch:   13[ 21] 17:29:23   -40446.716653*       1.2016
BFGSLineSearch:   14[ 23] 17:43:55   -40446.794106*       1.2901
BFGSLineSearch:   15[ 25] 17:56:23   -40446.864120*       1.5276
BFGSLineSearch:   16[ 27] 18:07:33   -40446.914696*       0.4803
BFGSLineSearch:   17[ 29] 18:22:32   -40446.947480*       1.0126
BFGSLineSearch:   18[ 31] 18:35:00   -40446.977020*       0.4131
BFGSLineSearch:   19[ 33] 18:47:00   -40446.998279*       0.4488
BFGSLineSearch:   20[ 35] 18:59:39   -40447.022387*       0.7470
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 20:45:44   -40447.022400*       0.7467
BFGSLineSearch:    1[  2] 20:59:31   -40447.035253*       0.3703
BFGSLineSearch:    2[  4] 21:13:45   -40447.078093*       0.3023
BFGSLineSearch:    3[  6] 21:31:05   -40447.094592*       1.1785
BFGSLineSearch:    4[  7] 21:39:17   -40447.113105*       0.5156
BFGSLineSearch:    5[  9] 21:54:49   -40447.131510*       0.2414
