                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:55:02   -40438.057101*       5.4998
BFGSLineSearch:    1[  1] 15:01:53   -40438.745158*       8.7765
BFGSLineSearch:    2[  2] 15:09:36   -40440.498328*      11.4875
BFGSLineSearch:    3[  3] 15:16:48   -40442.244212*      11.6820
BFGSLineSearch:    4[  4] 15:22:43   -40443.279735*       6.1285
BFGSLineSearch:    5[  6] 15:35:48   -40444.284627*       5.5531
BFGSLineSearch:    6[  8] 15:49:38   -40445.243945*       1.8698
BFGSLineSearch:    7[ 10] 16:05:11   -40445.566271*       2.3623
BFGSLineSearch:    8[ 12] 16:21:38   -40445.773914*       2.7399
BFGSLineSearch:    9[ 14] 16:37:05   -40446.038116*       2.2349
BFGSLineSearch:   10[ 16] 16:49:42   -40446.220361*       1.4603
BFGSLineSearch:   11[ 18] 17:01:48   -40446.376712*       1.4047
BFGSLineSearch:   12[ 19] 17:09:08   -40446.526909*       1.5137
BFGSLineSearch:   13[ 21] 17:21:43   -40446.657923*       1.7712
BFGSLineSearch:   14[ 23] 17:36:25   -40446.766818*       1.0584
BFGSLineSearch:   15[ 25] 17:49:04   -40446.844023*       0.7155
BFGSLineSearch:   16[ 27] 18:00:32   -40446.890630*       0.7261
BFGSLineSearch:   17[ 29] 18:16:56   -40446.934076*       1.0319
BFGSLineSearch:   18[ 31] 18:30:03   -40446.960350*       0.4988
BFGSLineSearch:   19[ 33] 18:42:21   -40446.977227*       0.7018
BFGSLineSearch:   20[ 34] 18:48:35   -40447.008559*       0.3307
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 21:02:10   -40447.008571*       0.3302
BFGSLineSearch:    1[  2] 21:15:50   -40447.022499*       0.9065
BFGSLineSearch:    2[  3] 21:22:53   -40447.039351*       0.3587
BFGSLineSearch:    3[  4] 21:31:05   -40447.085706*       1.1693
BFGSLineSearch:    4[  5] 21:38:43   -40447.102466*       0.4482
BFGSLineSearch:    5[  6] 21:47:00   -40447.122163*       0.7997
BFGSLineSearch:    6[  8] 22:02:06   -40447.129731*       0.2367
BFGSLineSearch:    7[  9] 22:10:28   -40447.138364*       0.6670
BFGSLineSearch:    8[ 10] 22:17:01   -40447.146261*       0.5252
BFGSLineSearch:    9[ 11] 22:23:52   -40447.158746*       0.2889
BFGSLineSearch:   10[ 12] 22:30:46   -40447.166327*       0.2304
BFGSLineSearch:   11[ 13] 22:37:19   -40447.173137*       0.5620
BFGSLineSearch:   12[ 14] 22:44:00   -40447.180214*       0.3685
BFGSLineSearch:   13[ 17] 23:02:26   -40447.190409*       0.4911
BFGSLineSearch:   14[ 18] 23:09:26   -40447.196859*       0.2024
BFGSLineSearch:   15[ 19] 23:16:06   -40447.203573*       0.2056
BFGSLineSearch:   16[ 20] 23:22:10   -40447.210397*       0.1209
BFGSLineSearch:   17[ 22] 23:33:00   -40447.215097*       0.3957
BFGSLineSearch:   18[ 24] 23:46:31   -40447.219769*       0.3039
BFGSLineSearch:   19[ 25] 23:53:34   -40447.224429*       0.2067
BFGSLineSearch:   20[ 26] 00:00:42   -40447.228665*       0.0956
BFGSLineSearch:   21[ 28] 00:14:32   -40447.230564*       0.1563
BFGSLineSearch:   22[ 29] 00:21:06   -40447.233969*       0.1786
BFGSLineSearch:   23[ 30] 00:26:58   -40447.236663*       0.0755
BFGSLineSearch:   24[ 31] 00:32:56   -40447.241119*       0.0891
BFGSLineSearch:   25[ 33] 00:46:50   -40447.243722*       0.1522
BFGSLineSearch:   26[ 36] 01:08:14   -40447.251940*       0.1847
BFGSLineSearch:   27[ 37] 01:15:17   -40447.260062*       0.1271
BFGSLineSearch:   28[ 39] 01:31:35   -40447.265561*       0.2413
BFGSLineSearch:   29[ 40] 01:39:10   -40447.273446*       0.3060
BFGSLineSearch:   30[ 41] 01:46:39   -40447.281932*       0.2232
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:19:29   -40447.281923*       0.2199
BFGSLineSearch:    1[  1] 09:28:52   -40447.286771*       0.3822
BFGSLineSearch:    2[  2] 09:38:02   -40447.296841*       0.1966
BFGSLineSearch:    3[  5] 10:10:13   -40447.306561*       0.5194
BFGSLineSearch:    4[  7] 10:32:08   -40447.310833*       0.2799
BFGSLineSearch:    5[  8] 10:44:05   -40447.315325*       0.2791
BFGSLineSearch:    6[  9] 10:53:12   -40447.320692*       0.1694
BFGSLineSearch:    7[ 10] 11:03:37   -40447.327358*       0.3150
BFGSLineSearch:    8[ 11] 11:14:00   -40447.332193*       0.3505
BFGSLineSearch:    9[ 12] 11:23:46   -40447.338150*       0.2125
BFGSLineSearch:   10[ 13] 11:34:09   -40447.350738*       0.4301
BFGSLineSearch:   11[ 14] 11:45:21   -40447.367405*       0.5722
BFGSLineSearch:   12[ 15] 11:57:54   -40447.390304*       0.7297
BFGSLineSearch:   13[ 17] 12:19:47   -40447.403772*       0.3141
BFGSLineSearch:   14[ 18] 12:34:15   -40447.426144*       0.5181
BFGSLineSearch:   15[ 19] 12:44:56   -40447.448265*       0.3513
BFGSLineSearch:   16[ 20] 12:54:57   -40447.462803*       0.1495
BFGSLineSearch:   17[ 22] 13:19:32   -40447.471217*       0.2441
BFGSLineSearch:   18[ 23] 13:29:42   -40447.477131*       0.2647
BFGSLineSearch:   19[ 24] 13:40:39   -40447.483513*       0.1652
BFGSLineSearch:   20[ 25] 13:52:54   -40447.487172*       0.4075
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 10:16:59   -40447.487167*       0.4059
BFGSLineSearch:    1[  1] 10:29:45   -40447.489847*       0.5391
BFGSLineSearch:    2[  2] 10:39:53   -40447.493409*       0.0723
BFGSLineSearch:    3[  3] 10:51:01   -40447.496863*       0.4238
BFGSLineSearch:    4[  4] 11:02:05   -40447.499280*       0.6938
BFGSLineSearch:    5[  5] 11:12:07   -40447.505811*       0.4471
BFGSLineSearch:    6[  6] 11:24:30   -40447.510889*       0.1349
BFGSLineSearch:    7[  9] 12:01:05   -40447.515644*       0.2048
BFGSLineSearch:    8[ 10] 12:12:40   -40447.521339*       0.1510
BFGSLineSearch:    9[ 11] 12:23:34   -40447.525111*       0.1637
BFGSLineSearch:   10[ 12] 12:33:35   -40447.527446*       0.2923
BFGSLineSearch:   11[ 14] 12:52:50   -40447.528951*       0.2334
BFGSLineSearch:   12[ 15] 13:01:29   -40447.529997*       0.0697
BFGSLineSearch:   13[ 16] 13:09:53   -40447.530499*       0.0559
BFGSLineSearch:   14[ 17] 13:18:43   -40447.530995*       0.0494
