                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:54:35   -40438.645869*       4.9512
BFGSLineSearch:    1[  2] 15:08:07   -40439.293267*       5.3578
BFGSLineSearch:    2[  3] 15:16:28   -40441.040129*       8.7047
BFGSLineSearch:    3[  4] 15:23:04   -40441.808614*       8.1706
BFGSLineSearch:    4[  5] 15:29:43   -40443.463111*      12.1574
BFGSLineSearch:    5[  7] 15:44:25   -40444.197980*       3.2714
BFGSLineSearch:    6[  8] 15:54:26   -40445.197458*       3.3586
BFGSLineSearch:    7[  9] 16:03:59   -40446.006098*       4.1166
BFGSLineSearch:    8[ 11] 16:18:29   -40446.296975*       3.3461
BFGSLineSearch:    9[ 13] 16:34:19   -40446.518323*       1.9461
BFGSLineSearch:   10[ 15] 16:48:12   -40446.657870*       1.3859
BFGSLineSearch:   11[ 17] 17:01:02   -40446.758690*       0.9918
BFGSLineSearch:   12[ 19] 17:15:38   -40446.841916*       1.2559
BFGSLineSearch:   13[ 21] 17:32:06   -40446.922630*       1.6884
BFGSLineSearch:   14[ 23] 17:46:05   -40446.972783*       0.9094
BFGSLineSearch:   15[ 25] 18:00:47   -40447.006497*       0.5304
BFGSLineSearch:   16[ 27] 18:12:59   -40447.041283*       0.9772
BFGSLineSearch:   17[ 28] 18:19:20   -40447.090179*       0.6946
BFGSLineSearch:   18[ 30] 18:31:30   -40447.116532*       0.5000
BFGSLineSearch:   19[ 32] 18:44:02   -40447.149420*       0.2509
BFGSLineSearch:   20[ 34] 18:56:49   -40447.163274*       0.2122
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 20:50:57   -40447.163261*       0.2133
BFGSLineSearch:    1[  2] 21:04:31   -40447.169945*       0.2838
BFGSLineSearch:    2[  3] 21:11:18   -40447.178560*       0.3290
BFGSLineSearch:    3[  5] 21:28:00   -40447.188995*       0.4213
BFGSLineSearch:    4[  7] 21:45:06   -40447.194016*       0.3117
BFGSLineSearch:    5[  8] 21:51:16   -40447.199356*       0.1297
BFGSLineSearch:    6[  9] 21:58:25   -40447.203795*       0.1487
BFGSLineSearch:    7[ 10] 22:07:20   -40447.205702*       0.2119
BFGSLineSearch:    8[ 11] 22:14:01   -40447.207665*       0.0648
BFGSLineSearch:    9[ 12] 22:19:19   -40447.208875*       0.1233
BFGSLineSearch:   10[ 13] 22:25:32   -40447.210062*       0.2700
BFGSLineSearch:   11[ 15] 22:39:33   -40447.211010*       0.1669
BFGSLineSearch:   12[ 16] 22:47:10   -40447.212930*       0.2613
BFGSLineSearch:   13[ 17] 22:52:35   -40447.214480*       0.1488
BFGSLineSearch:   14[ 18] 22:59:31   -40447.215723*       0.0692
BFGSLineSearch:   15[ 19] 23:06:55   -40447.216936*       0.1531
BFGSLineSearch:   16[ 20] 23:14:15   -40447.218862*       0.0916
BFGSLineSearch:   17[ 21] 23:21:09   -40447.220350*       0.0848
BFGSLineSearch:   18[ 22] 23:27:22   -40447.222149*       0.2025
BFGSLineSearch:   19[ 23] 23:33:42   -40447.223311*       0.1988
BFGSLineSearch:   20[ 24] 23:38:55   -40447.224443*       0.1187
BFGSLineSearch:   21[ 25] 23:44:43   -40447.225181*       0.0664
BFGSLineSearch:   22[ 27] 23:58:23   -40447.225514*       0.0687
BFGSLineSearch:   23[ 28] 00:04:13   -40447.226060*       0.0515
BFGSLineSearch:   24[ 32] 00:24:22   -40447.226647*       0.0592
BFGSLineSearch:   25[ 33] 00:30:10   -40447.227403*       0.0632
BFGSLineSearch:   26[ 34] 00:37:30   -40447.228255*       0.1093
BFGSLineSearch:   27[ 44] 01:09:16   -40447.228365*       0.1697
BFGSLineSearch:   28[ 45] 01:16:23   -40447.229217*       0.0615
BFGSLineSearch:   29[ 48] 01:37:07   -40447.231458*       0.1129
BFGSLineSearch:   30[ 49] 01:42:55   -40447.232839*       0.0884
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:18:55   -40447.232833*       0.0885
BFGSLineSearch:    1[  2] 09:37:17   -40447.233429*       0.0539
BFGSLineSearch:    2[  5] 10:05:19   -40447.234246*       0.0769
BFGSLineSearch:    3[  6] 10:13:06   -40447.235492*       0.0512
BFGSLineSearch:    4[  8] 10:34:18   -40447.236755*       0.0740
BFGSLineSearch:    5[  9] 10:42:11   -40447.238003*       0.0683
BFGSLineSearch:    6[ 10] 10:52:38   -40447.239872*       0.0744
BFGSLineSearch:    7[ 12] 11:13:49   -40447.241063*       0.0927
BFGSLineSearch:    8[ 13] 11:24:38   -40447.242589*       0.0736
BFGSLineSearch:    9[ 16] 11:57:36   -40447.244893*       0.1491
BFGSLineSearch:   10[ 17] 12:06:12   -40447.247070*       0.1569
BFGSLineSearch:   11[ 18] 12:16:37   -40447.249315*       0.3253
BFGSLineSearch:   12[ 20] 12:35:14   -40447.257051*       0.4546
BFGSLineSearch:   13[ 22] 12:58:35   -40447.260454*       0.4696
BFGSLineSearch:   14[ 23] 13:08:10   -40447.274220*       0.7256
BFGSLineSearch:   15[ 25] 13:28:39   -40447.291209*       0.6037
BFGSLineSearch:   16[ 27] 13:51:29   -40447.305796*       0.4998
BFGSLineSearch:   17[ 28] 14:03:56   -40447.320164*       0.8030
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 10:16:08   -40447.320164*       0.7945
BFGSLineSearch:    1[  2] 10:42:22   -40447.330384*       0.5191
