                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:53:52   -40438.590270*       5.1485
BFGSLineSearch:    1[  2] 15:06:40   -40439.213088*       4.7705
BFGSLineSearch:    2[  3] 15:13:53   -40440.689040*       7.7012
BFGSLineSearch:    3[  4] 15:19:38   -40441.575880*       7.7195
BFGSLineSearch:    4[  5] 15:25:24   -40442.859246*      13.6048
BFGSLineSearch:    5[  6] 15:31:41   -40444.195566*       5.1542
BFGSLineSearch:    6[  8] 15:48:20   -40445.145985*       4.6903
BFGSLineSearch:    7[ 10] 16:04:56   -40445.761566*       3.4727
BFGSLineSearch:    8[ 12] 16:18:15   -40446.286328*       1.4580
BFGSLineSearch:    9[ 14] 16:33:42   -40446.541206*       1.5526
BFGSLineSearch:   10[ 16] 16:47:46   -40446.682834*       1.8689
BFGSLineSearch:   11[ 18] 17:02:03   -40446.783691*       1.5241
BFGSLineSearch:   12[ 20] 17:16:02   -40446.855790*       0.8548
BFGSLineSearch:   13[ 22] 17:30:40   -40446.942777*       0.9534
BFGSLineSearch:   14[ 24] 17:46:29   -40447.002097*       0.8984
BFGSLineSearch:   15[ 26] 17:58:49   -40447.032413*       0.8143
BFGSLineSearch:   16[ 28] 18:12:06   -40447.072684*       0.5134
BFGSLineSearch:   17[ 30] 18:25:26   -40447.113909*       0.8022
BFGSLineSearch:   18[ 31] 18:31:26   -40447.134768*       1.7995
BFGSLineSearch:   19[ 33] 18:44:33   -40447.156308*       0.2457
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 21:07:40   -40447.156319*       0.2448
BFGSLineSearch:    1[  2] 21:22:26   -40447.165316*       0.8255
BFGSLineSearch:    2[  3] 21:30:54   -40447.179250*       0.7191
BFGSLineSearch:    3[  5] 21:44:10   -40447.183890*       0.4341
BFGSLineSearch:    4[  6] 21:51:41   -40447.190982*       0.2769
BFGSLineSearch:    5[  7] 21:58:49   -40447.196023*       0.2997
BFGSLineSearch:    6[  9] 22:13:52   -40447.200375*       0.1392
BFGSLineSearch:    7[ 10] 22:20:15   -40447.203739*       0.1207
BFGSLineSearch:    8[ 11] 22:27:23   -40447.206494*       0.0839
BFGSLineSearch:    9[ 12] 22:34:33   -40447.208573*       0.0951
BFGSLineSearch:   10[ 13] 22:41:36   -40447.210811*       0.0598
BFGSLineSearch:   11[ 14] 22:47:50   -40447.212403*       0.0885
BFGSLineSearch:   12[ 15] 22:54:39   -40447.214001*       0.0862
BFGSLineSearch:   13[ 16] 23:02:03   -40447.215574*       0.0640
BFGSLineSearch:   14[ 17] 23:10:00   -40447.216728*       0.0819
BFGSLineSearch:   15[ 18] 23:18:35   -40447.217747*       0.0637
BFGSLineSearch:   16[ 19] 23:26:47   -40447.219100*       0.0520
BFGSLineSearch:   17[ 20] 23:33:22   -40447.220823*       0.1206
BFGSLineSearch:   18[ 21] 23:40:31   -40447.222245*       0.2049
BFGSLineSearch:   19[ 23] 23:50:36   -40447.223027*       0.1915
BFGSLineSearch:   20[ 24] 23:57:13   -40447.224012*       0.0699
BFGSLineSearch:   21[ 25] 00:03:28   -40447.225005*       0.0452
