                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:54:23   -40446.695504*       4.4590
BFGSLineSearch:    1[  2] 15:05:28   -40446.758826*       1.0799
BFGSLineSearch:    2[  3] 15:12:11   -40446.852695*       0.7867
BFGSLineSearch:    3[  5] 15:23:57   -40446.907440*       1.2939
BFGSLineSearch:    4[  7] 15:41:24   -40446.970604*       0.6171
BFGSLineSearch:    5[  9] 15:55:46   -40446.998272*       0.4827
BFGSLineSearch:    6[ 11] 16:09:28   -40447.015195*       0.4725
BFGSLineSearch:    7[ 13] 16:24:04   -40447.026437*       0.2248
BFGSLineSearch:    8[ 14] 16:30:02   -40447.047803*       0.2381
BFGSLineSearch:    9[ 16] 16:41:27   -40447.058240*       0.1942
BFGSLineSearch:   10[ 18] 16:51:06   -40447.066104*       0.1779
BFGSLineSearch:   11[ 20] 17:01:14   -40447.070280*       0.3088
BFGSLineSearch:   12[ 22] 17:13:46   -40447.075218*       0.1573
BFGSLineSearch:   13[ 24] 17:23:34   -40447.077697*       0.1602
BFGSLineSearch:   14[ 26] 17:34:10   -40447.081196*       0.1126
BFGSLineSearch:   15[ 27] 17:40:40   -40447.086450*       0.1269
BFGSLineSearch:   16[ 28] 17:48:05   -40447.093065*       0.1049
BFGSLineSearch:   17[ 29] 17:54:57   -40447.099445*       0.2882
BFGSLineSearch:   18[ 31] 18:08:02   -40447.106488*       0.1809
BFGSLineSearch:   19[ 33] 18:18:08   -40447.110083*       0.1272
BFGSLineSearch:   20[ 34] 18:23:21   -40447.113715*       0.1544
BFGSLineSearch:   21[ 35] 18:29:35   -40447.118985*       0.1395
BFGSLineSearch:   22[ 36] 18:36:56   -40447.125422*       0.5008
BFGSLineSearch:   23[ 37] 18:42:22   -40447.131724*       0.1891
BFGSLineSearch:   24[ 38] 18:47:41   -40447.135215*       0.1835
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 21:03:42   -40447.135221*       0.1782
BFGSLineSearch:    1[  2] 21:15:40   -40447.137259*       0.0577
BFGSLineSearch:    2[  4] 21:26:30   -40447.139629*       0.1261
BFGSLineSearch:    3[  5] 21:32:20   -40447.144863*       0.4289
BFGSLineSearch:    4[  7] 21:46:10   -40447.148746*       0.2025
BFGSLineSearch:    5[  8] 21:51:27   -40447.152383*       0.2004
BFGSLineSearch:    6[  9] 21:57:46   -40447.155708*       0.5963
BFGSLineSearch:    7[ 10] 22:04:32   -40447.158097*       0.3627
BFGSLineSearch:    8[ 11] 22:11:46   -40447.159433*       0.2463
BFGSLineSearch:    9[ 12] 22:17:13   -40447.160754*       0.2469
BFGSLineSearch:   10[ 15] 22:34:01   -40447.161004*       0.3438
BFGSLineSearch:   11[ 16] 22:38:48   -40447.162719*       0.0700
BFGSLineSearch:   12[ 17] 22:44:09   -40447.164661*       0.0772
BFGSLineSearch:   13[ 18] 22:50:55   -40447.166965*       0.0849
BFGSLineSearch:   14[ 19] 22:58:44   -40447.168483*       0.1850
BFGSLineSearch:   15[ 20] 23:06:52   -40447.169432*       0.2110
BFGSLineSearch:   16[ 21] 23:13:27   -40447.171076*       0.3567
BFGSLineSearch:   17[ 22] 23:20:28   -40447.173358*       0.5485
BFGSLineSearch:   18[ 25] 23:38:11   -40447.176495*       0.1067
BFGSLineSearch:   19[ 27] 23:49:03   -40447.178640*       0.2694
BFGSLineSearch:   20[ 29] 23:59:26   -40447.179556*       0.0724
BFGSLineSearch:   21[ 31] 00:12:54   -40447.180311*       0.0444
