                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:50:16   -40436.659908*      11.6464
BFGSLineSearch:    1[  1] 14:59:58   -40440.315822*       7.7192
BFGSLineSearch:    2[  3] 15:13:24   -40441.710768*       3.4882
BFGSLineSearch:    3[  4] 15:19:30   -40442.980506*       5.8183
BFGSLineSearch:    4[  5] 15:26:34   -40443.431266*       3.7673
BFGSLineSearch:    5[  7] 15:41:21   -40443.778371*       4.0188
BFGSLineSearch:    6[  9] 15:56:02   -40444.161345*       5.6929
BFGSLineSearch:    7[ 10] 16:02:21   -40444.684638*       4.8916
BFGSLineSearch:    8[ 11] 16:10:57   -40445.118677*       3.0330
BFGSLineSearch:    9[ 13] 16:26:20   -40445.523614*       2.3956
BFGSLineSearch:   10[ 15] 16:42:54   -40445.762765*       1.5942
BFGSLineSearch:   11[ 16] 16:50:43   -40446.080890*       1.0491
BFGSLineSearch:   12[ 17] 16:57:39   -40446.323133*       1.1851
BFGSLineSearch:   13[ 18] 17:05:42   -40446.525443*       1.3354
BFGSLineSearch:   14[ 19] 17:12:20   -40446.659620*       1.7814
BFGSLineSearch:   15[ 20] 17:18:50   -40446.790125*       0.9934
BFGSLineSearch:   16[ 21] 17:24:58   -40446.888719*       0.5751
BFGSLineSearch:   17[ 23] 17:38:25   -40446.935733*       0.4806
BFGSLineSearch:   18[ 24] 17:46:21   -40446.982119*       0.5718
BFGSLineSearch:   19[ 25] 17:54:35   -40447.027364*       0.2997
BFGSLineSearch:   20[ 26] 18:03:05   -40447.049171*       0.4678
BFGSLineSearch:   21[ 27] 18:09:30   -40447.072837*       0.3733
BFGSLineSearch:   22[ 29] 18:25:33   -40447.084791*       0.2759
BFGSLineSearch:   23[ 30] 18:32:29   -40447.095639*       0.3651
BFGSLineSearch:   24[ 31] 18:38:47   -40447.103497*       0.5856
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 21:16:01   -40447.103547*       0.5819
BFGSLineSearch:    1[  2] 21:28:43   -40447.107932*       0.2394
