                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:53:44   -40446.805917*       4.4707
BFGSLineSearch:    1[  2] 15:06:16   -40446.869125*       1.0739
BFGSLineSearch:    2[  3] 15:12:10   -40446.969096*       0.7446
BFGSLineSearch:    3[  4] 15:18:00   -40447.044169*       0.9966
BFGSLineSearch:    4[  6] 15:34:41   -40447.087517*       0.5248
BFGSLineSearch:    5[  8] 15:48:36   -40447.116406*       0.4844
BFGSLineSearch:    6[ 10] 16:00:51   -40447.133910*       0.2891
BFGSLineSearch:    7[ 12] 16:14:04   -40447.146667*       0.5535
BFGSLineSearch:    8[ 14] 16:28:28   -40447.164309*       0.1954
BFGSLineSearch:    9[ 16] 16:39:36   -40447.172473*       0.2607
BFGSLineSearch:   10[ 18] 16:52:01   -40447.179382*       0.2819
BFGSLineSearch:   11[ 20] 17:02:28   -40447.185146*       0.2121
BFGSLineSearch:   12[ 22] 17:14:28   -40447.190658*       0.1169
BFGSLineSearch:   13[ 24] 17:23:32   -40447.193603*       0.0944
BFGSLineSearch:   14[ 25] 17:28:51   -40447.197700*       0.1726
BFGSLineSearch:   15[ 27] 17:40:27   -40447.200474*       0.0907
BFGSLineSearch:   16[ 28] 17:45:50   -40447.203338*       0.1641
BFGSLineSearch:   17[ 29] 17:52:00   -40447.208121*       0.1011
BFGSLineSearch:   18[ 30] 17:57:43   -40447.211457*       0.0701
BFGSLineSearch:   19[ 32] 18:09:16   -40447.212815*       0.0596
BFGSLineSearch:   20[ 33] 18:18:08   -40447.214223*       0.0648
BFGSLineSearch:   21[ 35] 18:28:45   -40447.214884*       0.0361
