                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:50:12   -40350.940419*     547.0816
BFGSLineSearch:    1[  1] 15:01:15   -40424.410932*      44.4327
BFGSLineSearch:    2[  2] 15:07:22   -40430.020497*      38.0039
BFGSLineSearch:    3[  3] 15:14:20   -40433.359162*      29.3313
BFGSLineSearch:    4[  4] 15:25:43   -40435.926175*      19.5065
BFGSLineSearch:    5[  5] 15:37:20   -40437.347035*       5.7103
BFGSLineSearch:    6[  6] 15:46:22   -40438.678131*       5.1468
BFGSLineSearch:    7[  8] 15:59:26   -40439.670347*       2.7465
BFGSLineSearch:    8[ 10] 16:13:55   -40439.947296*       1.9624
BFGSLineSearch:    9[ 12] 16:26:43   -40440.186660*       1.6870
BFGSLineSearch:   10[ 14] 16:39:25   -40440.256661*       2.0315
BFGSLineSearch:   11[ 16] 16:52:29   -40440.384205*       1.3425
BFGSLineSearch:   12[ 18] 17:03:39   -40440.527538*       1.5642
BFGSLineSearch:   13[ 20] 17:17:00   -40441.199601*       5.6949
BFGSLineSearch:   14[ 22] 17:31:30   -40441.429569*       4.3599
BFGSLineSearch:   15[ 23] 17:39:22   -40442.828127*       4.1895
BFGSLineSearch:   16[ 24] 17:48:55   -40443.687198*       3.5037
BFGSLineSearch:   17[ 26] 18:02:28   -40444.157420*       6.1775
BFGSLineSearch:   18[ 28] 18:18:07   -40444.353112*       1.7016
BFGSLineSearch:   19[ 30] 18:33:23   -40444.525469*       1.5828
BFGSLineSearch:   20[ 32] 18:45:31   -40444.680682*       1.8836
BFGSLineSearch:   21[ 33] 18:52:18   -40444.866766*       1.7934
BFGSLineSearch:   22[ 34] 19:00:25   -40445.064663*       2.0474
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 21:06:07   -40445.064705*       2.0471
BFGSLineSearch:    1[  2] 21:23:12   -40445.153003*       0.9805
BFGSLineSearch:    2[  3] 21:31:16   -40445.279810*       1.2721
BFGSLineSearch:    3[  4] 21:38:50   -40445.440803*       1.5270
BFGSLineSearch:    4[  6] 21:54:32   -40445.680651*       1.2990
BFGSLineSearch:    5[  7] 22:01:50   -40445.791392*       2.2848
BFGSLineSearch:    6[  8] 22:11:38   -40445.996009*       1.2975
BFGSLineSearch:    7[ 10] 22:30:23   -40446.247204*       3.6465
BFGSLineSearch:    8[ 12] 22:50:55   -40446.363675*       1.0769
BFGSLineSearch:    9[ 14] 23:08:19   -40446.460697*       1.4075
BFGSLineSearch:   10[ 16] 23:25:11   -40446.547526*       1.3503
BFGSLineSearch:   11[ 18] 23:41:23   -40446.600459*       0.6679
BFGSLineSearch:   12[ 19] 23:49:51   -40446.655008*       0.7792
BFGSLineSearch:   13[ 20] 23:57:04   -40446.694687*       0.7352
BFGSLineSearch:   14[ 21] 00:03:42   -40446.720397*       0.9517
BFGSLineSearch:   15[ 22] 00:11:40   -40446.751430*       1.0741
BFGSLineSearch:   16[ 23] 00:19:45   -40446.780968*       0.6028
BFGSLineSearch:   17[ 24] 00:26:40   -40446.805291*       0.3513
BFGSLineSearch:   18[ 25] 00:34:47   -40446.829061*       0.3830
BFGSLineSearch:   19[ 26] 00:43:22   -40446.852241*       0.4224
BFGSLineSearch:   20[ 27] 00:50:29   -40446.873634*       0.4415
BFGSLineSearch:   21[ 28] 00:57:22   -40446.885009*       0.9763
