                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:53:07   -40438.527663*       5.0618
BFGSLineSearch:    1[  2] 15:05:46   -40439.165060*       5.1105
BFGSLineSearch:    2[  3] 15:14:44   -40440.763066*       8.3821
BFGSLineSearch:    3[  4] 15:22:04   -40441.633069*       7.7319
BFGSLineSearch:    4[  5] 15:28:38   -40442.655144*      16.6389
BFGSLineSearch:    5[  6] 15:35:26   -40444.176062*       2.9549
BFGSLineSearch:    6[  8] 15:51:43   -40445.048833*       4.7641
BFGSLineSearch:    7[  9] 16:00:25   -40445.976128*       3.7244
BFGSLineSearch:    8[ 11] 16:15:34   -40446.281943*       2.7614
BFGSLineSearch:    9[ 13] 16:31:32   -40446.496383*       1.8685
BFGSLineSearch:   10[ 15] 16:48:42   -40446.655728*       1.3628
BFGSLineSearch:   11[ 17] 17:02:39   -40446.754806*       1.2000
BFGSLineSearch:   12[ 19] 17:16:48   -40446.829039*       1.3498
BFGSLineSearch:   13[ 21] 17:31:22   -40446.910625*       1.4548
BFGSLineSearch:   14[ 23] 17:46:00   -40446.969823*       0.5990
BFGSLineSearch:   15[ 25] 17:59:57   -40447.004456*       0.7092
BFGSLineSearch:   16[ 27] 18:12:39   -40447.036795*       0.8856
BFGSLineSearch:   17[ 28] 18:18:58   -40447.085140*       0.4723
BFGSLineSearch:   18[ 30] 18:31:33   -40447.115676*       0.4735
BFGSLineSearch:   19[ 32] 18:44:16   -40447.141372*       0.2331
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 21:04:33   -40447.141373*       0.2358
BFGSLineSearch:    1[  2] 21:18:34   -40447.151021*       0.5454
BFGSLineSearch:    2[  3] 21:25:55   -40447.160860*       1.1665
BFGSLineSearch:    3[  5] 21:41:05   -40447.173702*       0.1864
BFGSLineSearch:    4[  6] 21:49:10   -40447.179984*       0.2492
BFGSLineSearch:    5[  8] 22:02:42   -40447.186413*       0.2076
BFGSLineSearch:    6[ 10] 22:15:54   -40447.191211*       0.2620
BFGSLineSearch:    7[ 11] 22:23:13   -40447.196445*       0.1317
BFGSLineSearch:    8[ 12] 22:30:37   -40447.200223*       0.1272
BFGSLineSearch:    9[ 13] 22:38:38   -40447.202386*       0.0879
BFGSLineSearch:   10[ 14] 22:43:53   -40447.204449*       0.0624
BFGSLineSearch:   11[ 15] 22:51:11   -40447.205844*       0.1454
BFGSLineSearch:   12[ 16] 22:58:45   -40447.208373*       0.0776
BFGSLineSearch:   13[ 17] 23:07:30   -40447.210892*       0.1671
BFGSLineSearch:   14[ 18] 23:13:15   -40447.213094*       0.0976
BFGSLineSearch:   15[ 19] 23:20:29   -40447.214827*       0.0537
BFGSLineSearch:   16[ 20] 23:27:06   -40447.216903*       0.0759
BFGSLineSearch:   17[ 21] 23:34:33   -40447.218926*       0.1073
BFGSLineSearch:   18[ 22] 23:42:09   -40447.220913*       0.0994
BFGSLineSearch:   19[ 23] 23:47:37   -40447.222581*       0.0626
BFGSLineSearch:   20[ 24] 23:53:26   -40447.223905*       0.0879
BFGSLineSearch:   21[ 26] 00:04:08   -40447.224918*       0.1198
BFGSLineSearch:   22[ 28] 00:19:23   -40447.225852*       0.0506
BFGSLineSearch:   23[ 29] 00:24:52   -40447.226413*       0.0562
BFGSLineSearch:   24[ 30] 00:30:50   -40447.226981*       0.0590
BFGSLineSearch:   25[ 32] 00:40:58   -40447.227185*       0.0513
BFGSLineSearch:   26[ 34] 00:48:45   -40447.227473*       0.0756
BFGSLineSearch:   27[ 35] 00:53:24   -40447.227865*       0.0643
BFGSLineSearch:   28[ 36] 00:58:19   -40447.228524*       0.0570
BFGSLineSearch:   29[ 45] 01:34:13   -40447.228866*       0.0843
BFGSLineSearch:   30[ 46] 01:40:12   -40447.229738*       0.0709
BFGSLineSearch:   31[ 47] 01:45:06   -40447.230196*       0.0553
BFGSLineSearch:   32[ 48] 01:50:19   -40447.230505*       0.0654
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:18:38   -40447.230512*       0.0613
BFGSLineSearch:    1[  1] 09:26:11   -40447.230908*       0.0642
BFGSLineSearch:    2[ 12] 10:31:06   -40447.231242*       0.0685
BFGSLineSearch:    3[ 15] 10:59:58   -40447.232792*       0.0487
