                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:52:40   -40438.565376*       4.9769
BFGSLineSearch:    1[  2] 15:05:29   -40439.209589*       5.4485
BFGSLineSearch:    2[  3] 15:12:59   -40440.951496*       9.1499
BFGSLineSearch:    3[  4] 15:18:51   -40441.757692*       7.9898
BFGSLineSearch:    4[  6] 15:30:54   -40442.861871*       6.5247
BFGSLineSearch:    5[  7] 15:37:38   -40444.052142*       8.0428
BFGSLineSearch:    6[  8] 15:47:46   -40445.073324*       4.0999
BFGSLineSearch:    7[  9] 15:55:22   -40445.934568*       3.7416
BFGSLineSearch:    8[ 11] 16:09:07   -40446.245416*       2.5338
BFGSLineSearch:    9[ 13] 16:25:47   -40446.551839*       2.4564
BFGSLineSearch:   10[ 15] 16:40:21   -40446.714838*       1.9882
BFGSLineSearch:   11[ 17] 16:54:07   -40446.804233*       1.1189
BFGSLineSearch:   12[ 19] 17:08:41   -40446.882055*       0.8482
BFGSLineSearch:   13[ 21] 17:24:52   -40446.944794*       1.2927
BFGSLineSearch:   14[ 23] 17:39:35   -40446.985765*       0.6272
BFGSLineSearch:   15[ 25] 17:52:07   -40447.020904*       0.7259
BFGSLineSearch:   16[ 27] 18:06:02   -40447.047248*       0.5269
BFGSLineSearch:   17[ 28] 18:11:42   -40447.095029*       0.5637
BFGSLineSearch:   18[ 30] 18:24:57   -40447.123378*       0.4071
BFGSLineSearch:   19[ 32] 18:37:28   -40447.148443*       0.8408
BFGSLineSearch:   20[ 34] 18:49:56   -40447.159585*       0.4508
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 20:19:26   -40447.159584*       0.4496
BFGSLineSearch:    1[  2] 20:37:17   -40447.165033*       0.5187
BFGSLineSearch:    2[  3] 20:46:55   -40447.176836*       0.3485
BFGSLineSearch:    3[  5] 21:09:39   -40447.184958*       0.1825
BFGSLineSearch:    4[  6] 21:19:30   -40447.192175*       0.1095
BFGSLineSearch:    5[  8] 21:37:00   -40447.197164*       0.2882
BFGSLineSearch:    6[  9] 21:44:56   -40447.200318*       0.2301
BFGSLineSearch:    7[ 11] 22:00:25   -40447.203068*       0.2003
BFGSLineSearch:    8[ 12] 22:07:11   -40447.205700*       0.0926
BFGSLineSearch:    9[ 13] 22:15:41   -40447.207519*       0.1557
BFGSLineSearch:   10[ 14] 22:23:30   -40447.210394*       0.1299
BFGSLineSearch:   11[ 15] 22:30:28   -40447.212673*       0.0649
BFGSLineSearch:   12[ 16] 22:38:34   -40447.214897*       0.0919
BFGSLineSearch:   13[ 17] 22:46:18   -40447.216560*       0.0843
BFGSLineSearch:   14[ 18] 22:52:53   -40447.217812*       0.0809
BFGSLineSearch:   15[ 19] 22:58:26   -40447.219372*       0.0875
BFGSLineSearch:   16[ 20] 23:05:21   -40447.220700*       0.1302
BFGSLineSearch:   17[ 21] 23:12:12   -40447.222512*       0.0936
BFGSLineSearch:   18[ 22] 23:22:56   -40447.224673*       0.0880
BFGSLineSearch:   19[ 23] 23:30:42   -40447.225399*       0.0772
BFGSLineSearch:   20[ 24] 23:39:26   -40447.226622*       0.0829
BFGSLineSearch:   21[ 26] 23:55:12   -40447.227076*       0.0571
BFGSLineSearch:   22[ 28] 00:08:30   -40447.227424*       0.0639
BFGSLineSearch:   23[ 32] 00:36:24   -40447.227691*       0.0763
BFGSLineSearch:   24[ 33] 00:42:09   -40447.228082*       0.0986
BFGSLineSearch:   25[ 36] 01:00:28   -40447.228305*       0.0908
BFGSLineSearch:   26[ 37] 01:08:13   -40447.228613*       0.0507
BFGSLineSearch:   27[ 38] 01:14:36   -40447.229127*       0.0692
BFGSLineSearch:   28[ 40] 01:27:14   -40447.229315*       0.0632
BFGSLineSearch:   29[ 41] 01:33:01   -40447.229990*       0.0440
