                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:50:21   -40438.201349*       5.3220
BFGSLineSearch:    1[  2] 15:03:25   -40438.973903*       6.9004
BFGSLineSearch:    2[  3] 15:11:48   -40440.770841*      10.7194
BFGSLineSearch:    3[  4] 15:19:20   -40441.917854*      12.5794
BFGSLineSearch:    4[  5] 15:25:55   -40443.226911*       6.3329
BFGSLineSearch:    5[  6] 15:34:30   -40444.727370*       4.0442
BFGSLineSearch:    6[  8] 15:49:36   -40445.294059*       2.1340
BFGSLineSearch:    7[ 10] 16:07:41   -40445.660951*       1.6983
BFGSLineSearch:    8[ 12] 16:23:19   -40445.914948*       1.7586
BFGSLineSearch:    9[ 14] 16:39:08   -40446.124101*       1.5500
BFGSLineSearch:   10[ 16] 16:52:12   -40446.278793*       1.9755
BFGSLineSearch:   11[ 18] 17:05:02   -40446.417883*       1.2828
BFGSLineSearch:   12[ 19] 17:12:09   -40446.558289*       2.8712
BFGSLineSearch:   13[ 21] 17:25:16   -40446.735341*       1.4732
BFGSLineSearch:   14[ 23] 17:40:16   -40446.806821*       0.8949
BFGSLineSearch:   15[ 25] 17:52:44   -40446.877018*       0.7840
BFGSLineSearch:   16[ 26] 18:00:01   -40446.927028*       0.6679
BFGSLineSearch:   17[ 27] 18:06:38   -40446.962843*       1.7308
BFGSLineSearch:   18[ 29] 18:19:42   -40446.990145*       0.3856
BFGSLineSearch:   19[ 31] 18:29:48   -40447.011439*       0.5093
BFGSLineSearch:   20[ 33] 18:41:33   -40447.028707*       0.2552
BFGSLineSearch:   21[ 34] 18:47:44   -40447.055783*       0.3166
BFGSLineSearch:   22[ 35] 18:54:19   -40447.083071*       0.6165
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 21:05:01   -40447.083095*       0.6143
BFGSLineSearch:    1[  2] 21:18:09   -40447.092893*       0.4101
BFGSLineSearch:    2[  3] 21:24:38   -40447.109192*       0.5173
BFGSLineSearch:    3[  5] 21:44:59   -40447.125378*       0.4528
BFGSLineSearch:    4[  7] 22:02:41   -40447.138615*       0.3190
BFGSLineSearch:    5[  8] 22:10:53   -40447.144524*       0.9019
BFGSLineSearch:    6[ 10] 22:23:17   -40447.154527*       0.3291
BFGSLineSearch:    7[ 12] 22:36:02   -40447.163926*       0.1774
BFGSLineSearch:    8[ 13] 22:42:15   -40447.173924*       0.3735
BFGSLineSearch:    9[ 14] 22:50:38   -40447.184557*       0.5274
BFGSLineSearch:   10[ 15] 22:56:51   -40447.194216*       0.3399
BFGSLineSearch:   11[ 16] 23:04:12   -40447.204838*       0.1894
BFGSLineSearch:   12[ 17] 23:10:17   -40447.214971*       0.6813
BFGSLineSearch:   13[ 18] 23:19:07   -40447.222741*       0.5302
BFGSLineSearch:   14[ 19] 23:25:15   -40447.230481*       0.3133
BFGSLineSearch:   15[ 20] 23:32:14   -40447.237616*       0.4018
BFGSLineSearch:   16[ 21] 23:38:19   -40447.243409*       0.3293
BFGSLineSearch:   17[ 23] 23:51:46   -40447.247429*       0.2555
BFGSLineSearch:   18[ 25] 00:06:31   -40447.251201*       0.3288
BFGSLineSearch:   19[ 26] 00:13:26   -40447.255913*       0.1310
BFGSLineSearch:   20[ 27] 00:20:34   -40447.260665*       0.2738
BFGSLineSearch:   21[ 28] 00:27:45   -40447.267735*       0.3885
BFGSLineSearch:   22[ 31] 00:53:27   -40447.282795*       0.2570
BFGSLineSearch:   23[ 33] 01:07:54   -40447.295153*       0.5250
BFGSLineSearch:   24[ 34] 01:16:56   -40447.314834*       0.2731
BFGSLineSearch:   25[ 36] 01:32:39   -40447.327783*       0.6906
BFGSLineSearch:   26[ 37] 01:40:31   -40447.344906*       0.3954
BFGSLineSearch:   27[ 38] 01:47:45   -40447.355293*       0.4570
BFGSLineSearch:   28[ 39] 01:55:37   -40447.368229*       0.4747
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:18:49   -40447.368222*       0.4742
BFGSLineSearch:    1[  1] 09:28:28   -40447.373129*       0.3939
BFGSLineSearch:    2[  2] 09:39:12   -40447.386969*       0.2979
BFGSLineSearch:    3[  4] 10:02:09   -40447.398670*       0.4636
BFGSLineSearch:    4[  6] 10:33:02   -40447.410456*       0.4671
BFGSLineSearch:    5[  8] 10:55:08   -40447.416064*       0.4962
BFGSLineSearch:    6[ 10] 11:17:58   -40447.422346*       0.3584
BFGSLineSearch:    7[ 11] 11:31:01   -40447.427911*       0.4391
BFGSLineSearch:    8[ 12] 11:40:31   -40447.436059*       0.1404
BFGSLineSearch:    9[ 13] 11:50:34   -40447.441286*       0.4378
BFGSLineSearch:   10[ 14] 12:00:42   -40447.447094*       0.3830
BFGSLineSearch:   11[ 15] 12:11:11   -40447.454819*       0.1817
BFGSLineSearch:   12[ 16] 12:19:48   -40447.462042*       0.3379
BFGSLineSearch:   13[ 17] 12:30:17   -40447.472397*       0.2640
BFGSLineSearch:   14[ 18] 12:42:23   -40447.487641*       0.2974
BFGSLineSearch:   15[ 19] 12:55:09   -40447.497319*       0.2552
BFGSLineSearch:   16[ 20] 13:06:51   -40447.502269*       0.3087
BFGSLineSearch:   17[ 21] 13:19:14   -40447.507154*       0.2681
BFGSLineSearch:   18[ 22] 13:28:42   -40447.511574*       0.2779
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 10:19:39   -40447.511589*       0.2747
BFGSLineSearch:    1[  1] 10:29:46   -40447.514182*       0.0982
BFGSLineSearch:    2[  2] 10:39:46   -40447.516333*       0.1926
BFGSLineSearch:    3[  4] 11:01:58   -40447.517454*       0.1425
BFGSLineSearch:    4[  5] 11:12:08   -40447.519290*       0.1237
BFGSLineSearch:    5[  6] 11:22:57   -40447.521521*       0.1116
BFGSLineSearch:    6[  8] 11:43:47   -40447.525239*       0.1706
BFGSLineSearch:    7[ 10] 12:04:20   -40447.528784*       0.1426
BFGSLineSearch:    8[ 11] 12:14:08   -40447.531063*       0.0985
BFGSLineSearch:    9[ 12] 12:27:13   -40447.532304*       0.1586
BFGSLineSearch:   10[ 15] 12:56:08   -40447.534891*       0.2057
BFGSLineSearch:   11[ 16] 13:07:24   -40447.537713*       0.1306
BFGSLineSearch:   12[ 17] 13:16:53   -40447.539911*       0.0598
BFGSLineSearch:   13[ 18] 13:27:39   -40447.541495*       0.0649
BFGSLineSearch:   14[ 19] 13:37:04   -40447.543208*       0.0673
BFGSLineSearch:   15[ 20] 13:47:23   -40447.543905*       0.1948
BFGSLineSearch:   16[ 21] 14:00:21   -40447.545636*       0.0713
BFGSLineSearch:   17[ 22] 14:09:16   -40447.546588*       0.0998
BFGSLineSearch:   18[ 32] 15:07:11   -40447.547130*       0.1175
BFGSLineSearch:   19[ 33] 15:14:15   -40447.548652*       0.0607
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 17:16:12   -40447.548641*       0.0617
BFGSLineSearch:    1[  2] 17:38:11   -40447.549917*       0.1678
BFGSLineSearch:    2[  3] 17:50:18   -40447.551915*       0.0931
BFGSLineSearch:    3[  4] 18:02:35   -40447.552758*       0.1073
BFGSLineSearch:    4[  6] 18:28:31   -40447.554932*       0.1540
BFGSLineSearch:    5[  7] 18:39:09   -40447.556177*       0.0882
BFGSLineSearch:    6[  8] 18:50:57   -40447.557009*       0.0855
BFGSLineSearch:    7[ 11] 19:28:52   -40447.557702*       0.0696
BFGSLineSearch:    8[ 13] 19:51:32   -40447.557898*       0.0645
BFGSLineSearch:    9[ 14] 20:02:33   -40447.558145*       0.0385
