                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 13:33:52   -39897.175725*       6.4735
BFGSLineSearch:    1[  1] 14:05:54   -39898.218264*       4.6257
BFGSLineSearch:    2[  3] 14:56:56   -39898.780466*       2.5678
BFGSLineSearch:    3[  5] 16:43:44   -39899.034526*       1.6188
BFGSLineSearch:    4[  7] 17:26:00   -39899.182862*       0.9311
BFGSLineSearch:    5[  9] 17:56:57   -39899.300230*       1.0747
BFGSLineSearch:    6[ 11] 18:34:28   -39899.383658*       0.9281
BFGSLineSearch:    7[ 13] 19:04:01   -39899.449460*       0.9302
BFGSLineSearch:    8[ 15] 19:38:49   -39899.513114*       0.6380
BFGSLineSearch:    9[ 17] 20:14:24   -39899.553848*       0.5319
BFGSLineSearch:   10[ 19] 20:47:22   -39899.597263*       0.6166
BFGSLineSearch:   11[ 21] 21:24:56   -39899.632758*       0.4850
BFGSLineSearch:   12[ 23] 21:54:21   -39899.676366*       0.6872
BFGSLineSearch:   13[ 24] 22:03:44   -39899.740819*       0.6317
BFGSLineSearch:   14[ 26] 22:43:59   -39899.789384*       0.5356
BFGSLineSearch:   15[ 27] 23:14:48   -39899.869911*       0.6386
BFGSLineSearch:   16[ 28] 23:33:19   -39899.947212*       1.0022
BFGSLineSearch:   17[ 29] 23:41:16   -39900.014328*       0.9914
BFGSLineSearch:   18[ 31] 00:50:30   -39900.056983*       0.5158
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 08:31:21   -39900.056997*       0.5189
BFGSLineSearch:    1[  2] 08:47:50   -39900.079182*       0.6436
BFGSLineSearch:    2[  3] 08:57:10   -39900.134361*       0.4870
BFGSLineSearch:    3[  4] 09:06:53   -39900.183819*       0.2865
BFGSLineSearch:    4[  6] 09:24:54   -39900.206088*       0.4872
BFGSLineSearch:    5[  7] 09:33:58   -39900.224945*       0.4585
BFGSLineSearch:    6[  9] 09:59:54   -39900.244447*       0.2734
BFGSLineSearch:    7[ 11] 10:20:55   -39900.255281*       0.2659
BFGSLineSearch:    8[ 13] 10:40:17   -39900.265959*       0.3542
BFGSLineSearch:    9[ 14] 10:49:16   -39900.278436*       0.2657
BFGSLineSearch:   10[ 15] 11:01:48   -39900.289555*       0.2607
BFGSLineSearch:   11[ 16] 11:08:17   -39900.297209*       0.3135
BFGSLineSearch:   12[ 18] 11:23:47   -39900.301235*       0.1709
BFGSLineSearch:   13[ 20] 11:40:43   -39900.304399*       0.1363
BFGSLineSearch:   14[ 22] 11:52:10   -39900.306348*       0.0951
BFGSLineSearch:   15[ 23] 11:57:27   -39900.307404*       0.2112
BFGSLineSearch:   16[ 24] 12:02:23   -39900.309043*       0.1333
BFGSLineSearch:   17[ 25] 12:06:37   -39900.310525*       0.1111
BFGSLineSearch:   18[ 26] 12:13:55   -39900.312377*       0.0984
BFGSLineSearch:   19[ 27] 12:20:04   -39900.315186*       0.1427
BFGSLineSearch:   20[ 28] 12:24:59   -39900.318837*       0.1107
BFGSLineSearch:   21[ 29] 12:31:53   -39900.325403*       0.1046
BFGSLineSearch:   22[ 30] 12:38:14   -39900.329071*       0.1496
BFGSLineSearch:   23[ 31] 12:43:32   -39900.336377*       0.0976
BFGSLineSearch:   24[ 32] 12:50:29   -39900.340928*       0.1139
BFGSLineSearch:   25[ 33] 12:56:18   -39900.344201*       0.2026
BFGSLineSearch:   26[ 34] 13:01:23   -39900.348295*       0.0882
BFGSLineSearch:   27[ 35] 13:08:04   -39900.352451*       0.1243
BFGSLineSearch:   28[ 36] 13:16:31   -39900.356704*       0.1228
BFGSLineSearch:   29[ 37] 13:23:01   -39900.360586*       0.1221
BFGSLineSearch:   30[ 38] 13:29:07   -39900.365084*       0.1597
BFGSLineSearch:   31[ 39] 13:34:14   -39900.371933*       0.1326
BFGSLineSearch:   32[ 40] 13:40:39   -39900.376537*       0.1010
BFGSLineSearch:   33[ 41] 13:47:32   -39900.383573*       0.1787
BFGSLineSearch:   34[ 43] 14:02:19   -39900.390680*       0.1331
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:26:40   -39900.390652*       0.1322
BFGSLineSearch:    1[  2] 14:39:00   -39900.394304*       0.2203
BFGSLineSearch:    2[  3] 14:46:52   -39900.400985*       0.2335
BFGSLineSearch:    3[  4] 14:54:23   -39900.411717*       0.2227
BFGSLineSearch:    4[  5] 15:03:07   -39900.420393*       0.1811
BFGSLineSearch:    5[  6] 15:10:25   -39900.427472*       0.3374
BFGSLineSearch:    6[  8] 15:25:24   -39900.434066*       0.2543
BFGSLineSearch:    7[  9] 15:35:07   -39900.441354*       0.1179
BFGSLineSearch:    8[ 10] 15:42:23   -39900.446010*       0.1200
BFGSLineSearch:    9[ 12] 15:53:52   -39900.448134*       0.1762
BFGSLineSearch:   10[ 13] 16:00:05   -39900.451667*       0.0911
BFGSLineSearch:   11[ 14] 16:04:58   -39900.454613*       0.0672
BFGSLineSearch:   12[ 15] 16:11:52   -39900.457379*       0.1092
BFGSLineSearch:   13[ 16] 16:17:35   -39900.459188*       0.1120
BFGSLineSearch:   14[ 17] 16:22:25   -39900.461562*       0.1343
BFGSLineSearch:   15[ 18] 16:27:24   -39900.463583*       0.0869
BFGSLineSearch:   16[ 19] 16:32:47   -39900.465237*       0.1573
BFGSLineSearch:   17[ 20] 16:39:12   -39900.467157*       0.1218
BFGSLineSearch:   18[ 21] 16:43:37   -39900.468955*       0.0587
BFGSLineSearch:   19[ 22] 16:48:19   -39900.471121*       0.0901
BFGSLineSearch:   20[ 24] 16:57:31   -39900.473968*       0.1386
BFGSLineSearch:   21[ 25] 17:02:15   -39900.475510*       0.1194
BFGSLineSearch:   22[ 26] 17:08:07   -39900.477060*       0.1109
BFGSLineSearch:   23[ 27] 17:12:40   -39900.477935*       0.0804
BFGSLineSearch:   24[ 28] 17:17:22   -39900.479506*       0.0736
BFGSLineSearch:   25[ 29] 17:23:40   -39900.481308*       0.0465
