                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 13:34:29   -39898.631685*       2.9209
BFGSLineSearch:    1[  2] 14:10:52   -39899.040804*       1.6628
BFGSLineSearch:    2[  4] 14:42:23   -39899.304283*       0.9295
BFGSLineSearch:    3[  6] 15:02:56   -39899.367018*       0.8221
BFGSLineSearch:    4[  8] 15:22:57   -39899.422312*       0.9750
BFGSLineSearch:    5[ 10] 15:49:18   -39899.483645*       0.8396
BFGSLineSearch:    6[ 12] 16:20:54   -39899.530415*       0.8977
BFGSLineSearch:    7[ 14] 16:50:03   -39899.584342*       0.6993
BFGSLineSearch:    8[ 16] 17:13:22   -39899.626457*       0.6226
BFGSLineSearch:    9[ 18] 17:32:24   -39899.662108*       0.4095
BFGSLineSearch:   10[ 20] 17:44:08   -39899.692698*       0.3624
BFGSLineSearch:   11[ 21] 17:51:09   -39899.714792*       0.4804
BFGSLineSearch:   12[ 23] 18:04:33   -39899.743330*       0.4078
BFGSLineSearch:   13[ 25] 18:22:00   -39899.764403*       0.2809
BFGSLineSearch:   14[ 27] 18:37:58   -39899.781395*       0.3937
BFGSLineSearch:   15[ 28] 18:44:09   -39899.802598*       0.2871
BFGSLineSearch:   16[ 29] 18:51:52   -39899.838184*       0.3226
BFGSLineSearch:   17[ 30] 19:03:59   -39899.869594*       0.4675
BFGSLineSearch:   18[ 32] 19:17:17   -39899.889823*       0.3340
BFGSLineSearch:   19[ 34] 19:32:06   -39899.905536*       0.1978
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 21:12:42   -39899.905536*       0.1999
BFGSLineSearch:    1[  2] 21:26:53   -39899.911072*       0.1559
BFGSLineSearch:    2[  3] 21:33:30   -39899.918489*       0.1342
BFGSLineSearch:    3[  5] 21:46:45   -39899.926532*       0.1262
BFGSLineSearch:    4[  6] 21:53:56   -39899.930394*       0.1253
BFGSLineSearch:    5[  7] 22:01:04   -39899.933693*       0.0882
BFGSLineSearch:    6[  8] 22:08:27   -39899.935120*       0.0800
BFGSLineSearch:    7[  9] 22:14:03   -39899.936849*       0.0729
BFGSLineSearch:    8[ 10] 22:21:17   -39899.939257*       0.0971
BFGSLineSearch:    9[ 11] 22:28:26   -39899.940957*       0.1252
BFGSLineSearch:   10[ 12] 22:36:22   -39899.942199*       0.0679
BFGSLineSearch:   11[ 13] 22:42:45   -39899.943571*       0.0507
BFGSLineSearch:   12[ 14] 22:48:07   -39899.944710*       0.1240
BFGSLineSearch:   13[ 15] 22:52:23   -39899.946117*       0.0655
BFGSLineSearch:   14[ 16] 23:00:50   -39899.948268*       0.1121
BFGSLineSearch:   15[ 17] 23:07:27   -39899.950702*       0.0894
BFGSLineSearch:   16[ 18] 23:14:38   -39899.952666*       0.1339
BFGSLineSearch:   17[ 19] 23:21:45   -39899.954379*       0.1158
BFGSLineSearch:   18[ 20] 23:28:32   -39899.956099*       0.0898
BFGSLineSearch:   19[ 21] 23:33:22   -39899.957866*       0.0996
BFGSLineSearch:   20[ 23] 23:44:32   -39899.958872*       0.1103
BFGSLineSearch:   21[ 25] 23:57:40   -39899.959906*       0.0829
BFGSLineSearch:   22[ 26] 00:03:50   -39899.961114*       0.1463
BFGSLineSearch:   23[ 27] 00:09:30   -39899.962410*       0.0669
BFGSLineSearch:   24[ 28] 00:14:25   -39899.963402*       0.0611
BFGSLineSearch:   25[ 29] 00:21:08   -39899.964289*       0.1283
BFGSLineSearch:   26[ 30] 00:25:26   -39899.965546*       0.0753
BFGSLineSearch:   27[ 31] 00:31:19   -39899.966770*       0.0897
BFGSLineSearch:   28[ 32] 00:38:21   -39899.967941*       0.1106
BFGSLineSearch:   29[ 33] 00:43:27   -39899.968977*       0.0781
BFGSLineSearch:   30[ 34] 00:49:22   -39899.969581*       0.0550
BFGSLineSearch:   31[ 35] 00:53:20   -39899.970362*       0.0614
BFGSLineSearch:   32[ 36] 00:58:16   -39899.971134*       0.0731
BFGSLineSearch:   33[ 37] 01:03:37   -39899.972043*       0.0630
BFGSLineSearch:   34[ 38] 01:08:21   -39899.972967*       0.0425
