                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 13:36:07   -39898.404060*       3.2903
BFGSLineSearch:    1[  2] 14:09:18   -39898.867856*       1.5368
BFGSLineSearch:    2[  4] 14:34:32   -39899.141310*       1.0778
BFGSLineSearch:    3[  6] 15:00:35   -39899.224893*       1.1454
BFGSLineSearch:    4[  8] 15:19:56   -39899.299677*       1.1350
BFGSLineSearch:    5[ 10] 15:46:50   -39899.397025*       1.2926
BFGSLineSearch:    6[ 12] 16:18:19   -39899.453480*       1.4017
BFGSLineSearch:    7[ 14] 16:47:20   -39899.523913*       1.3080
BFGSLineSearch:    8[ 16] 17:14:41   -39899.583609*       0.4062
BFGSLineSearch:    9[ 18] 17:34:32   -39899.623755*       0.3701
BFGSLineSearch:   10[ 20] 17:46:35   -39899.661811*       0.5009
BFGSLineSearch:   11[ 22] 18:02:11   -39899.694616*       0.6092
BFGSLineSearch:   12[ 24] 18:18:32   -39899.720665*       0.3421
BFGSLineSearch:   13[ 26] 18:35:29   -39899.745294*       0.2637
BFGSLineSearch:   14[ 27] 18:43:21   -39899.766321*       0.3827
BFGSLineSearch:   15[ 28] 18:50:18   -39899.792920*       0.3781
BFGSLineSearch:   16[ 29] 18:57:54   -39899.819493*       0.4114
BFGSLineSearch:   17[ 31] 19:11:56   -39899.846526*       0.2686
BFGSLineSearch:   18[ 33] 19:29:23   -39899.864449*       0.1982
BFGSLineSearch:   19[ 34] 19:35:07   -39899.877601*       0.2663
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 21:11:47   -39899.877601*       0.2655
BFGSLineSearch:    1[  2] 21:25:45   -39899.885329*       0.1446
BFGSLineSearch:    2[  3] 21:30:47   -39899.893144*       0.1114
BFGSLineSearch:    3[  4] 21:39:23   -39899.907517*       0.1971
BFGSLineSearch:    4[  5] 21:45:41   -39899.913743*       0.1491
BFGSLineSearch:    5[  6] 21:50:43   -39899.917925*       0.0896
BFGSLineSearch:    6[  7] 21:57:06   -39899.920730*       0.1279
BFGSLineSearch:    7[  8] 22:02:52   -39899.923740*       0.0858
BFGSLineSearch:    8[  9] 22:08:09   -39899.926048*       0.1585
BFGSLineSearch:    9[ 10] 22:13:41   -39899.928464*       0.1296
BFGSLineSearch:   10[ 11] 22:20:12   -39899.930271*       0.0716
BFGSLineSearch:   11[ 12] 22:26:07   -39899.932127*       0.0752
BFGSLineSearch:   12[ 13] 22:34:24   -39899.933893*       0.0790
BFGSLineSearch:   13[ 14] 22:40:20   -39899.935931*       0.1033
BFGSLineSearch:   14[ 15] 22:44:43   -39899.938301*       0.0938
BFGSLineSearch:   15[ 16] 22:50:56   -39899.941362*       0.0721
BFGSLineSearch:   16[ 18] 23:03:50   -39899.942719*       0.0996
BFGSLineSearch:   17[ 19] 23:08:56   -39899.943733*       0.0754
BFGSLineSearch:   18[ 20] 23:13:55   -39899.945633*       0.1061
BFGSLineSearch:   19[ 21] 23:20:17   -39899.948217*       0.1315
BFGSLineSearch:   20[ 22] 23:28:38   -39899.950429*       0.1208
BFGSLineSearch:   21[ 23] 23:35:15   -39899.952226*       0.1157
BFGSLineSearch:   22[ 24] 23:44:16   -39899.954451*       0.1167
BFGSLineSearch:   23[ 25] 23:51:11   -39899.956592*       0.0477
