                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 13:44:35   -39899.429234*       2.5174
BFGSLineSearch:    1[  2] 14:11:45   -39899.893910*       1.7348
BFGSLineSearch:    2[  4] 14:42:16   -39900.168822*       0.8787
BFGSLineSearch:    3[  6] 15:03:20   -39900.240111*       1.1243
BFGSLineSearch:    4[  8] 15:18:46   -39900.328987*       0.9290
BFGSLineSearch:    5[ 10] 15:38:34   -39900.398902*       0.7568
BFGSLineSearch:    6[ 12] 16:06:14   -39900.428727*       0.5913
BFGSLineSearch:    7[ 14] 16:27:46   -39900.463061*       0.4891
BFGSLineSearch:    8[ 16] 16:49:52   -39900.499043*       0.3539
BFGSLineSearch:    9[ 18] 17:04:56   -39900.517763*       0.6390
BFGSLineSearch:   10[ 20] 17:24:43   -39900.532819*       0.2936
BFGSLineSearch:   11[ 22] 17:41:46   -39900.545672*       0.2271
BFGSLineSearch:   12[ 24] 17:52:37   -39900.557069*       0.2269
BFGSLineSearch:   13[ 26] 18:06:06   -39900.565264*       0.2335
BFGSLineSearch:   14[ 28] 18:18:18   -39900.573219*       0.1313
BFGSLineSearch:   15[ 30] 18:29:13   -39900.578361*       0.1283
BFGSLineSearch:   16[ 31] 18:37:41   -39900.583327*       0.1557
BFGSLineSearch:   17[ 33] 18:48:34   -39900.586803*       0.1258
BFGSLineSearch:   18[ 34] 18:55:35   -39900.593967*       0.1154
BFGSLineSearch:   19[ 35] 19:04:11   -39900.601784*       0.1136
BFGSLineSearch:   20[ 36] 19:11:31   -39900.611173*       0.1286
BFGSLineSearch:   21[ 37] 19:17:39   -39900.617813*       0.1528
BFGSLineSearch:   22[ 38] 19:22:52   -39900.625524*       0.1414
BFGSLineSearch:   23[ 39] 19:30:52   -39900.632367*       0.1756
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 21:16:09   -39900.632363*       0.1727
BFGSLineSearch:    1[  2] 21:31:49   -39900.636577*       0.0906
BFGSLineSearch:    2[  4] 21:42:23   -39900.643282*       0.1981
BFGSLineSearch:    3[  5] 21:52:02   -39900.653276*       0.1808
BFGSLineSearch:    4[  6] 21:57:51   -39900.659093*       0.1411
BFGSLineSearch:    5[  7] 22:05:05   -39900.663422*       0.1200
BFGSLineSearch:    6[  8] 22:11:04   -39900.666360*       0.1048
BFGSLineSearch:    7[ 10] 22:23:19   -39900.668368*       0.1367
BFGSLineSearch:    8[ 12] 22:36:11   -39900.669828*       0.0564
BFGSLineSearch:    9[ 13] 22:42:53   -39900.671034*       0.0626
BFGSLineSearch:   10[ 14] 22:48:37   -39900.672480*       0.0442
