                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 13:35:50   -39898.917686*       4.7105
BFGSLineSearch:    1[  2] 14:03:42   -39899.522683*       2.3539
BFGSLineSearch:    2[  4] 14:30:00   -39899.832242*       1.5602
BFGSLineSearch:    3[  6] 14:50:10   -39899.898033*       0.8593
BFGSLineSearch:    4[  8] 15:10:04   -39899.980332*       0.7066
BFGSLineSearch:    5[ 10] 15:24:53   -39900.025390*       0.7192
BFGSLineSearch:    6[ 12] 15:50:14   -39900.070746*       0.7058
BFGSLineSearch:    7[ 14] 16:10:54   -39900.105632*       0.5016
BFGSLineSearch:    8[ 16] 16:31:44   -39900.142457*       0.3897
BFGSLineSearch:    9[ 18] 16:51:28   -39900.176445*       0.3318
BFGSLineSearch:   10[ 20] 17:09:43   -39900.190745*       0.2910
BFGSLineSearch:   11[ 22] 17:28:19   -39900.204449*       0.2555
BFGSLineSearch:   12[ 24] 17:40:26   -39900.216170*       0.2593
BFGSLineSearch:   13[ 25] 17:48:44   -39900.229123*       0.7762
BFGSLineSearch:   14[ 27] 17:58:28   -39900.240081*       0.2705
BFGSLineSearch:   15[ 29] 18:11:12   -39900.253317*       0.2202
BFGSLineSearch:   16[ 30] 18:19:55   -39900.264113*       0.2966
BFGSLineSearch:   17[ 31] 18:25:55   -39900.278685*       0.3196
BFGSLineSearch:   18[ 33] 18:40:28   -39900.292536*       0.1860
BFGSLineSearch:   19[ 34] 18:49:00   -39900.307940*       0.2781
BFGSLineSearch:   20[ 35] 18:53:20   -39900.318633*       0.1841
BFGSLineSearch:   21[ 36] 19:01:44   -39900.325513*       0.2271
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 21:18:53   -39900.325524*       0.2256
BFGSLineSearch:    1[  2] 21:39:04   -39900.330208*       0.1142
BFGSLineSearch:    2[  3] 21:48:46   -39900.332672*       0.1432
BFGSLineSearch:    3[  4] 21:57:25   -39900.336491*       0.1256
BFGSLineSearch:    4[  6] 22:13:55   -39900.338517*       0.0656
BFGSLineSearch:    5[  7] 22:23:05   -39900.340199*       0.0959
BFGSLineSearch:    6[  8] 22:34:02   -39900.343615*       0.1027
BFGSLineSearch:    7[  9] 22:46:26   -39900.349135*       0.1094
BFGSLineSearch:    8[ 10] 22:53:18   -39900.353586*       0.1153
BFGSLineSearch:    9[ 11] 23:00:13   -39900.357566*       0.0583
BFGSLineSearch:   10[ 12] 23:08:42   -39900.360395*       0.0869
BFGSLineSearch:   11[ 13] 23:16:10   -39900.362359*       0.0797
BFGSLineSearch:   12[ 14] 23:23:15   -39900.364709*       0.0555
BFGSLineSearch:   13[ 15] 23:31:21   -39900.366563*       0.1007
BFGSLineSearch:   14[ 16] 23:39:38   -39900.367912*       0.0916
BFGSLineSearch:   15[ 17] 23:47:25   -39900.369485*       0.0529
BFGSLineSearch:   16[ 18] 23:54:23   -39900.370957*       0.0632
BFGSLineSearch:   17[ 22] 00:21:01   -39900.371385*       0.0379
