                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 12:34:42   -39981.604062*       6.2993
BFGSLineSearch:    1[  1] 12:47:46   -39982.631532*       6.5764
BFGSLineSearch:    2[  2] 12:59:54   -39983.415678*       6.3151
BFGSLineSearch:    3[  4] 13:33:38   -39983.875867*       3.8467
BFGSLineSearch:    4[  6] 14:12:42   -39984.089553*       3.1042
BFGSLineSearch:    5[  8] 14:46:33   -39984.366968*       1.7466
BFGSLineSearch:    6[ 10] 15:14:14   -39984.578826*       1.3009
BFGSLineSearch:    7[ 11] 15:36:52   -39984.810529*       3.1056
BFGSLineSearch:    8[ 12] 15:54:21   -39985.207994*       4.6668
BFGSLineSearch:    9[ 15] 16:39:07   -39985.899009*       4.3449
BFGSLineSearch:   10[ 17] 17:08:04   -39986.256491*       4.2501
BFGSLineSearch:   11[ 18] 17:22:40   -39987.061604*       4.0577
BFGSLineSearch:   12[ 20] 17:54:06   -39987.466054*       1.8847
BFGSLineSearch:   13[ 22] 18:22:48   -39987.594874*       1.3811
BFGSLineSearch:   14[ 24] 18:51:13   -39987.649359*       0.7305
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:32:19   -39987.649359*       0.7297
BFGSLineSearch:    1[  2] 10:02:33   -39987.670952*       0.5203
BFGSLineSearch:    2[  3] 10:16:53   -39987.710935*       0.3738
BFGSLineSearch:    3[  5] 10:51:35   -39987.735026*       0.5077
BFGSLineSearch:    4[  6] 11:06:19   -39987.749919*       0.6655
BFGSLineSearch:    5[  7] 11:23:45   -39987.768238*       0.2968
BFGSLineSearch:    6[  9] 11:47:57   -39987.778653*       0.2033
BFGSLineSearch:    7[ 10] 12:04:26   -39987.791171*       0.3828
BFGSLineSearch:    8[ 12] 12:34:33   -39987.801293*       0.3994
BFGSLineSearch:    9[ 13] 12:47:31   -39987.815056*       0.3510
BFGSLineSearch:   10[ 14] 13:01:14   -39987.823285*       0.3440
BFGSLineSearch:   11[ 16] 13:27:06   -39987.830104*       0.2070
BFGSLineSearch:   12[ 18] 13:46:14   -39987.833977*       0.1797
BFGSLineSearch:   13[ 20] 14:10:21   -39987.836757*       0.1839
BFGSLineSearch:   14[ 21] 14:23:06   -39987.839166*       0.1550
BFGSLineSearch:   15[ 22] 14:35:53   -39987.843075*       0.2018
BFGSLineSearch:   16[ 23] 14:46:30   -39987.846334*       0.1099
BFGSLineSearch:   17[ 24] 14:59:00   -39987.851202*       0.1315
BFGSLineSearch:   18[ 25] 15:14:08   -39987.857220*       0.1498
BFGSLineSearch:   19[ 26] 15:28:17   -39987.862033*       0.2086
BFGSLineSearch:   20[ 27] 15:41:23   -39987.865722*       0.1502
BFGSLineSearch:   21[ 28] 15:53:51   -39987.867958*       0.2045
BFGSLineSearch:   22[ 29] 16:07:16   -39987.870089*       0.1219
BFGSLineSearch:   23[ 30] 16:19:33   -39987.871494*       0.1303
BFGSLineSearch:   24[ 31] 16:32:24   -39987.873025*       0.0472
