                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 16:22:08   -44766.692738*      14.0612
BFGSLineSearch:    1[  1] 16:27:54   -44768.225380*       6.6296
BFGSLineSearch:    2[  3] 16:43:29   -44770.023230*       5.7519
BFGSLineSearch:    3[  5] 17:02:49   -44770.540143*       5.1783
BFGSLineSearch:    4[  7] 17:21:31   -44770.985933*       2.4557
BFGSLineSearch:    5[  9] 17:33:06   -44771.166387*       0.6988
BFGSLineSearch:    6[ 11] 17:45:20   -44771.227259*       0.4093
BFGSLineSearch:    7[ 12] 17:50:13   -44771.260634*       0.5232
BFGSLineSearch:    8[ 14] 17:59:57   -44771.288713*       0.6476
BFGSLineSearch:    9[ 17] 18:17:16   -44771.451827*       1.0155
BFGSLineSearch:   10[ 19] 18:28:43   -44771.495872*       1.0064
BFGSLineSearch:   11[ 20] 18:34:17   -44771.642418*       0.8064
BFGSLineSearch:   12[ 22] 18:45:32   -44771.770504*       1.0854
BFGSLineSearch:   13[ 24] 18:56:16   -44771.873536*       0.6376
BFGSLineSearch:   14[ 26] 19:06:23   -44771.911395*       0.3446
BFGSLineSearch:   15[ 28] 19:15:34   -44771.929116*       0.2905
BFGSLineSearch:   16[ 29] 19:21:06   -44771.942684*       0.2855
BFGSLineSearch:   17[ 30] 19:25:09   -44771.952465*       0.3219
BFGSLineSearch:   18[ 32] 19:32:33   -44771.959526*       0.1134
BFGSLineSearch:   19[ 34] 19:40:08   -44771.962528*       0.1391
BFGSLineSearch:   20[ 35] 19:43:53   -44771.965402*       0.1499
BFGSLineSearch:   21[ 36] 19:48:50   -44771.969467*       0.1333
BFGSLineSearch:   22[ 38] 19:57:14   -44771.972991*       0.1223
BFGSLineSearch:   23[ 39] 20:01:03   -44771.976081*       0.1155
BFGSLineSearch:   24[ 40] 20:07:18   -44771.977764*       0.1272
BFGSLineSearch:   25[ 41] 20:10:51   -44771.980097*       0.0751
BFGSLineSearch:   26[ 42] 20:15:56   -44771.981855*       0.0861
BFGSLineSearch:   27[ 44] 20:22:47   -44771.983186*       0.0706
BFGSLineSearch:   28[ 45] 20:26:17   -44771.984890*       0.1142
BFGSLineSearch:   29[ 46] 20:29:29   -44771.985954*       0.1144
BFGSLineSearch:   30[ 47] 20:34:25   -44771.986747*       0.0890
BFGSLineSearch:   31[ 48] 20:37:45   -44771.987465*       0.0541
BFGSLineSearch:   32[ 49] 20:41:18   -44771.988020*       0.0779
BFGSLineSearch:   33[ 50] 20:45:29   -44771.988304*       0.0700
BFGSLineSearch:   34[ 51] 20:48:54   -44771.988747*       0.0411
