                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 16:24:03   -44767.954011*       3.5595
BFGSLineSearch:    1[  2] 16:48:11   -44769.286952*       5.9477
BFGSLineSearch:    2[  4] 17:09:30   -44770.739096*       2.7749
BFGSLineSearch:    3[  6] 17:36:55   -44771.146639*       5.1995
BFGSLineSearch:    4[  8] 18:03:10   -44771.398791*       1.1479
BFGSLineSearch:    5[ 10] 18:17:08   -44771.519906*       0.8069
BFGSLineSearch:    6[ 12] 18:27:29   -44771.543276*       0.6728
BFGSLineSearch:    7[ 13] 18:32:13   -44771.571323*       0.6495
BFGSLineSearch:    8[ 14] 18:37:42   -44771.602594*       0.9795
BFGSLineSearch:    9[ 16] 18:51:44   -44771.663826*       0.6568
BFGSLineSearch:   10[ 19] 19:16:58   -44771.781700*       0.9520
BFGSLineSearch:   11[ 20] 19:23:24   -44771.882577*       0.8029
BFGSLineSearch:   12[ 22] 19:36:48   -44771.940266*       0.7523
BFGSLineSearch:   13[ 23] 19:42:49   -44771.995735*       0.5104
BFGSLineSearch:   14[ 24] 19:48:42   -44772.012316*       0.4963
BFGSLineSearch:   15[ 25] 19:54:35   -44772.038949*       0.3163
BFGSLineSearch:   16[ 27] 20:04:53   -44772.058098*       0.4503
BFGSLineSearch:   17[ 28] 20:10:13   -44772.069275*       0.2333
BFGSLineSearch:   18[ 30] 20:20:26   -44772.076981*       0.3077
BFGSLineSearch:   19[ 32] 20:30:16   -44772.082747*       0.1068
BFGSLineSearch:   20[ 33] 20:35:11   -44772.086971*       0.2090
BFGSLineSearch:   21[ 34] 20:40:01   -44772.091543*       0.0930
BFGSLineSearch:   22[ 35] 20:44:18   -44772.094579*       0.1226
BFGSLineSearch:   23[ 37] 20:53:01   -44772.096740*       0.1183
BFGSLineSearch:   24[ 38] 20:57:53   -44772.098843*       0.0954
BFGSLineSearch:   25[ 39] 21:02:11   -44772.100381*       0.0906
BFGSLineSearch:   26[ 40] 21:06:47   -44772.101221*       0.1331
BFGSLineSearch:   27[ 41] 21:10:21   -44772.102422*       0.1545
BFGSLineSearch:   28[ 42] 21:15:17   -44772.102990*       0.0601
BFGSLineSearch:   29[ 43] 21:19:17   -44772.103700*       0.0511
BFGSLineSearch:   30[ 45] 21:27:54   -44772.104434*       0.2051
BFGSLineSearch:   31[ 46] 21:32:17   -44772.105365*       0.0638
BFGSLineSearch:   32[ 47] 21:36:48   -44772.107641*       0.2973
BFGSLineSearch:   33[ 50] 21:54:09   -44772.112948*       0.5897
BFGSLineSearch:   34[ 51] 22:00:11   -44772.119964*       0.9068
BFGSLineSearch:   35[ 53] 22:10:44   -44772.123842*       0.2485
BFGSLineSearch:   36[ 55] 22:22:09   -44772.136339*       0.2682
BFGSLineSearch:   37[ 56] 22:27:53   -44772.149520*       1.2844
BFGSLineSearch:   38[ 57] 22:34:37   -44772.159138*       0.4065
BFGSLineSearch:   39[ 58] 22:39:23   -44772.168593*       0.2002
BFGSLineSearch:   40[ 60] 22:50:14   -44772.172030*       0.5730
BFGSLineSearch:   41[ 61] 22:55:12   -44772.175648*       0.1581
BFGSLineSearch:   42[ 62] 22:59:42   -44772.179094*       0.1130
BFGSLineSearch:   43[ 63] 23:04:41   -44772.181757*       0.2733
BFGSLineSearch:   44[ 64] 23:09:15   -44772.184922*       0.1009
BFGSLineSearch:   45[ 65] 23:15:37   -44772.188868*       0.0862
BFGSLineSearch:   46[ 66] 23:20:23   -44772.193162*       0.1364
BFGSLineSearch:   47[ 68] 23:31:16   -44772.198969*       0.5366
BFGSLineSearch:   48[ 69] 23:35:32   -44772.205951*       0.1149
BFGSLineSearch:   49[ 70] 23:40:40   -44772.214411*       0.3852
BFGSLineSearch:   50[ 71] 23:47:29   -44772.220436*       0.5377
BFGSLineSearch:   51[ 73] 23:59:28   -44772.224823*       0.1239
BFGSLineSearch:   52[ 75] 00:09:32   -44772.229438*       0.2641
BFGSLineSearch:   53[ 76] 00:16:37   -44772.234074*       0.2555
BFGSLineSearch:   54[ 77] 00:21:30   -44772.238986*       0.4109
BFGSLineSearch:   55[ 78] 00:26:17   -44772.243707*       0.4366
BFGSLineSearch:   56[ 79] 00:30:43   -44772.247320*       0.2305
BFGSLineSearch:   57[ 80] 00:36:06   -44772.253000*       0.2352
BFGSLineSearch:   58[ 82] 00:45:38   -44772.256565*       0.2112
BFGSLineSearch:   59[ 85] 01:00:34   -44772.262649*       0.1201
BFGSLineSearch:   60[ 86] 01:05:44   -44772.265520*       0.2845
BFGSLineSearch:   61[ 87] 01:10:08   -44772.269606*       0.2048
BFGSLineSearch:   62[ 88] 01:16:11   -44772.272673*       0.3889
BFGSLineSearch:   63[ 90] 01:24:29   -44772.275777*       0.1704
BFGSLineSearch:   64[ 91] 01:28:52   -44772.280184*       0.1488
BFGSLineSearch:   65[ 92] 01:33:17   -44772.284197*       0.2068
BFGSLineSearch:   66[ 93] 01:37:54   -44772.288083*       0.2606
BFGSLineSearch:   67[ 94] 01:43:15   -44772.292338*       0.3107
BFGSLineSearch:   68[ 95] 01:48:23   -44772.297914*       0.1770
BFGSLineSearch:   69[ 97] 01:59:57   -44772.300836*       0.2319
BFGSLineSearch:   70[ 98] 02:04:36   -44772.303318*       0.3692
BFGSLineSearch:   71[ 99] 02:09:03   -44772.306111*       0.1093
BFGSLineSearch:   72[100] 02:15:09   -44772.308365*       0.2215
BFGSLineSearch:   73[101] 02:19:14   -44772.311072*       0.1414
BFGSLineSearch:   74[102] 02:25:30   -44772.313281*       0.2425
BFGSLineSearch:   75[103] 02:30:03   -44772.315245*       0.1870
BFGSLineSearch:   76[104] 02:34:09   -44772.319125*       0.2881
BFGSLineSearch:   77[105] 02:39:33   -44772.322890*       0.1810
BFGSLineSearch:   78[106] 02:44:19   -44772.325750*       0.1044
BFGSLineSearch:   79[107] 02:49:15   -44772.326618*       0.1696
BFGSLineSearch:   80[108] 02:52:58   -44772.327527*       0.0921
BFGSLineSearch:   81[110] 03:01:43   -44772.327762*       0.0729
BFGSLineSearch:   82[111] 03:05:18   -44772.327985*       0.0264
