                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 16:25:00   -44800.887856*       4.6247
BFGSLineSearch:    1[  2] 16:36:46   -44802.786105*       4.5885
BFGSLineSearch:    2[  4] 16:51:00   -44803.535294*       3.2222
BFGSLineSearch:    3[  5] 16:58:04   -44804.516181*       3.7853
BFGSLineSearch:    4[  7] 17:12:52   -44804.871968*       2.3593
BFGSLineSearch:    5[  9] 17:25:48   -44805.222519*       1.0199
BFGSLineSearch:    6[ 11] 17:38:33   -44805.303332*       0.9466
BFGSLineSearch:    7[ 13] 17:50:27   -44805.361563*       0.8998
BFGSLineSearch:    8[ 15] 18:02:54   -44805.576895*       1.1405
BFGSLineSearch:    9[ 17] 18:16:09   -44805.681667*       1.3970
BFGSLineSearch:   10[ 19] 18:28:31   -44805.878237*       1.5555
BFGSLineSearch:   11[ 21] 18:41:51   -44806.006706*       1.6329
BFGSLineSearch:   12[ 23] 18:54:42   -44806.139299*       0.9881
BFGSLineSearch:   13[ 25] 19:06:43   -44806.269219*       0.6406
BFGSLineSearch:   14[ 27] 19:17:07   -44806.326438*       0.3704
BFGSLineSearch:   15[ 29] 19:29:33   -44806.354132*       0.2645
BFGSLineSearch:   16[ 31] 19:40:01   -44806.371392*       0.2048
BFGSLineSearch:   17[ 33] 19:50:25   -44806.381517*       0.1873
BFGSLineSearch:   18[ 35] 20:00:55   -44806.389198*       0.1612
BFGSLineSearch:   19[ 37] 20:11:11   -44806.393675*       0.1153
BFGSLineSearch:   20[ 39] 20:20:31   -44806.396367*       0.1093
BFGSLineSearch:   21[ 41] 20:31:08   -44806.398142*       0.0626
BFGSLineSearch:   22[ 42] 20:34:52   -44806.399219*       0.1150
BFGSLineSearch:   23[ 43] 20:38:40   -44806.400339*       0.0843
BFGSLineSearch:   24[ 45] 20:45:38   -44806.401289*       0.0622
BFGSLineSearch:   25[ 47] 20:52:48   -44806.401822*       0.0385
