                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 16:24:06   -44834.851377*       3.4968
BFGSLineSearch:    1[  2] 16:38:43   -44835.967236*       4.6949
BFGSLineSearch:    2[  4] 16:54:30   -44837.070749*       1.8329
BFGSLineSearch:    3[  6] 17:12:50   -44837.755843*       2.0917
BFGSLineSearch:    4[  8] 17:25:36   -44837.934017*       1.5842
BFGSLineSearch:    5[ 10] 17:38:44   -44838.166642*       0.9006
BFGSLineSearch:    6[ 12] 17:49:08   -44838.273287*       1.1153
BFGSLineSearch:    7[ 14] 18:00:28   -44838.344261*       0.7892
BFGSLineSearch:    8[ 16] 18:09:58   -44838.419993*       1.1986
BFGSLineSearch:    9[ 18] 18:22:22   -44838.489525*       0.7877
BFGSLineSearch:   10[ 20] 18:34:43   -44838.578921*       0.7893
BFGSLineSearch:   11[ 22] 18:48:34   -44838.707681*       1.5864
BFGSLineSearch:   12[ 24] 19:02:09   -44838.800339*       1.0503
BFGSLineSearch:   13[ 26] 19:12:42   -44838.965746*       0.8880
BFGSLineSearch:   14[ 28] 19:25:32   -44839.060255*       0.9893
BFGSLineSearch:   15[ 30] 19:37:06   -44839.123850*       1.0009
BFGSLineSearch:   16[ 32] 19:48:26   -44839.168145*       0.5772
BFGSLineSearch:   17[ 33] 19:54:11   -44839.201236*       0.4998
BFGSLineSearch:   18[ 35] 20:03:30   -44839.238287*       0.3212
BFGSLineSearch:   19[ 37] 20:13:19   -44839.263777*       0.1895
BFGSLineSearch:   20[ 39] 20:21:32   -44839.281262*       0.2457
BFGSLineSearch:   21[ 40] 20:27:07   -44839.293272*       0.4200
BFGSLineSearch:   22[ 41] 20:31:13   -44839.305099*       0.3134
BFGSLineSearch:   23[ 43] 20:38:53   -44839.313701*       0.1266
BFGSLineSearch:   24[ 45] 20:46:07   -44839.318595*       0.1468
BFGSLineSearch:   25[ 47] 20:53:27   -44839.322202*       0.1235
BFGSLineSearch:   26[ 49] 21:02:39   -44839.324698*       0.1002
BFGSLineSearch:   27[ 50] 21:06:20   -44839.326048*       0.1189
BFGSLineSearch:   28[ 52] 21:14:50   -44839.327493*       0.0983
BFGSLineSearch:   29[ 53] 21:18:44   -44839.328953*       0.0931
BFGSLineSearch:   30[ 54] 21:22:44   -44839.330605*       0.0555
BFGSLineSearch:   31[ 55] 21:26:55   -44839.332348*       0.0675
BFGSLineSearch:   32[ 56] 21:31:19   -44839.334246*       0.0983
BFGSLineSearch:   33[ 57] 21:36:17   -44839.336260*       0.0950
BFGSLineSearch:   34[ 58] 21:40:51   -44839.340040*       0.1437
BFGSLineSearch:   35[ 59] 21:45:35   -44839.349829*       0.4260
BFGSLineSearch:   36[ 61] 21:57:46   -44839.357508*       0.8343
BFGSLineSearch:   37[ 63] 22:08:25   -44839.368554*       1.2311
BFGSLineSearch:   38[ 64] 22:12:37   -44839.404465*       1.2936
BFGSLineSearch:   39[ 65] 22:17:39   -44839.465859*       2.0234
BFGSLineSearch:   40[ 67] 22:29:06   -44839.574151*       0.9071
BFGSLineSearch:   41[ 69] 22:38:42   -44839.643095*       1.1556
BFGSLineSearch:   42[ 70] 22:44:44   -44839.754311*       1.4097
BFGSLineSearch:   43[ 71] 22:49:26   -44839.856819*       1.3322
BFGSLineSearch:   44[ 73] 22:58:57   -44839.926148*       0.8136
BFGSLineSearch:   45[ 75] 23:09:33   -44840.002806*       1.1525
BFGSLineSearch:   46[ 76] 23:15:05   -44840.122364*       1.1116
BFGSLineSearch:   47[ 78] 23:26:32   -44840.216816*       1.3112
BFGSLineSearch:   48[ 80] 23:36:58   -44840.279690*       1.1727
BFGSLineSearch:   49[ 82] 23:48:26   -44840.369461*       0.6736
BFGSLineSearch:   50[ 84] 23:57:49   -44840.406003*       0.6550
BFGSLineSearch:   51[ 86] 00:06:31   -44840.442684*       0.5125
BFGSLineSearch:   52[ 88] 00:15:46   -44840.473077*       0.3743
BFGSLineSearch:   53[ 90] 00:24:32   -44840.497388*       0.4252
BFGSLineSearch:   54[ 91] 00:29:16   -44840.519594*       0.2568
BFGSLineSearch:   55[ 92] 00:34:04   -44840.533573*       0.2281
BFGSLineSearch:   56[ 94] 00:42:23   -44840.541851*       0.3451
BFGSLineSearch:   57[ 95] 00:46:29   -44840.553022*       0.2609
BFGSLineSearch:   58[ 96] 00:51:46   -44840.565615*       0.2384
BFGSLineSearch:   59[ 97] 00:56:35   -44840.575469*       0.1231
BFGSLineSearch:   60[ 98] 01:00:49   -44840.582910*       0.1417
BFGSLineSearch:   61[ 99] 01:04:58   -44840.587118*       0.0810
BFGSLineSearch:   62[100] 01:08:38   -44840.589439*       0.0463
