                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 16:25:34   -44836.239162*       3.6255
BFGSLineSearch:    1[  2] 16:43:58   -44837.778619*       4.1085
BFGSLineSearch:    2[  4] 17:01:15   -44838.710380*       1.6648
BFGSLineSearch:    3[  6] 17:22:50   -44839.114594*       1.0475
BFGSLineSearch:    4[  8] 17:36:17   -44839.315376*       1.7559
BFGSLineSearch:    5[ 10] 17:50:03   -44839.443838*       1.2149
BFGSLineSearch:    6[ 12] 18:03:20   -44839.595280*       0.8677
BFGSLineSearch:    7[ 14] 18:16:59   -44839.757335*       1.3739
BFGSLineSearch:    8[ 16] 18:30:51   -44839.901426*       0.8750
BFGSLineSearch:    9[ 17] 18:37:56   -44840.166581*       1.5587
BFGSLineSearch:   10[ 19] 18:50:42   -44840.407098*       1.0751
BFGSLineSearch:   11[ 21] 19:02:49   -44840.545942*       1.0677
BFGSLineSearch:   12[ 23] 19:15:59   -44840.644548*       0.7186
BFGSLineSearch:   13[ 25] 19:28:42   -44840.699073*       0.6889
BFGSLineSearch:   14[ 27] 19:40:04   -44840.719731*       0.5427
BFGSLineSearch:   15[ 29] 19:51:55   -44840.728578*       0.2992
BFGSLineSearch:   16[ 31] 20:04:04   -44840.734971*       0.2467
BFGSLineSearch:   17[ 33] 20:13:48   -44840.743281*       0.2355
BFGSLineSearch:   18[ 35] 20:23:02   -44840.749046*       0.1403
BFGSLineSearch:   19[ 37] 20:32:24   -44840.753894*       0.1155
BFGSLineSearch:   20[ 39] 20:45:09   -44840.757219*       0.1108
BFGSLineSearch:   21[ 41] 20:55:48   -44840.760070*       0.0797
BFGSLineSearch:   22[ 42] 21:02:34   -44840.761987*       0.1158
BFGSLineSearch:   23[ 43] 21:08:23   -44840.764135*       0.1524
BFGSLineSearch:   24[ 44] 21:12:39   -44840.765850*       0.1060
BFGSLineSearch:   25[ 45] 21:18:46   -44840.767354*       0.1137
BFGSLineSearch:   26[ 46] 21:23:31   -44840.768484*       0.0700
BFGSLineSearch:   27[ 48] 21:31:10   -44840.769348*       0.0630
BFGSLineSearch:   28[ 49] 21:36:22   -44840.770092*       0.0696
BFGSLineSearch:   29[ 51] 21:44:53   -44840.770734*       0.0378
