                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 16:24:08   -44837.058394*       4.2111
BFGSLineSearch:    1[  1] 16:32:51   -44839.951528*       3.0328
BFGSLineSearch:    2[  3] 16:48:13   -44840.733218*       2.1714
BFGSLineSearch:    3[  5] 17:05:05   -44841.062133*       1.3970
BFGSLineSearch:    4[  7] 17:18:37   -44841.143037*       0.6220
BFGSLineSearch:    5[  9] 17:31:48   -44841.203788*       0.4795
BFGSLineSearch:    6[ 11] 17:44:37   -44841.230749*       0.4030
BFGSLineSearch:    7[ 13] 17:57:08   -44841.246660*       0.4795
BFGSLineSearch:    8[ 15] 18:10:25   -44841.268737*       0.3732
BFGSLineSearch:    9[ 16] 18:17:34   -44841.351789*       0.6856
BFGSLineSearch:   10[ 19] 18:39:20   -44841.416651*       0.9400
BFGSLineSearch:   11[ 20] 18:45:38   -44841.537153*       0.6520
BFGSLineSearch:   12[ 22] 18:58:46   -44841.665637*       0.6310
BFGSLineSearch:   13[ 24] 19:12:49   -44841.725305*       0.4849
BFGSLineSearch:   14[ 26] 19:26:35   -44841.743439*       0.5991
BFGSLineSearch:   15[ 28] 19:38:33   -44841.759196*       0.2444
BFGSLineSearch:   16[ 30] 19:51:57   -44841.769187*       0.1116
BFGSLineSearch:   17[ 32] 20:01:51   -44841.774435*       0.1783
BFGSLineSearch:   18[ 34] 20:13:13   -44841.776982*       0.2165
BFGSLineSearch:   19[ 36] 20:25:26   -44841.778920*       0.0967
BFGSLineSearch:   20[ 38] 20:36:41   -44841.781167*       0.0774
BFGSLineSearch:   21[ 40] 20:45:27   -44841.783300*       0.0783
BFGSLineSearch:   22[ 41] 20:52:49   -44841.785425*       0.1411
BFGSLineSearch:   23[ 43] 21:02:34   -44841.787562*       0.0739
BFGSLineSearch:   24[ 44] 21:08:49   -44841.789343*       0.1113
BFGSLineSearch:   25[ 46] 21:20:11   -44841.790518*       0.0673
BFGSLineSearch:   26[ 48] 21:28:59   -44841.791331*       0.0517
BFGSLineSearch:   27[ 50] 21:38:36   -44841.791932*       0.0445
