                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 16:18:19   -44188.060766*       4.3364
BFGSLineSearch:    1[  1] 16:22:23   -44191.376076*       3.5909
BFGSLineSearch:    2[  3] 16:29:47   -44192.189650*       2.1257
BFGSLineSearch:    3[  5] 16:37:35   -44192.723073*       1.1147
BFGSLineSearch:    4[  7] 16:44:17   -44192.835279*       0.6129
BFGSLineSearch:    5[  9] 16:51:03   -44192.869879*       0.4587
BFGSLineSearch:    6[ 11] 16:56:12   -44192.897385*       0.2501
BFGSLineSearch:    7[ 12] 16:59:16   -44192.942712*       0.4571
BFGSLineSearch:    8[ 15] 17:12:10   -44193.097449*       0.7390
BFGSLineSearch:    9[ 17] 17:19:54   -44193.135482*       0.7013
BFGSLineSearch:   10[ 18] 17:22:56   -44193.287671*       0.5487
BFGSLineSearch:   11[ 20] 17:29:23   -44193.346913*       0.7397
BFGSLineSearch:   12[ 22] 17:35:32   -44193.379497*       0.2202
BFGSLineSearch:   13[ 24] 17:41:38   -44193.392489*       0.1570
BFGSLineSearch:   14[ 26] 17:47:01   -44193.400974*       0.1524
BFGSLineSearch:   15[ 27] 17:49:42   -44193.405577*       0.1805
BFGSLineSearch:   16[ 29] 17:54:16   -44193.408999*       0.1055
BFGSLineSearch:   17[ 31] 17:59:39   -44193.411348*       0.0691
BFGSLineSearch:   18[ 32] 18:01:59   -44193.413110*       0.1232
BFGSLineSearch:   19[ 33] 18:04:56   -44193.415509*       0.0791
BFGSLineSearch:   20[ 34] 18:07:42   -44193.416763*       0.0816
BFGSLineSearch:   21[ 36] 18:11:29   -44193.417772*       0.0560
BFGSLineSearch:   22[ 38] 18:14:59   -44193.418341*       0.0321
