                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 16:27:45   -44801.020432*       4.0076
BFGSLineSearch:    1[  2] 16:47:48   -44803.114366*       2.1742
BFGSLineSearch:    2[  4] 17:04:36   -44804.118574*       2.3856
BFGSLineSearch:    3[  6] 17:22:28   -44804.678156*       1.1921
BFGSLineSearch:    4[  8] 17:45:30   -44804.847302*       1.5770
BFGSLineSearch:    5[ 10] 18:07:00   -44804.994808*       0.6662
BFGSLineSearch:    6[ 12] 18:23:57   -44805.058249*       1.1466
BFGSLineSearch:    7[ 14] 18:44:25   -44805.135731*       0.8501
BFGSLineSearch:    8[ 17] 19:12:09   -44805.436766*       1.9836
BFGSLineSearch:    9[ 19] 19:32:16   -44805.540850*       1.7704
BFGSLineSearch:   10[ 20] 19:42:13   -44805.795366*       2.0935
BFGSLineSearch:   11[ 22] 19:57:55   -44806.031606*       0.9524
BFGSLineSearch:   12[ 24] 20:18:18   -44806.195199*       1.1893
BFGSLineSearch:   13[ 26] 20:32:20   -44806.294208*       0.8271
BFGSLineSearch:   14[ 28] 20:47:00   -44806.356951*       0.6424
BFGSLineSearch:   15[ 30] 21:00:44   -44806.404682*       0.4097
BFGSLineSearch:   16[ 32] 21:17:44   -44806.432531*       0.3372
BFGSLineSearch:   17[ 34] 21:36:06   -44806.462483*       0.2848
BFGSLineSearch:   18[ 36] 21:48:51   -44806.482185*       0.2592
BFGSLineSearch:   19[ 38] 22:01:16   -44806.499732*       0.2501
BFGSLineSearch:   20[ 39] 22:07:28   -44806.514615*       0.3454
BFGSLineSearch:   21[ 41] 22:19:18   -44806.526967*       0.1915
BFGSLineSearch:   22[ 43] 22:31:39   -44806.537011*       0.1675
BFGSLineSearch:   23[ 45] 22:43:49   -44806.542980*       0.1442
BFGSLineSearch:   24[ 47] 22:54:41   -44806.546712*       0.0960
BFGSLineSearch:   25[ 49] 23:05:34   -44806.549373*       0.0756
BFGSLineSearch:   26[ 51] 23:17:57   -44806.550953*       0.0703
BFGSLineSearch:   27[ 52] 23:22:47   -44806.551980*       0.0975
BFGSLineSearch:   28[ 53] 23:27:34   -44806.553209*       0.0796
BFGSLineSearch:   29[ 54] 23:31:52   -44806.553836*       0.0565
BFGSLineSearch:   30[ 56] 23:40:11   -44806.554403*       0.0493
