                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 16:24:54   -44799.213936*      14.5435
BFGSLineSearch:    1[  1] 16:31:14   -44801.452426*       4.5635
BFGSLineSearch:    2[  3] 16:47:46   -44803.355299*       4.4879
BFGSLineSearch:    3[  5] 17:03:32   -44803.795527*       3.2238
BFGSLineSearch:    4[  7] 17:20:19   -44804.132898*       3.2767
BFGSLineSearch:    5[  9] 17:31:37   -44804.368712*       2.3989
BFGSLineSearch:    6[ 11] 17:42:38   -44804.454822*       0.9361
BFGSLineSearch:    7[ 13] 17:52:38   -44804.497674*       0.3699
BFGSLineSearch:    8[ 15] 18:02:13   -44804.525456*       0.3996
BFGSLineSearch:    9[ 16] 18:06:41   -44804.563383*       1.8848
BFGSLineSearch:   10[ 19] 18:25:57   -44804.670338*       2.1259
BFGSLineSearch:   11[ 21] 18:39:46   -44804.722637*       2.5528
BFGSLineSearch:   12[ 22] 18:47:24   -44804.865885*       1.1231
BFGSLineSearch:   13[ 24] 18:57:16   -44804.933493*       1.0909
BFGSLineSearch:   14[ 26] 19:07:57   -44804.955976*       0.6250
BFGSLineSearch:   15[ 28] 19:17:26   -44804.974469*       0.2200
BFGSLineSearch:   16[ 30] 19:25:53   -44804.982174*       0.2178
BFGSLineSearch:   17[ 31] 19:30:53   -44804.990973*       0.1802
BFGSLineSearch:   18[ 33] 19:40:07   -44804.998178*       0.1639
BFGSLineSearch:   19[ 35] 19:50:19   -44805.003932*       0.1922
BFGSLineSearch:   20[ 36] 19:55:12   -44805.010291*       0.2194
BFGSLineSearch:   21[ 37] 19:59:06   -44805.022116*       0.2926
BFGSLineSearch:   22[ 38] 20:04:07   -44805.048110*       0.6769
BFGSLineSearch:   23[ 40] 20:13:57   -44805.071482*       0.7721
BFGSLineSearch:   24[ 41] 20:19:14   -44805.105298*       0.3935
BFGSLineSearch:   25[ 43] 20:28:21   -44805.128474*       0.3116
BFGSLineSearch:   26[ 44] 20:32:42   -44805.138445*       0.3310
BFGSLineSearch:   27[ 46] 20:41:15   -44805.145287*       0.1802
BFGSLineSearch:   28[ 47] 20:45:05   -44805.149079*       0.1426
BFGSLineSearch:   29[ 49] 20:52:16   -44805.151527*       0.1211
BFGSLineSearch:   30[ 50] 20:55:55   -44805.153748*       0.0777
BFGSLineSearch:   31[ 51] 20:59:25   -44805.155538*       0.0989
BFGSLineSearch:   32[ 52] 21:03:16   -44805.158195*       0.1295
BFGSLineSearch:   33[ 53] 21:07:17   -44805.163581*       0.2784
BFGSLineSearch:   34[ 56] 21:19:48   -44805.171340*       0.7306
BFGSLineSearch:   35[ 57] 21:23:58   -44805.185789*       0.7175
BFGSLineSearch:   36[ 59] 21:33:33   -44805.197561*       0.2922
BFGSLineSearch:   37[ 62] 21:47:18   -44805.216235*       0.7818
BFGSLineSearch:   38[ 64] 21:59:20   -44805.236074*       0.7204
BFGSLineSearch:   39[ 65] 22:04:50   -44805.262132*       0.6731
BFGSLineSearch:   40[ 66] 22:09:37   -44805.287585*       0.7874
BFGSLineSearch:   41[ 68] 22:19:16   -44805.308853*       0.6592
BFGSLineSearch:   42[ 70] 22:29:08   -44805.326335*       0.4862
BFGSLineSearch:   43[ 72] 22:40:04   -44805.340397*       0.6596
BFGSLineSearch:   44[ 73] 22:45:49   -44805.356872*       0.2043
BFGSLineSearch:   45[ 74] 22:50:13   -44805.370884*       0.4123
BFGSLineSearch:   46[ 76] 22:58:19   -44805.378324*       0.5003
BFGSLineSearch:   47[ 78] 23:07:08   -44805.384837*       0.1396
BFGSLineSearch:   48[ 79] 23:11:42   -44805.388313*       0.1557
BFGSLineSearch:   49[ 80] 23:15:19   -44805.391781*       0.1494
BFGSLineSearch:   50[ 81] 23:19:12   -44805.394115*       0.2307
BFGSLineSearch:   51[ 82] 23:22:40   -44805.396476*       0.0826
BFGSLineSearch:   52[ 83] 23:27:11   -44805.398139*       0.0941
BFGSLineSearch:   53[ 84] 23:30:52   -44805.399982*       0.0854
BFGSLineSearch:   54[ 85] 23:35:03   -44805.401535*       0.1076
BFGSLineSearch:   55[ 86] 23:38:54   -44805.403063*       0.0570
BFGSLineSearch:   56[ 87] 23:43:03   -44805.405279*       0.0527
BFGSLineSearch:   57[ 88] 23:46:57   -44805.407474*       0.0470
