                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 16:23:24   -44766.622366*      12.9543
BFGSLineSearch:    1[  1] 16:30:54   -44768.293677*       6.2819
BFGSLineSearch:    2[  3] 16:45:45   -44769.840201*       5.3972
BFGSLineSearch:    3[  5] 17:00:30   -44770.738911*       3.2802
BFGSLineSearch:    4[  7] 17:16:11   -44770.992881*       1.3445
BFGSLineSearch:    5[  9] 17:29:17   -44771.116878*       0.5382
BFGSLineSearch:    6[ 11] 17:39:17   -44771.178195*       0.9749
BFGSLineSearch:    7[ 12] 17:45:46   -44771.301537*       0.9517
BFGSLineSearch:    8[ 15] 18:09:10   -44771.448801*       1.0859
BFGSLineSearch:    9[ 17] 18:19:40   -44771.542801*       2.1992
BFGSLineSearch:   10[ 19] 18:33:36   -44771.676723*       1.8799
BFGSLineSearch:   11[ 21] 18:45:21   -44771.788840*       0.6669
BFGSLineSearch:   12[ 23] 18:56:47   -44771.845738*       0.6469
BFGSLineSearch:   13[ 25] 19:08:29   -44771.920110*       0.7216
BFGSLineSearch:   14[ 27] 19:19:43   -44771.992760*       0.9191
BFGSLineSearch:   15[ 29] 19:33:22   -44772.065153*       0.6298
BFGSLineSearch:   16[ 30] 19:38:24   -44772.120107*       0.5205
BFGSLineSearch:   17[ 32] 19:48:42   -44772.151470*       0.2630
BFGSLineSearch:   18[ 34] 19:58:47   -44772.161699*       0.2526
BFGSLineSearch:   19[ 36] 20:10:47   -44772.168346*       0.1372
BFGSLineSearch:   20[ 38] 20:18:53   -44772.171934*       0.1027
BFGSLineSearch:   21[ 39] 20:22:42   -44772.175776*       0.1299
BFGSLineSearch:   22[ 41] 20:30:08   -44772.178019*       0.0715
BFGSLineSearch:   23[ 42] 20:33:45   -44772.178921*       0.0824
BFGSLineSearch:   24[ 43] 20:37:54   -44772.180480*       0.0608
BFGSLineSearch:   25[ 45] 20:45:02   -44772.181474*       0.0583
BFGSLineSearch:   26[ 46] 20:49:34   -44772.182875*       0.0759
BFGSLineSearch:   27[ 47] 20:54:03   -44772.184379*       0.0785
BFGSLineSearch:   28[ 48] 20:57:22   -44772.185383*       0.0787
BFGSLineSearch:   29[ 50] 21:05:54   -44772.186219*       0.0521
BFGSLineSearch:   30[ 51] 21:08:52   -44772.186856*       0.0532
BFGSLineSearch:   31[ 52] 21:12:17   -44772.187552*       0.0532
BFGSLineSearch:   32[ 53] 21:15:42   -44772.188339*       0.0365
