                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 15:07:36   -40089.986569*       0.2621
BFGSLineSearch:    1[  2] 15:18:31   -40089.990118*       0.2762
BFGSLineSearch:    2[  4] 15:30:08   -40089.993745*       0.1936
BFGSLineSearch:    3[  6] 15:43:02   -40089.996425*       0.1499
BFGSLineSearch:    4[  8] 15:54:42   -40090.004877*       0.3445
BFGSLineSearch:    5[ 10] 16:10:27   -40090.018069*       0.3281
BFGSLineSearch:    6[ 12] 16:26:04   -40090.027859*       0.3580
BFGSLineSearch:    7[ 14] 16:41:38   -40090.034026*       0.4499
BFGSLineSearch:    8[ 16] 16:56:34   -40090.042468*       0.2339
BFGSLineSearch:    9[ 18] 17:10:13   -40090.051041*       0.2186
BFGSLineSearch:   10[ 19] 17:17:41   -40090.061767*       0.5576
BFGSLineSearch:   11[ 21] 17:33:11   -40090.067610*       0.4193
BFGSLineSearch:   12[ 23] 17:47:56   -40090.074924*       0.3204
BFGSLineSearch:   13[ 25] 18:01:45   -40090.078462*       0.2272
BFGSLineSearch:   14[ 27] 18:13:10   -40090.080999*       0.2032
BFGSLineSearch:   15[ 29] 18:29:31   -40090.083610*       0.1062
BFGSLineSearch:   16[ 31] 18:39:49   -40090.085925*       0.1755
BFGSLineSearch:   17[ 33] 18:54:30   -40090.088478*       0.2162
BFGSLineSearch:   18[ 34] 19:00:21   -40090.091426*       0.1903
BFGSLineSearch:   19[ 35] 19:06:00   -40090.095101*       0.2401
BFGSLineSearch:   20[ 37] 19:17:38   -40090.098634*       0.2926
BFGSLineSearch:   21[ 39] 19:29:46   -40090.102025*       0.1682
BFGSLineSearch:   22[ 41] 19:42:25   -40090.105337*       0.1517
BFGSLineSearch:   23[ 42] 19:48:58   -40090.108522*       0.2929
BFGSLineSearch:   24[ 44] 20:02:36   -40090.112002*       0.2747
BFGSLineSearch:   25[ 45] 20:09:35   -40090.114402*       0.2603
BFGSLineSearch:   26[ 47] 20:24:21   -40090.118082*       0.2797
BFGSLineSearch:   27[ 48] 20:29:55   -40090.122153*       0.2738
BFGSLineSearch:   28[ 50] 20:42:49   -40090.125074*       0.2489
BFGSLineSearch:   29[ 51] 20:49:28   -40090.128530*       0.1770
BFGSLineSearch:   30[ 52] 20:54:45   -40090.130542*       0.1405
BFGSLineSearch:   31[ 54] 21:05:39   -40090.132412*       0.1445
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 10:32:50   -40090.147273*       0.1447
BFGSLineSearch:    1[  2] 10:54:46   -40090.148173*       0.0619
BFGSLineSearch:    2[  3] 11:05:58   -40090.149419*       0.0714
BFGSLineSearch:    3[  5] 11:32:42   -40090.150169*       0.0740
BFGSLineSearch:    4[  6] 11:42:41   -40090.151056*       0.0827
BFGSLineSearch:    5[  8] 12:03:07   -40090.151777*       0.0698
BFGSLineSearch:    6[  9] 12:11:52   -40090.152928*       0.0818
BFGSLineSearch:    7[ 10] 12:22:24   -40090.153962*       0.0712
BFGSLineSearch:    8[ 11] 12:32:11   -40090.154784*       0.0986
BFGSLineSearch:    9[ 12] 12:41:49   -40090.155894*       0.0696
BFGSLineSearch:   10[ 15] 13:17:40   -40090.158140*       0.1271
BFGSLineSearch:   11[ 16] 13:28:12   -40090.159574*       0.1062
BFGSLineSearch:   12[ 17] 13:38:10   -40090.161215*       0.1082
BFGSLineSearch:   13[ 20] 14:09:41   -40090.162186*       0.1209
BFGSLineSearch:   14[ 21] 14:20:00   -40090.163027*       0.1685
BFGSLineSearch:   15[ 22] 14:28:57   -40090.165000*       0.1267
BFGSLineSearch:   16[ 23] 14:40:06   -40090.167025*       0.2135
BFGSLineSearch:   17[ 26] 15:07:43   -40090.167492*       0.1849
BFGSLineSearch:   18[ 27] 15:18:50   -40090.169574*       0.1195
BFGSLineSearch:   19[ 28] 15:28:34   -40090.170941*       0.0547
BFGSLineSearch:   20[ 31] 16:07:47   -40090.172977*       0.1076
BFGSLineSearch:   21[ 32] 16:17:13   -40090.174414*       0.0614
BFGSLineSearch:   22[ 33] 16:27:24   -40090.176151*       0.0852
BFGSLineSearch:   23[ 35] 16:53:30   -40090.176834*       0.1053
BFGSLineSearch:   24[ 36] 17:03:00   -40090.178124*       0.1075
BFGSLineSearch:   25[ 37] 17:15:31   -40090.180365*       0.1285
BFGSLineSearch:   26[ 38] 17:27:41   -40090.182200*       0.1131
BFGSLineSearch:   27[ 39] 17:39:02   -40090.184189*       0.2684
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 18:13:56   -40090.179991*       0.2688
BFGSLineSearch:    1[  2] 18:28:43   -40090.181918*       0.1039
BFGSLineSearch:    2[  5] 18:47:38   -40090.186748*       0.1607
BFGSLineSearch:    3[  6] 18:52:59   -40090.189065*       0.1754
BFGSLineSearch:    4[  9] 19:14:22   -40090.191446*       0.2649
BFGSLineSearch:    5[ 10] 19:19:55   -40090.193386*       0.1261
BFGSLineSearch:    6[ 11] 19:26:40   -40090.194977*       0.1826
BFGSLineSearch:    7[ 15] 19:50:02   -40090.197507*       0.1525
BFGSLineSearch:    8[ 16] 19:56:15   -40090.198585*       0.1915
BFGSLineSearch:    9[ 17] 20:01:38   -40090.201294*       0.1797
BFGSLineSearch:   10[ 19] 20:17:46   -40090.202128*       0.2326
BFGSLineSearch:   11[ 20] 20:21:56   -40090.203930*       0.1444
BFGSLineSearch:   12[ 21] 20:27:51   -40090.205329*       0.1139
BFGSLineSearch:   13[ 25] 20:54:48   -40090.207061*       0.1955
BFGSLineSearch:   14[ 27] 21:03:44   -40090.209396*       0.0950
BFGSLineSearch:   15[ 30] 21:29:43   -40090.210575*       0.1788
BFGSLineSearch:   16[ 31] 21:33:32   -40090.212127*       0.0953
BFGSLineSearch:   17[ 33] 21:49:21   -40090.212991*       0.2229
BFGSLineSearch:   18[ 34] 21:53:54   -40090.214002*       0.1956
BFGSLineSearch:   19[ 37] 22:13:37   -40090.215987*       0.0993
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 10:51:52   -40090.213647*       0.1006
BFGSLineSearch:    1[  1] 11:01:37   -40090.214796*       0.1598
BFGSLineSearch:    2[  4] 11:38:36   -40090.216665*       0.2593
BFGSLineSearch:    3[  5] 11:48:26   -40090.219047*       0.0851
BFGSLineSearch:    4[  9] 12:30:49   -40090.220385*       0.1112
BFGSLineSearch:    5[ 11] 12:53:54   -40090.223189*       0.2226
BFGSLineSearch:    6[ 14] 13:35:40   -40090.225479*       0.2135
BFGSLineSearch:    7[ 15] 13:45:27   -40090.227457*       0.1222
BFGSLineSearch:    8[ 16] 13:55:06   -40090.229052*       0.1380
BFGSLineSearch:    9[ 17] 14:07:35   -40090.232816*       0.1630
BFGSLineSearch:   10[ 18] 14:20:50   -40090.238419*       0.3166
BFGSLineSearch:   11[ 20] 14:49:19   -40090.241872*       0.3442
BFGSLineSearch:   12[ 22] 15:14:42   -40090.246793*       0.3656
BFGSLineSearch:   13[ 24] 15:46:05   -40090.261787*       0.2659
BFGSLineSearch:   14[ 25] 15:58:37   -40090.272038*       0.3085
BFGSLineSearch:   15[ 27] 16:22:40   -40090.275859*       0.3178
BFGSLineSearch:   16[ 29] 16:50:24   -40090.280968*       0.1636
BFGSLineSearch:   17[ 32] 17:32:09   -40090.286204*       0.2174
BFGSLineSearch:   18[ 33] 17:42:44   -40090.289166*       0.2140
BFGSLineSearch:   19[ 34] 17:57:36   -40090.292810*       0.2519
BFGSLineSearch:   20[ 35] 18:10:12   -40090.294894*       0.1216
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 11:08:08   -40090.293276*       0.1187
BFGSLineSearch:    1[  1] 11:16:18   -40090.294469*       0.1047
BFGSLineSearch:    2[  2] 11:21:55   -40090.295616*       0.0677
BFGSLineSearch:    3[ 13] 12:05:30   -40090.295877*       0.0784
BFGSLineSearch:    4[ 16] 12:39:36   -40090.296843*       0.0564
BFGSLineSearch:    5[ 17] 12:48:01   -40090.297202*       0.0466
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:40:41   -40090.300277*       0.0410
