                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 10:48:39   -40022.420375*      18.6942
BFGSLineSearch:    1[  1] 10:57:53   -40029.359589*       9.8414
BFGSLineSearch:    2[  2] 11:05:55   -40033.475471*      10.1271
BFGSLineSearch:    3[  3] 11:13:10   -40035.562762*       6.8241
BFGSLineSearch:    4[  4] 11:24:05   -40036.902607*       6.8851
BFGSLineSearch:    5[  5] 11:35:58   -40038.159265*       2.4867
BFGSLineSearch:    6[  6] 11:49:13   -40038.925929*       1.7560
BFGSLineSearch:    7[  8] 12:18:09   -40039.159246*       1.7773
BFGSLineSearch:    8[ 10] 12:34:59   -40039.359383*       1.8184
BFGSLineSearch:    9[ 12] 13:08:03   -40039.533790*       1.7892
BFGSLineSearch:   10[ 14] 13:41:20   -40039.678455*       1.0933
BFGSLineSearch:   11[ 15] 13:54:26   -40039.815721*       1.8076
BFGSLineSearch:   12[ 17] 14:18:53   -40039.973121*       0.7606
BFGSLineSearch:   13[ 19] 14:41:24   -40040.059765*       0.7320
BFGSLineSearch:   14[ 21] 15:03:48   -40040.101117*       0.6570
BFGSLineSearch:   15[ 23] 15:23:15   -40040.144312*       0.6797
BFGSLineSearch:   16[ 25] 15:49:00   -40040.169543*       0.4136
BFGSLineSearch:   17[ 27] 16:10:42   -40040.188046*       0.2834
BFGSLineSearch:   18[ 28] 16:19:38   -40040.199555*       0.3915
BFGSLineSearch:   19[ 30] 16:33:08   -40040.212878*       0.1713
BFGSLineSearch:   20[ 31] 16:46:11   -40040.221552*       0.2273
BFGSLineSearch:   21[ 32] 16:54:50   -40040.235757*       0.2712
BFGSLineSearch:   22[ 33] 17:09:10   -40040.249525*       0.3368
BFGSLineSearch:   23[ 34] 17:20:37   -40040.272435*       0.1920
BFGSLineSearch:   24[ 35] 17:29:27   -40040.284610*       0.3126
BFGSLineSearch:   25[ 36] 17:41:14   -40040.297707*       0.2505
BFGSLineSearch:   26[ 37] 17:51:47   -40040.309408*       0.3361
BFGSLineSearch:   27[ 38] 18:01:04   -40040.323017*       0.2827
BFGSLineSearch:   28[ 40] 18:24:20   -40040.334652*       0.1854
BFGSLineSearch:   29[ 42] 18:42:37   -40040.342559*       0.1465
BFGSLineSearch:   30[ 43] 18:54:52   -40040.349273*       0.1394
BFGSLineSearch:   31[ 44] 19:04:54   -40040.352688*       0.1288
BFGSLineSearch:   32[ 45] 19:12:12   -40040.356779*       0.0988
BFGSLineSearch:   33[ 46] 19:19:16   -40040.359360*       0.1721
BFGSLineSearch:   34[ 47] 19:34:29   -40040.363560*       0.1003
BFGSLineSearch:   35[ 48] 19:45:36   -40040.367112*       0.1248
BFGSLineSearch:   36[ 49] 19:54:58   -40040.369185*       0.0999
BFGSLineSearch:   37[ 50] 20:02:19   -40040.371464*       0.0687
BFGSLineSearch:   38[ 51] 20:15:40   -40040.373258*       0.0787
BFGSLineSearch:   39[ 52] 20:22:58   -40040.375167*       0.0690
BFGSLineSearch:   40[ 53] 20:31:55   -40040.377620*       0.0782
BFGSLineSearch:   41[ 54] 20:42:32   -40040.379109*       0.2295
BFGSLineSearch:   42[ 55] 20:50:45   -40040.381444*       0.1646
BFGSLineSearch:   43[ 56] 20:57:05   -40040.384192*       0.1206
BFGSLineSearch:   44[ 57] 21:04:20   -40040.386539*       0.1386
BFGSLineSearch:   45[ 58] 21:16:23   -40040.387963*       0.2269
BFGSLineSearch:   46[ 59] 21:25:50   -40040.389908*       0.1143
BFGSLineSearch:   47[ 60] 21:33:33   -40040.392372*       0.1324
BFGSLineSearch:   48[ 61] 21:42:28   -40040.395778*       0.1733
BFGSLineSearch:   49[ 62] 21:50:53   -40040.398707*       0.1793
BFGSLineSearch:   50[ 63] 21:59:18   -40040.405541*       0.2161
BFGSLineSearch:   51[ 65] 22:13:10   -40040.410428*       0.2389
BFGSLineSearch:   52[ 67] 22:27:57   -40040.417847*       0.2117
BFGSLineSearch:   53[ 68] 22:35:38   -40040.424460*       0.2904
BFGSLineSearch:   54[ 69] 22:45:25   -40040.431268*       0.4492
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 10:06:40   -40022.420374*      18.6943
BFGSLineSearch:    1[  3] 10:44:08   -40032.284217*      17.2073
BFGSLineSearch:    2[  6] 11:23:30   -40036.319961*      11.3209
BFGSLineSearch:    3[ 10] 12:04:40   -40038.523952*       6.1373
BFGSLineSearch:    4[ 13] 12:40:22   -40039.381475*       3.9018
BFGSLineSearch:    5[ 14] 12:53:42   -40039.763006*       2.0464
BFGSLineSearch:    6[ 16] 13:18:10   -40039.967502*       1.0009
BFGSLineSearch:    7[ 18] 13:45:33   -40040.081083*       1.0067
BFGSLineSearch:    8[ 20] 14:06:25   -40040.139114*       0.7087
BFGSLineSearch:    9[ 21] 14:15:59   -40040.166966*       0.3058
BFGSLineSearch:   10[ 22] 14:27:08   -40040.192935*       0.3768
BFGSLineSearch:   11[ 23] 14:37:23   -40040.210507*       0.2221
BFGSLineSearch:   12[ 24] 14:45:21   -40040.219569*       0.2311
BFGSLineSearch:   13[ 25] 14:52:37   -40040.225699*       0.2156
BFGSLineSearch:   14[ 26] 14:59:02   -40040.232833*       0.1741
BFGSLineSearch:   15[ 27] 15:07:20   -40040.241565*       0.1560
BFGSLineSearch:   16[ 29] 15:25:58   -40040.256417*       0.2251
BFGSLineSearch:   17[ 31] 15:44:34   -40040.270708*       0.1523
BFGSLineSearch:   18[ 32] 15:51:19   -40040.275524*       0.1292
BFGSLineSearch:   19[ 33] 16:02:57   -40040.278978*       0.1379
BFGSLineSearch:   20[ 34] 16:15:57   -40040.281057*       0.1073
BFGSLineSearch:   21[ 35] 16:24:29   -40040.283000*       0.0817
BFGSLineSearch:   22[ 36] 16:31:24   -40040.283905*       0.0565
BFGSLineSearch:   23[ 39] 16:58:34   -40040.285220*       0.0575
BFGSLineSearch:   24[ 40] 17:05:26   -40040.285843*       0.0497
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:24:33   -40040.290966*       0.0502
BFGSLineSearch:    1[  3] 09:59:42   -40040.291588*       0.0588
BFGSLineSearch:    2[  7] 10:47:40   -40040.293421*       0.0646
BFGSLineSearch:    3[  9] 11:07:19   -40040.296077*       0.0817
BFGSLineSearch:    4[ 11] 11:31:07   -40040.299191*       0.0929
BFGSLineSearch:    5[ 12] 11:43:16   -40040.300282*       0.0455
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 15:34:54   -40040.300243*       0.0459
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 12:52:30   -40040.300242*       0.0461
