                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 12:51:11   -39987.267508*       3.5416
BFGSLineSearch:    1[  2] 13:13:30   -39987.360831*       2.0643
BFGSLineSearch:    2[  4] 13:36:28   -39987.545112*       1.2786
BFGSLineSearch:    3[  6] 13:53:43   -39987.685263*       0.7534
BFGSLineSearch:    4[  8] 14:16:22   -39987.725350*       0.7085
BFGSLineSearch:    5[ 10] 14:41:29   -39987.740171*       0.2343
BFGSLineSearch:    6[ 12] 14:57:57   -39987.748255*       0.1655
BFGSLineSearch:    7[ 13] 15:06:45   -39987.753985*       0.2592
BFGSLineSearch:    8[ 14] 15:12:49   -39987.759071*       0.2189
BFGSLineSearch:    9[ 15] 15:19:21   -39987.762823*       0.6707
BFGSLineSearch:   10[ 17] 15:36:47   -39987.771561*       0.2261
BFGSLineSearch:   11[ 18] 15:46:08   -39987.782098*       0.3623
BFGSLineSearch:   12[ 19] 16:01:16   -39987.805999*       0.7376
BFGSLineSearch:   13[ 21] 16:15:57   -39987.819232*       0.5373
BFGSLineSearch:   14[ 22] 16:23:25   -39987.836550*       0.2398
BFGSLineSearch:   15[ 23] 16:32:32   -39987.851794*       0.8991
BFGSLineSearch:   16[ 24] 16:38:45   -39987.864637*       0.4904
BFGSLineSearch:   17[ 25] 16:49:02   -39987.879663*       0.3157
BFGSLineSearch:   18[ 27] 17:05:01   -39987.886597*       0.4180
BFGSLineSearch:   19[ 28] 17:13:08   -39987.897547*       0.6556
BFGSLineSearch:   20[ 29] 17:22:14   -39987.910151*       0.3418
BFGSLineSearch:   21[ 30] 17:31:15   -39987.922832*       0.1685
BFGSLineSearch:   22[ 31] 17:40:22   -39987.931416*       0.2082
BFGSLineSearch:   23[ 32] 17:49:55   -39987.944685*       0.3817
BFGSLineSearch:   24[ 33] 17:59:02   -39987.958970*       0.5597
BFGSLineSearch:   25[ 34] 18:11:09   -39987.983147*       0.2337
BFGSLineSearch:   26[ 35] 18:20:04   -39988.001511*       0.4972
BFGSLineSearch:   27[ 37] 18:41:45   -39988.079747*       0.5565
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 14:51:59   -39988.079648*       0.5571
BFGSLineSearch:    1[  2] 15:06:31   -39988.113526*       0.6527
BFGSLineSearch:    2[  4] 15:28:01   -39988.205597*       1.5427
BFGSLineSearch:    3[  7] 15:59:55   -39988.428560*       2.9277
BFGSLineSearch:    4[ 10] 16:24:24   -39988.665952*       1.9853
BFGSLineSearch:    5[ 11] 16:34:08   -39988.964493*       1.2487
BFGSLineSearch:    6[ 12] 16:46:15   -39989.200401*       2.0788
BFGSLineSearch:    7[ 14] 17:03:26   -39989.346439*       1.5166
BFGSLineSearch:    8[ 15] 17:11:41   -39989.444401*       2.0158
BFGSLineSearch:    9[ 16] 17:20:26   -39989.526986*       2.1767
BFGSLineSearch:   10[ 17] 17:28:04   -39989.578574*       0.7382
BFGSLineSearch:   11[ 18] 17:36:36   -39989.625191*       0.3090
BFGSLineSearch:   12[ 19] 17:46:15   -39989.662728*       0.7250
BFGSLineSearch:   13[ 20] 17:55:42   -39989.711390*       0.3060
BFGSLineSearch:   14[ 22] 18:14:22   -39989.733381*       0.2225
BFGSLineSearch:   15[ 23] 18:24:34   -39989.744104*       0.3059
BFGSLineSearch:   16[ 24] 18:31:25   -39989.758751*       0.2250
BFGSLineSearch:   17[ 26] 18:44:13   -39989.771522*       0.1853
BFGSLineSearch:   18[ 27] 18:51:44   -39989.780296*       0.1606
BFGSLineSearch:   19[ 28] 18:59:33   -39989.785994*       0.2249
BFGSLineSearch:   20[ 29] 19:05:16   -39989.788757*       0.1175
BFGSLineSearch:   21[ 30] 19:12:00   -39989.791415*       0.1044
BFGSLineSearch:   22[ 31] 19:18:02   -39989.794041*       0.0886
BFGSLineSearch:   23[ 32] 19:26:32   -39989.796855*       0.0606
BFGSLineSearch:   24[ 33] 19:31:52   -39989.798010*       0.0736
BFGSLineSearch:   25[ 34] 19:37:27   -39989.799248*       0.0754
BFGSLineSearch:   26[ 35] 19:42:14   -39989.800104*       0.0486
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:33:30   -39989.805072*       0.0488
