                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 13:40:58   -40003.078661*      10.1874
BFGSLineSearch:    1[  2] 13:58:03   -40004.094864*       3.3585
BFGSLineSearch:    2[  3] 14:06:40   -40004.566081*       4.3359
BFGSLineSearch:    3[  5] 14:24:57   -40004.810493*       2.1701
BFGSLineSearch:    4[  7] 14:42:33   -40004.946986*       1.8301
BFGSLineSearch:    5[  9] 15:00:22   -40005.006243*       0.7761
BFGSLineSearch:    6[ 11] 15:14:41   -40005.034466*       0.5848
BFGSLineSearch:    7[ 12] 15:22:11   -40005.060039*       1.0833
BFGSLineSearch:    8[ 14] 15:41:06   -40005.083238*       0.4773
BFGSLineSearch:    9[ 16] 15:54:03   -40005.106599*       0.3234
BFGSLineSearch:   10[ 18] 16:13:26   -40005.123573*       0.2878
BFGSLineSearch:   11[ 19] 16:20:36   -40005.142374*       0.3047
BFGSLineSearch:   12[ 21] 16:37:13   -40005.159545*       0.5237
BFGSLineSearch:   13[ 23] 16:57:27   -40005.180208*       0.8452
BFGSLineSearch:   14[ 25] 17:15:43   -40005.207495*       1.0297
BFGSLineSearch:   15[ 27] 17:37:49   -40005.244999*       1.0678
BFGSLineSearch:   16[ 29] 17:54:51   -40005.313146*       0.9013
BFGSLineSearch:   17[ 30] 18:01:22   -40005.368330*       0.6984
BFGSLineSearch:   18[ 32] 18:17:39   -40005.403769*       0.4609
BFGSLineSearch:   19[ 34] 18:30:46   -40005.424419*       0.4173
BFGSLineSearch:   20[ 36] 18:45:43   -40005.437131*       0.2644
BFGSLineSearch:   21[ 38] 19:00:34   -40005.451681*       0.3211
BFGSLineSearch:   22[ 39] 19:07:07   -40005.467320*       0.1881
BFGSLineSearch:   23[ 41] 19:18:21   -40005.477192*       0.1415
BFGSLineSearch:   24[ 43] 19:29:07   -40005.483245*       0.1698
BFGSLineSearch:   25[ 44] 19:37:10   -40005.487819*       0.2281
BFGSLineSearch:   26[ 45] 19:45:36   -40005.495690*       0.1650
BFGSLineSearch:   27[ 46] 19:53:47   -40005.500366*       0.1825
BFGSLineSearch:   28[ 47] 20:01:07   -40005.506315*       0.1460
BFGSLineSearch:   29[ 48] 20:09:21   -40005.510226*       0.1669
BFGSLineSearch:   30[ 49] 20:17:24   -40005.514113*       0.1161
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 07:23:28   -40005.514103*       0.1152
BFGSLineSearch:    1[  2] 07:34:17   -40005.516601*       0.0663
BFGSLineSearch:    2[  3] 07:40:35   -40005.519039*       0.1142
BFGSLineSearch:    3[  4] 07:50:47   -40005.523123*       0.0863
BFGSLineSearch:    4[  6] 08:04:10   -40005.524561*       0.0848
BFGSLineSearch:    5[  7] 08:10:49   -40005.526126*       0.0597
BFGSLineSearch:    6[  9] 08:20:34   -40005.527610*       0.0965
BFGSLineSearch:    7[ 10] 08:25:30   -40005.528577*       0.0571
BFGSLineSearch:    8[ 11] 08:30:06   -40005.529199*       0.0520
BFGSLineSearch:    9[ 12] 08:34:02   -40005.529789*       0.0247
