---------------------
  #    meV     cm^-1
---------------------
  0   14.2i    114.8i
  1    9.0i     72.2i
  2    0.7i      5.8i
  3    4.2      33.6
  4    6.6      53.1
  5    9.0      72.4
  6   10.6      85.4
  7   22.3     179.8
  8   29.5     238.2
  9   48.7     393.1
 10   71.3     574.9
 11   74.1     597.4
 12  128.4    1035.4
 13  150.4    1213.4
 14  174.5    1407.3
 15  177.5    1431.6
 16  205.0    1653.8
 17  205.4    1656.7
 18  366.5    2956.1
 19  375.5    3029.0
 20  379.9    3063.8
 21  423.6    3416.7
 22  439.3    3543.5
 23  439.8    3547.2
---------------------
Zero-point energy: 1.871 eV
